Scenario, Tracker_Time, Person#, Skeleton#, Skeleton_Init_Angle, Skeleton_Init_Dist, Skeleton_Time, Kinect#, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
0, 63560285821801, 0, 0, 0.0498795224834256, 2.354677, 38660507460, 0, 0, 0, 0.04265487, -1.092211, 2.320207, 0.2648129, -1.084376, 2.315573, -0.268841, 0.04584055, 2.366328, 0.5400596, 0.09348349, 2.363598, 0.03124744, -1.146389, 2.254299, 0.2742982, -1.143025, 2.248781, -0.5703165, -0.006939784, 2.326782, 0.8760927, 0.09050365, 2.335525, -0.6568085, -0.02354546, 2.351337, 0.946189, 0.07951741, 2.335378, 0.1148772, 0.3301232, 2.381265, 0.07674059, -0.4030114, 2.327471, 0.2232066, -0.398132, 2.330351, 0.05566502, -0.7591219, 2.321198, 0.245874, -0.7737625, 2.321732, 0.137841, 0.1910048, 2.390286, -0.04447302, 0.07392953, 2.381108, 0.3103768, 0.1022758, 2.385, 0.1464095, -0.4054821, 2.363234, 0.1416674, -0.1033309, 2.383245, 0.1385914, 0.1184611, 2.390765, -0.5925182, -0.01768608, 2.269233, 0.8825092, 0.1084076, 2.275599, -0.4895316, 0.003844395, 2.341894, 0.789121, 0.08849527, 2.338605
0, 63560285821801, 0, 1, 0.00321302831938185, 2.342663, 1573864301072, 1, 0, 0, 0.03338535, -1.090938, 2.301323, 0.2618553, -1.107766, 2.30736, -0.2831606, 0.05417408, 2.357888, 0.5428029, 0.09448422, 2.380468, 0.02183786, -1.156581, 2.214049, 0.2673657, -1.162205, 2.206815, -0.5398948, 0.008479774, 2.31372, 0.8686806, 0.08820935, 2.36914, -0.6289058, -0.008537665, 2.319307, 0.9511991, 0.07701303, 2.38172, 0.1322078, 0.3326427, 2.399829, 0.07716713, -0.4063801, 2.325042, 0.2276139, -0.4022537, 2.322977, 0.04967281, -0.7538809, 2.310692, 0.2450816, -0.7709638, 2.314229, 0.140566, 0.1921781, 2.401496, -0.04142526, 0.07736738, 2.391723, 0.3202474, 0.102307, 2.397019, 0.1546554, -0.4103179, 2.358628, 0.1480843, -0.1052678, 2.386847, 0.1425817, 0.1188324, 2.400146, -0.5748397, -0.007692173, 2.246325, 0.8875218, 0.1072606, 2.302455, -0.5009619, 0.01353593, 2.324017, 0.7639506, 0.0933695, 2.362846
0, 63560285822056, 0, 0, 0.0498795224834256, 2.354677, 38662848153, 0, 0, 0, 0.04266471, -1.090157, 2.317382, 0.2647532, -1.084642, 2.31578, -0.2693816, 0.04594924, 2.366144, 0.5398824, 0.0925348, 2.36398, 0.03386866, -1.143459, 2.253232, 0.2736053, -1.145675, 2.247964, -0.5795176, -0.002418756, 2.326927, 0.876012, 0.08781187, 2.334981, -0.6592944, -0.01985292, 2.346952, 0.9450947, 0.07726867, 2.333762, 0.1146549, 0.3298426, 2.381394, 0.07666869, -0.4031385, 2.32752, 0.2231683, -0.3981782, 2.330148, 0.05554611, -0.760184, 2.32102, 0.2457616, -0.7756956, 2.321549, 0.1379052, 0.1909202, 2.390763, -0.04498172, 0.07382472, 2.381733, 0.3102309, 0.1021846, 2.385449, 0.1463682, -0.4055796, 2.363165, 0.1416069, -0.1034207, 2.38335, 0.1385961, 0.1183759, 2.391122, -0.5804981, -0.01221554, 2.275245, 0.8855606, 0.1083511, 2.271184, -0.4905996, 0.006758675, 2.342247, 0.7894608, 0.08778478, 2.336688
0, 63560285822056, 0, 1, 0.00321302831938185, 2.342663, 1573866961601, 1, 0, 0, 0.03373967, -1.09042, 2.299663, 0.2611029, -1.09925, 2.306483, -0.2845762, 0.05514698, 2.357637, 0.5423265, 0.09404667, 2.380317, 0.02016969, -1.156702, 2.213763, 0.2666434, -1.158871, 2.211341, -0.5325547, 0.01386271, 2.313409, 0.8672446, 0.08714314, 2.366303, -0.6221898, 0.001662418, 2.312626, 0.9464033, 0.07850714, 2.378337, 0.1316168, 0.3328933, 2.400389, 0.07707408, -0.4063662, 2.325316, 0.2274963, -0.4021536, 2.322579, 0.05010673, -0.7533494, 2.310154, 0.2447325, -0.7623933, 2.312622, 0.1403414, 0.1919649, 2.402418, -0.04181015, 0.07719465, 2.392271, 0.3197842, 0.1024797, 2.397401, 0.1545592, -0.4102772, 2.358558, 0.1479003, -0.1052612, 2.387165, 0.1423591, 0.1186896, 2.40089, -0.5741141, -0.004576042, 2.244107, 0.8918327, 0.1046107, 2.3003, -0.5021423, 0.01384209, 2.322746, 0.7634627, 0.09267585, 2.362178
0, 63560285822325, 0, 0, 0.0498795224834256, 2.354677, 38665507431, 0, 0, 0, 0.04319834, -1.086234, 2.318841, 0.2641027, -1.088166, 2.315154, -0.2692871, 0.04605867, 2.366204, 0.5399004, 0.0910513, 2.363519, 0.03146216, -1.141999, 2.25092, 0.2747362, -1.14633, 2.246423, -0.5771448, -0.005940109, 2.326984, 0.8795273, 0.08315502, 2.329099, -0.6524423, -0.01923934, 2.331156, 0.9501358, 0.07623197, 2.325784, 0.1146727, 0.3299616, 2.381029, 0.0766914, -0.40332, 2.328081, 0.2231631, -0.3985115, 2.330359, 0.05523738, -0.7592927, 2.321281, 0.2454908, -0.777198, 2.322007, 0.1390904, 0.1909827, 2.391358, -0.04488127, 0.07391556, 2.382063, 0.3103029, 0.1015495, 2.385907, 0.1463699, -0.4058002, 2.363487, 0.1419299, -0.1035303, 2.383721, 0.139516, 0.1183858, 2.391668, -0.5794636, -0.0155112, 2.273894, 0.8831645, 0.1027385, 2.267568, -0.4897892, 0.003434554, 2.340575, 0.7923027, 0.0834672, 2.334062
0, 63560285822325, 0, 1, 0.00321302831938185, 2.342663, 1573869630650, 1, 0, 0, 0.03402163, -1.092255, 2.30011, 0.2600611, -1.095761, 2.309033, -0.284593, 0.05518962, 2.357665, 0.5427774, 0.09218766, 2.379691, 0.01999611, -1.154798, 2.209231, 0.2680533, -1.157429, 2.216663, -0.5350539, 0.01099397, 2.314118, 0.8647548, 0.0825326, 2.358932, -0.6251968, -0.003155842, 2.321053, 0.9467643, 0.07006647, 2.372566, 0.1319592, 0.3328214, 2.399532, 0.07702928, -0.4065308, 2.325755, 0.2275428, -0.4021023, 2.322653, 0.04976998, -0.7551675, 2.310505, 0.2440889, -0.7589397, 2.312409, 0.1409924, 0.1917363, 2.402149, -0.04172908, 0.07735159, 2.392671, 0.3202735, 0.1016328, 2.397508, 0.1545291, -0.4103346, 2.358738, 0.148046, -0.1053421, 2.387154, 0.1428402, 0.1185015, 2.400721, -0.573275, -0.005858481, 2.244919, 0.8839273, 0.09974931, 2.300692, -0.5021706, 0.01402478, 2.322636, 0.763777, 0.08855088, 2.358204
0, 63560285822593, 0, 0, 0.0498795224834256, 2.354677, 38668177387, 0, 0, 0, 0.04306071, -1.088573, 2.318042, 0.2651654, -1.088192, 2.31453, -0.2689649, 0.04610337, 2.366495, 0.540048, 0.08992778, 2.362052, 0.03375793, -1.144567, 2.252463, 0.2746496, -1.145829, 2.248387, -0.5760596, -0.003860876, 2.32601, 0.8720145, 0.08496027, 2.326443, -0.6603733, -0.01969253, 2.350503, 0.9442937, 0.07846488, 2.325355, 0.1149222, 0.3300276, 2.379675, 0.07661633, -0.4034715, 2.328232, 0.2231723, -0.3989686, 2.330431, 0.05489778, -0.7597334, 2.321491, 0.245477, -0.7773398, 2.322463, 0.139605, 0.1908698, 2.391036, -0.04454181, 0.07383294, 2.382338, 0.3105152, 0.1011459, 2.385683, 0.1463322, -0.4060827, 2.363581, 0.1421199, -0.1036938, 2.383662, 0.1399472, 0.1182626, 2.391434, -0.5811582, -0.01430766, 2.273226, 0.8951641, 0.1020878, 2.261917, -0.4897467, 0.004806384, 2.341411, 0.7870564, 0.08242224, 2.330247
0, 63560285822593, 0, 1, 0.00321302831938185, 2.342663, 1573872300353, 1, 0, 0, 0.03280756, -1.090783, 2.298928, 0.2610839, -1.102659, 2.307233, -0.2845951, 0.05486666, 2.358624, 0.5430141, 0.09120585, 2.377722, 0.01957472, -1.156569, 2.21229, 0.2677442, -1.162716, 2.212857, -0.5397996, 0.01168008, 2.316506, 0.8669302, 0.08308591, 2.359188, -0.6285682, -0.0008443147, 2.319036, 0.9473816, 0.07597972, 2.366268, 0.132511, 0.3326019, 2.398344, 0.07691663, -0.4068446, 2.326184, 0.227507, -0.4022865, 2.322626, 0.04979011, -0.7537332, 2.310546, 0.244764, -0.7658148, 2.313559, 0.1421831, 0.1912454, 2.401677, -0.04153319, 0.07729296, 2.393125, 0.3205495, 0.1014744, 2.397217, 0.154463, -0.4105554, 2.358907, 0.1483709, -0.1056661, 2.387096, 0.1437862, 0.1180408, 2.400377, -0.5713463, -0.005780488, 2.252509, 0.8832259, 0.1000599, 2.299623, -0.5022848, 0.01438366, 2.323468, 0.7640032, 0.08971636, 2.355565
0, 63560285822860, 0, 0, 0.0498795224834256, 2.354677, 38670848097, 0, 0, 0, 0.04352855, -1.089288, 2.319135, 0.2651151, -1.086626, 2.314795, -0.2688356, 0.04604812, 2.366318, 0.5397391, 0.08964981, 2.360397, 0.03162899, -1.144979, 2.252073, 0.2730891, -1.144885, 2.25004, -0.5740527, -0.005686834, 2.329464, 0.878076, 0.08482648, 2.324411, -0.6583029, -0.02131639, 2.35231, 0.9477624, 0.07629554, 2.317447, 0.1148052, 0.3300368, 2.378872, 0.076712, -0.4036371, 2.327892, 0.2232974, -0.3990886, 2.329814, 0.05539826, -0.7577114, 2.32027, 0.2454566, -0.7771634, 2.321987, 0.139727, 0.1906444, 2.390382, -0.04439165, 0.07361789, 2.382278, 0.3102693, 0.1013557, 2.385371, 0.1464324, -0.4062232, 2.363128, 0.1422259, -0.103864, 2.383233, 0.140089, 0.1180588, 2.39086, -0.5803467, -0.01426373, 2.276736, 0.8885835, 0.104659, 2.255439, -0.489661, 0.004478306, 2.342947, 0.7931377, 0.0819013, 2.328578
0, 63560285822860, 0, 1, 0.00321302831938185, 2.342663, 1573874960914, 1, 0, 0, 0.03400744, -1.090686, 2.300208, 0.2606568, -1.100479, 2.308169, -0.284161, 0.0539216, 2.358562, 0.5428713, 0.09068717, 2.376199, 0.01913199, -1.15555, 2.21265, 0.2669023, -1.16029, 2.213403, -0.5417653, 0.009286389, 2.316483, 0.8803302, 0.08306642, 2.358638, -0.6305928, -0.003229678, 2.329108, 0.9589662, 0.07028548, 2.361871, 0.1321424, 0.3327916, 2.39738, 0.07708559, -0.4069233, 2.325957, 0.2277378, -0.402283, 2.322243, 0.04980829, -0.7535926, 2.310497, 0.2446937, -0.7636395, 2.313086, 0.1425347, 0.1914201, 2.400932, -0.04147887, 0.07715298, 2.392806, 0.3204241, 0.1012592, 2.396398, 0.1546641, -0.410612, 2.358624, 0.148689, -0.1057034, 2.386589, 0.1441617, 0.1181491, 2.399692, -0.5733696, -0.005889356, 2.248459, 0.894992, 0.1016433, 2.2854, -0.5021484, 0.01419823, 2.324944, 0.8048004, 0.08318175, 2.352978
