Scenario, Tracker_Time, Person#, Skeleton#, Skeleton_Init_Angle, Skeleton_Init_Dist, Skeleton_Time, Kinect#, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
0, 63560298586969, 0, 0, 0.0099471681950081, 3.062237, 1701509714320, 0, 0, 0, 0.0164011, -1.1552, 3.066792, 0.2714857, -1.159416, 3.069051, -0.1386445, -0.2514782, 3.085135, 0.4130045, -0.2340131, 3.112133, 0.001306236, -1.23019, 2.987029, 0.2797851, -1.231389, 2.983243, -0.244355, -0.5116512, 2.986563, 0.5803778, -0.4766448, 3.018229, -0.2612659, -0.5882753, 2.966854, 0.6143384, -0.5337714, 3.014574, 0.120465, 0.2419094, 3.144087, 0.05853744, -0.4824454, 3.056253, 0.214423, -0.4834419, 3.062108, 0.03645884, -0.8378996, 3.065203, 0.2447112, -0.8371302, 3.067441, 0.1234816, 0.1023712, 3.144363, -0.0344651, -0.01582772, 3.127727, 0.2925315, -0.00846833, 3.128599, 0.1380802, -0.4885586, 3.094603, 0.1311118, -0.1903472, 3.125931, 0.1254739, 0.02991077, 3.142121, -0.2668083, -0.506244, 2.953444, 0.5641472, -0.5014715, 2.976236, -0.2226592, -0.4464565, 3.018504, 0.5344482, -0.4062263, 3.041691
0, 63560298586969, 0, 1, -0.11388282605063, 3.084491, 166311305745, 1, 0, 0, 0.01605666, -1.164686, 3.093705, 0.2756552, -1.167906, 3.079554, -0.1392101, -0.2457156, 3.087983, 0.4108821, -0.2284417, 3.10462, 0.002090409, -1.236438, 3.008996, 0.2883345, -1.238062, 2.990219, -0.2473242, -0.5154531, 2.995968, 0.5802298, -0.4760228, 3.01323, -0.2644672, -0.5815725, 2.984777, 0.6193237, -0.5375556, 3.005128, 0.1116915, 0.2438937, 3.130794, 0.05899551, -0.4832287, 3.054432, 0.2136699, -0.4790557, 3.06544, 0.04013867, -0.8160447, 3.074003, 0.2499633, -0.8301773, 3.073653, 0.1244265, 0.1062072, 3.137311, -0.03701453, -0.01740849, 3.119832, 0.2868503, -0.008445352, 3.120988, 0.1324359, -0.4861247, 3.095571, 0.1278253, -0.1871391, 3.122961, 0.1250446, 0.03363165, 3.136106, -0.220758, -0.5398573, 2.939955, 0.599591, -0.456709, 3.004111, -0.2243448, -0.4479847, 3.024364, 0.5337947, -0.4043708, 3.037577
0, 63560298587235, 0, 0, 0.0099471681950081, 3.062237, 1701512385000, 0, 0, 0, 0.01715265, -1.151785, 3.070246, 0.2709753, -1.156952, 3.069064, -0.1390448, -0.2511826, 3.085278, 0.4153304, -0.2362728, 3.112308, 0.004230469, -1.227082, 2.990315, 0.2807263, -1.229355, 2.984229, -0.2464735, -0.511649, 2.987946, 0.5813373, -0.4732487, 3.013279, -0.2682617, -0.5836303, 2.976099, 0.6150728, -0.5322621, 3.014923, 0.1194065, 0.2436573, 3.14513, 0.05848378, -0.4819318, 3.056523, 0.2145626, -0.483189, 3.062523, 0.03609584, -0.8319497, 3.066216, 0.2454668, -0.8326083, 3.066137, 0.1233583, 0.1030307, 3.14503, -0.03356291, -0.01568982, 3.12758, 0.2923238, -0.008458674, 3.128717, 0.1381196, -0.4881695, 3.09489, 0.1309875, -0.1898889, 3.126363, 0.1253421, 0.03051171, 3.142716, -0.2672454, -0.4907786, 2.983167, 0.5686891, -0.5013449, 2.968143, -0.2230172, -0.4455722, 3.016638, 0.53571, -0.4080912, 3.038729
0, 63560298587235, 0, 1, -0.11388282605063, 3.084491, 166313965010, 1, 0, 0, 0.01624495, -1.164829, 3.093437, 0.2757762, -1.173936, 3.078563, -0.1388534, -0.2476411, 3.086993, 0.4112117, -0.2286354, 3.104145, 0.003762245, -1.235987, 3.007278, 0.2888035, -1.242868, 2.987652, -0.2488462, -0.5128919, 2.994533, 0.5806519, -0.4709954, 3.00704, -0.2663071, -0.5778308, 2.979216, 0.6186664, -0.5328106, 3.004755, 0.1115465, 0.2431233, 3.13069, 0.05907682, -0.4830316, 3.054489, 0.2139703, -0.4790642, 3.065438, 0.03991602, -0.817723, 3.076322, 0.2493571, -0.8344352, 3.075248, 0.1238264, 0.1060168, 3.136494, -0.03685778, -0.01789436, 3.119337, 0.2862015, -0.008589625, 3.120737, 0.1326386, -0.4860561, 3.09561, 0.1276562, -0.1871984, 3.122733, 0.1245674, 0.03347602, 3.135463, -0.2224688, -0.5354481, 2.947371, 0.6167288, -0.4801351, 3.000273, -0.2234271, -0.4444326, 3.023033, 0.5347769, -0.4033256, 3.034687
0, 63560298587502, 0, 0, 0.0099471681950081, 3.062237, 1701515044584, 0, 0, 0, 0.01700008, -1.153306, 3.067566, 0.2707055, -1.152785, 3.072304, -0.1383909, -0.2507243, 3.084974, 0.4093578, -0.2269266, 3.111992, 0.001733989, -1.227408, 2.986193, 0.2780592, -1.226506, 2.989022, -0.2434836, -0.5078522, 2.989404, 0.578506, -0.4746808, 3.010421, -0.2645553, -0.5848553, 2.969859, 0.6113654, -0.5310175, 3.005903, 0.1194187, 0.2430331, 3.143664, 0.05852184, -0.4819896, 3.056776, 0.2145924, -0.4825582, 3.062255, 0.03743726, -0.8411947, 3.067818, 0.2459655, -0.8232511, 3.06494, 0.1232676, 0.1030554, 3.144485, -0.03445779, -0.01598075, 3.127631, 0.2915723, -0.007254094, 3.12847, 0.1381265, -0.487949, 3.094999, 0.1309315, -0.1897867, 3.126287, 0.1252554, 0.03055504, 3.142324, -0.2653894, -0.492939, 2.977769, 0.6028885, -0.4938471, 3.013429, -0.2230263, -0.4448806, 3.016684, 0.5288764, -0.399205, 3.038028
0, 63560298587502, 0, 1, -0.11388282605063, 3.084491, 166316635198, 1, 0, 0, 0.0156621, -1.167255, 3.091258, 0.2758373, -1.164856, 3.083053, -0.1384524, -0.2466615, 3.086923, 0.4107612, -0.2280775, 3.103899, 0.002558112, -1.239096, 3.006454, 0.2869436, -1.235328, 2.993833, -0.2455916, -0.5128234, 2.99358, 0.5784528, -0.4714118, 3.000667, -0.2601274, -0.5802993, 2.975534, 0.6161156, -0.5323011, 2.994039, 0.110703, 0.2432123, 3.131362, 0.05920922, -0.4829503, 3.054989, 0.2139533, -0.478833, 3.065933, 0.04030612, -0.8199039, 3.078381, 0.2495097, -0.832672, 3.076433, 0.1239789, 0.10582, 3.137095, -0.03677513, -0.01769051, 3.120061, 0.2857896, -0.008477509, 3.120173, 0.1327521, -0.4858553, 3.096251, 0.1276529, -0.1871789, 3.123288, 0.1246469, 0.03333643, 3.136033, -0.2581875, -0.5449322, 2.99056, 0.6126561, -0.4768288, 2.98312, -0.2239, -0.4431239, 3.023162, 0.534804, -0.4015011, 3.031707
0, 63560298587768, 0, 0, 0.0099471681950081, 3.062237, 1701517713594, 0, 0, 0, 0.01660465, -1.155389, 3.066651, 0.2714152, -1.154993, 3.070628, -0.1371375, -0.2489013, 3.084707, 0.4100692, -0.2267521, 3.111449, 0.0006212443, -1.230064, 2.986598, 0.2787874, -1.229141, 2.988141, -0.2459566, -0.5117189, 2.986687, 0.5776962, -0.4773139, 3.013533, -0.2666533, -0.5840217, 2.970735, 0.6112016, -0.5363815, 3.013203, 0.1195631, 0.2425736, 3.143426, 0.05876324, -0.4819782, 3.056745, 0.2147702, -0.482424, 3.062404, 0.03677548, -0.839816, 3.067659, 0.2447577, -0.8300974, 3.066053, 0.1237275, 0.1030084, 3.143999, -0.03420909, -0.01600787, 3.127125, 0.2915091, -0.007241547, 3.128325, 0.13833, -0.487858, 3.095071, 0.1312094, -0.1897366, 3.126135, 0.1256688, 0.03053746, 3.141936, -0.2684527, -0.5099423, 2.9764, 0.5622237, -0.5018193, 2.968409, -0.2233967, -0.4438701, 3.017455, 0.5301301, -0.4010885, 3.037823
0, 63560298587768, 0, 1, -0.11388282605063, 3.084491, 166319305850, 1, 0, 0, 0.01576325, -1.166294, 3.090873, 0.2761975, -1.168803, 3.079991, -0.1374768, -0.2459211, 3.087681, 0.4106717, -0.2284234, 3.102898, 0.002113536, -1.237759, 3.005641, 0.2896442, -1.239334, 2.991378, -0.2518461, -0.5129835, 2.996232, 0.5776675, -0.4751509, 3.008837, -0.2643056, -0.579885, 2.975348, 0.6141872, -0.5343569, 2.994877, 0.1106714, 0.2440904, 3.130186, 0.05940425, -0.483467, 3.055247, 0.2140708, -0.4788436, 3.066271, 0.04059789, -0.8122214, 3.074665, 0.2506323, -0.8341876, 3.075988, 0.1241776, 0.1058335, 3.136656, -0.03718239, -0.01883063, 3.119561, 0.2864143, -0.008149981, 3.120294, 0.1329193, -0.4860481, 3.096531, 0.1277522, -0.1872032, 3.123246, 0.1248095, 0.03333709, 3.1357, -0.2654513, -0.5512743, 2.985625, 0.6135844, -0.4753233, 2.997562, -0.2229478, -0.4422749, 3.023533, 0.5331733, -0.4030426, 3.031022
0, 63560298588035, 0, 0, 0.0099471681950081, 3.062237, 1701520384277, 0, 0, 0, 0.01787075, -1.15268, 3.069175, 0.271618, -1.153072, 3.072325, -0.1364047, -0.2484133, 3.085266, 0.4149064, -0.2335063, 3.110432, 0.002708614, -1.226412, 2.987087, 0.2805233, -1.226779, 2.989363, -0.2465263, -0.5131741, 2.988257, 0.5783993, -0.4766298, 3.012622, -0.2593167, -0.5879008, 2.971528, 0.611116, -0.5316183, 3.004704, 0.1202031, 0.242157, 3.143567, 0.05908082, -0.4819129, 3.056996, 0.2149589, -0.4822687, 3.062569, 0.0367594, -0.8425454, 3.068902, 0.2439905, -0.8232195, 3.06637, 0.1249066, 0.1028076, 3.143989, -0.03401108, -0.01605472, 3.126824, 0.2923661, -0.007351875, 3.128345, 0.1385788, -0.4877416, 3.095268, 0.1317333, -0.1897205, 3.126194, 0.1266595, 0.03039584, 3.14193, -0.2741582, -0.5227585, 2.967211, 0.5625696, -0.5040182, 2.9703, -0.2226681, -0.445383, 3.013579, 0.5335063, -0.4063609, 3.036576
0, 63560298588035, 0, 1, -0.11388282605063, 3.084491, 166321964959, 1, 0, 0, 0.01630636, -1.166762, 3.091805, 0.2762246, -1.164472, 3.083944, -0.1375839, -0.2453712, 3.087402, 0.4105076, -0.2280003, 3.102813, 0.001908809, -1.237337, 3.005442, 0.2875649, -1.235934, 2.996238, -0.2469413, -0.5131565, 2.996997, 0.5789242, -0.4764629, 3.008657, -0.2598927, -0.5823485, 2.982773, 0.6143877, -0.538078, 3.008178, 0.1108194, 0.243609, 3.129764, 0.05949751, -0.4830876, 3.055111, 0.2142058, -0.478545, 3.066016, 0.04060649, -0.8177778, 3.07553, 0.2514894, -0.827132, 3.073647, 0.1246443, 0.1059475, 3.136401, -0.03693962, -0.01836792, 3.119334, 0.2867535, -0.007886946, 3.120363, 0.1330431, -0.4857385, 3.096348, 0.1280449, -0.1869941, 3.123009, 0.1252182, 0.03347197, 3.13544, -0.255277, -0.5745847, 3.002343, 0.6135048, -0.4937178, 3.003525, -0.2235129, -0.4415391, 3.022382, 0.5322351, -0.4041566, 3.033913
