Study, KinectConfig, Scenario, Tracker_Time, Person#, Skeleton#, Skeleton_Time, Skeleton_Init_Angle, Skeleton_Init_Dist, Kinect#, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
23, 2, 4, 63562372718093, 0, 0, 2311342976950, 0.126803474253648, 2.443231, 138.251.213.82, 0, 100, -0.3439883, -0.9139194, 2.475622, -0.2148837, -0.919163, 2.490481, -0.4949371, 0.1712729, 2.465698, -0.08448344, 0.1561414, 2.572085, -0.3550929, -0.9675211, 2.37011, -0.1883236, -0.9695457, 2.390532, -0.4477081, -0.1420644, 2.360931, -0.05951978, -0.114528, 2.462596, -0.4217445, -0.2303847, 2.349659, -0.05441159, -0.214609, 2.445527, -0.264168, 0.7337567, 2.481511, -0.334224, -0.09983955, 2.444731, -0.183474, -0.0973302, 2.470568, -0.3672235, -0.5625585, 2.450306, -0.1831889, -0.5698337, 2.488852, -0.2944557, 0.5709544, 2.479331, -0.4434328, 0.4245813, 2.457896, -0.123466, 0.4315401, 2.527832, -0.2630533, -0.1001831, 2.497402, -0.2797317, 0.2411551, 2.495505, -0.2910873, 0.490087, 2.485829, -0.3893432, -0.1204284, 2.339909, -0.02603778, -0.1193562, 2.461286, -0.468559, -0.08183887, 2.3782, -0.04489309, -0.0615844, 2.494687
23, 2, 4, 63562372718093, 0, 1, 75836975141, -0.67511031020911, 2.60326, 138.251.207.136, 0, 100, -0.3156117, -0.9078493, 2.481973, -0.1771533, -0.9011838, 2.51575, -0.5237542, 0.1578488, 2.450316, -0.09115174, 0.1710818, 2.577366, -0.2985293, -0.9572172, 2.40151, -0.1382743, -0.9489551, 2.422473, -0.4381631, -0.1587357, 2.354216, -0.04202187, -0.1289127, 2.469684, -0.4022248, -0.2409583, 2.355059, -0.04656695, -0.2094133, 2.4484, -0.3148091, 0.7308415, 2.459322, -0.3681148, -0.1210831, 2.421466, -0.2189705, -0.1099599, 2.463363, -0.3487384, -0.5747281, 2.464346, -0.1663081, -0.5263506, 2.493077, -0.2811904, 0.5678425, 2.472274, -0.4832177, 0.4337798, 2.448105, -0.1429472, 0.4258082, 2.526364, -0.3237456, -0.1173271, 2.470011, -0.3073238, 0.2309089, 2.476476, -0.2894983, 0.4851489, 2.475149, -0.3791212, -0.16371, 2.35163, -0.004887938, -0.1520837, 2.485754, -0.4598592, -0.09826712, 2.373335, -0.03381568, -0.04865995, 2.501095
23, 2, 4, 63562372718093, 1, 0, 2311342976950, -0.0435215226975119, 2.589224, 138.251.213.82, 0, 100, 0.4745721, -0.9214242, 2.652069, 0.6412966, -0.9139695, 2.634132, 0.3222068, 0.1298826, 2.666491, 0.7633794, 0.1106502, 2.6551, 0.4521876, -0.9609122, 2.533339, 0.6365613, -0.9649293, 2.525531, 0.3301542, -0.1654084, 2.566219, 0.7539598, -0.180505, 2.544984, 0.3205645, -0.2344576, 2.533666, 0.7635452, -0.2441571, 2.510119, 0.5764806, 0.6760108, 2.62177, 0.4761563, -0.1328737, 2.613176, 0.6348489, -0.1332215, 2.601064, 0.4605824, -0.5905538, 2.634701, 0.6508363, -0.5769066, 2.627325, 0.5531116, 0.5210975, 2.646555, 0.3775722, 0.3994136, 2.654655, 0.7347265, 0.3823647, 2.636867, 0.563742, -0.1350569, 2.645837, 0.559492, 0.1982015, 2.65329, 0.5552256, 0.4417844, 2.650682, 0.3795106, -0.1610252, 2.539377, 0.697871, -0.1939826, 2.516373, 0.3099393, -0.1099765, 2.587396, 0.7758707, -0.1229287, 2.56773
23, 2, 4, 63562372718093, 1, 1, 75836975141, -0.757098241056607, 2.117395, 138.251.207.136, 0, 100, 0.5023444, -0.9144816, 2.658036, 0.6881052, -0.8989944, 2.669024, 0.3162262, 0.09741776, 2.669673, 0.7712498, 0.1387865, 2.652887, 0.4895839, -0.9839314, 2.56385, 0.6817786, -0.958429, 2.559516, 0.3318909, -0.1892431, 2.563363, 0.7784083, -0.1823193, 2.530428, 0.3370546, -0.2457228, 2.542049, 0.7782022, -0.2485632, 2.502462, 0.525946, 0.6737552, 2.609963, 0.4728861, -0.1284218, 2.592883, 0.6048364, -0.1215667, 2.601753, 0.4828989, -0.5826681, 2.640598, 0.677229, -0.5658301, 2.622893, 0.5586267, 0.5245152, 2.638702, 0.3611438, 0.39634, 2.642888, 0.71147, 0.3832844, 2.62948, 0.5222823, -0.1269587, 2.632792, 0.5379869, 0.2047231, 2.64202, 0.5525146, 0.4462155, 2.641715, 0.3030215, -0.1815362, 2.546685, 0.73799, -0.1564284, 2.530966, 0.3170083, -0.1261078, 2.597471, 0.7872345, -0.1072795, 2.561357
23, 2, 4, 63562372718130, 0, 0, 2311343306899, 0.126803474253648, 2.443231, 138.251.213.82, 0, 100, -0.3435522, -0.9142026, 2.475623, -0.2150184, -0.9197401, 2.490819, -0.4955246, 0.1716042, 2.465474, -0.08465844, 0.1561431, 2.57195, -0.3549529, -0.9675081, 2.370057, -0.1870582, -0.9700333, 2.38946, -0.4482843, -0.1422014, 2.360349, -0.06176686, -0.1358026, 2.455753, -0.4271431, -0.2287911, 2.349247, -0.05645332, -0.2227669, 2.447722, -0.2645048, 0.7338327, 2.480919, -0.334832, -0.0999285, 2.444206, -0.1842128, -0.09735283, 2.469693, -0.3671905, -0.5621624, 2.450133, -0.1827733, -0.5680649, 2.488296, -0.2953768, 0.5709733, 2.47863, -0.4441314, 0.4245812, 2.457539, -0.1236387, 0.431595, 2.527532, -0.2637351, -0.1002428, 2.496697, -0.2805602, 0.2411289, 2.494744, -0.2919939, 0.490095, 2.485105, -0.389851, -0.1196186, 2.338812, -0.02603102, -0.1197812, 2.460667, -0.4694372, -0.08053646, 2.378301, -0.04534048, -0.06144621, 2.493941
23, 2, 4, 63562372718130, 0, 1, 75837305167, -0.67511031020911, 2.60326, 138.251.207.136, 0, 100, -0.3156033, -0.9078068, 2.481908, -0.1771529, -0.9011606, 2.515764, -0.5236451, 0.1578922, 2.449924, -0.09206051, 0.1708956, 2.576829, -0.2940106, -0.9565104, 2.400045, -0.1383172, -0.9489069, 2.422475, -0.436178, -0.1598641, 2.352447, -0.04213572, -0.1293744, 2.469302, -0.4222272, -0.2394259, 2.360676, -0.04589176, -0.2091012, 2.451725, -0.3150766, 0.7309517, 2.459034, -0.3681295, -0.1211399, 2.421432, -0.2189174, -0.1100889, 2.46328, -0.3488804, -0.5748736, 2.464319, -0.1665152, -0.5259107, 2.492757, -0.2812902, 0.5679421, 2.472027, -0.4832056, 0.4338432, 2.447805, -0.1432065, 0.4258721, 2.526084, -0.3237348, -0.1174218, 2.469947, -0.3073688, 0.230886, 2.476328, -0.289586, 0.4852123, 2.474924, -0.3792524, -0.154844, 2.351078, -0.002405465, -0.1440331, 2.487528, -0.4601322, -0.0984977, 2.372749, -0.03405456, -0.04866412, 2.500685
23, 2, 4, 63562372718130, 1, 0, 2311343306899, -0.0435215226975119, 2.589224, 138.251.213.82, 0, 100, 0.475815, -0.9219575, 2.652259, 0.6412702, -0.9140114, 2.634104, 0.3222525, 0.1299145, 2.666519, 0.763356, 0.1106882, 2.655077, 0.4526269, -0.9596254, 2.534901, 0.6358879, -0.9648552, 2.526017, 0.3310825, -0.1660498, 2.564876, 0.7542629, -0.1799668, 2.542998, 0.3241617, -0.2353792, 2.532643, 0.7619791, -0.2432575, 2.50771, 0.5764827, 0.6760136, 2.621768, 0.4762683, -0.1328999, 2.613099, 0.6349558, -0.1331926, 2.601066, 0.4606126, -0.5903842, 2.634636, 0.6508361, -0.5769051, 2.627324, 0.5530684, 0.5210883, 2.646766, 0.377566, 0.3992094, 2.654648, 0.7346547, 0.3823436, 2.636635, 0.5638475, -0.1350529, 2.645808, 0.5595239, 0.1981968, 2.653319, 0.5552122, 0.4417756, 2.650822, 0.3791187, -0.1525162, 2.544081, 0.6973017, -0.1877383, 2.515065, 0.3104886, -0.1103268, 2.58698, 0.7758005, -0.1229338, 2.567722
23, 2, 4, 63562372718130, 1, 1, 75837305167, -0.757098241056607, 2.117395, 138.251.207.136, 0, 100, 0.502337, -0.9144439, 2.658037, 0.6881366, -0.899086, 2.66901, 0.316389, 0.09722073, 2.669593, 0.771198, 0.1385844, 2.652888, 0.4856085, -0.9842661, 2.56632, 0.681847, -0.9584274, 2.559403, 0.3323454, -0.1904246, 2.56334, 0.7786981, -0.1824714, 2.529905, 0.3407991, -0.2511945, 2.543567, 0.7768955, -0.2492653, 2.502979, 0.5259333, 0.673753, 2.609972, 0.4728966, -0.1284338, 2.592855, 0.6048342, -0.1215673, 2.601748, 0.4828957, -0.5829315, 2.64064, 0.6772401, -0.565856, 2.622879, 0.558554, 0.5244873, 2.638792, 0.3610845, 0.3962203, 2.642884, 0.7114719, 0.383295, 2.629473, 0.5222827, -0.1269622, 2.63278, 0.5379666, 0.2047176, 2.642036, 0.552459, 0.4461957, 2.641781, 0.3033068, -0.1962091, 2.540318, 0.7378296, -0.1552518, 2.530803, 0.3171996, -0.1262905, 2.597334, 0.787227, -0.1072785, 2.56135
23, 2, 4, 63562372718163, 0, 0, 2311343647779, 0.126803474253648, 2.443231, 138.251.213.82, 0, 100, -0.3436516, -0.9139829, 2.475771, -0.2150777, -0.9197796, 2.490762, -0.4958019, 0.1709652, 2.46501, -0.08480804, 0.1561829, 2.571832, -0.3549734, -0.967441, 2.37002, -0.1870452, -0.9698591, 2.3897, -0.4482082, -0.1414762, 2.359633, -0.05966651, -0.1137234, 2.463617, -0.4253657, -0.2281159, 2.347587, -0.05306385, -0.213782, 2.447073, -0.2649131, 0.7339274, 2.480406, -0.3354053, -0.09998725, 2.443895, -0.1847814, -0.09730381, 2.469442, -0.3672921, -0.5618252, 2.449986, -0.1826114, -0.5646383, 2.487162, -0.2960971, 0.5710537, 2.478107, -0.444716, 0.4246609, 2.457477, -0.1239373, 0.4313663, 2.526896, -0.2643115, -0.1002461, 2.496406, -0.2812236, 0.241162, 2.494311, -0.2927059, 0.4901636, 2.4846, -0.3886501, -0.1274796, 2.339, -0.02627523, -0.07230067, 2.4834, -0.4696356, -0.08050314, 2.378015, -0.04563054, -0.06140535, 2.493737
23, 2, 4, 63562372718163, 0, 1, 75837635840, -0.67511031020911, 2.60326, 138.251.207.136, 0, 100, -0.315428, -0.9079772, 2.481961, -0.1769867, -0.9015069, 2.515739, -0.5240067, 0.158516, 2.449615, -0.09224111, 0.1710589, 2.576291, -0.2957711, -0.9577055, 2.401502, -0.1383037, -0.9488994, 2.422452, -0.4364911, -0.1596968, 2.352124, -0.04213032, -0.1290993, 2.467841, -0.4135587, -0.2406144, 2.360601, -0.04464644, -0.2064731, 2.447665, -0.3158394, 0.731058, 2.458762, -0.3677509, -0.1213252, 2.421077, -0.2188965, -0.1101042, 2.463275, -0.3489702, -0.574883, 2.464164, -0.1665989, -0.525409, 2.492225, -0.2814364, 0.567853, 2.471333, -0.4832571, 0.4339203, 2.447706, -0.1433814, 0.4258665, 2.525894, -0.3235908, -0.1175052, 2.469824, -0.3073491, 0.2307912, 2.47596, -0.2896881, 0.4851205, 2.474308, -0.3802716, -0.1503604, 2.352045, 0.0004878938, -0.1457222, 2.483102, -0.4602891, -0.09854256, 2.372619, -0.03430171, -0.04859089, 2.50053
