Study, KinectConfig, Scenario, Tracker_Time, Person#, Skeleton#, Skeleton_Time, Skeleton_Init_Angle, Skeleton_Init_Dist, Kinect#, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
6, 1, 1, 63562199833389, 0, 0, 245918896046, -0.745693283253038, 2.040559, 138.251.207.136, 0, 100, 0.2594943, -0.5157643, 2.260166, 0.5115537, -0.6296309, 2.033108, 0.1969318, 0.1720321, 2.29897, 0.5126429, 0.1373616, 1.971268, 0.1864249, -0.5575055, 2.15264, 0.4573502, -0.7403046, 2.032254, 0.1524386, -0.1459448, 2.245444, 0.4513893, -0.1164661, 1.895718, 0.1409581, -0.2162523, 2.230024, 0.4217754, -0.1925495, 1.891927, 0.316576, 0.6147254, 2.128805, 0.2814193, -0.03952116, 2.137142, 0.395496, -0.02931694, 2.059269, 0.1244789, -0.0953274, 2.337219, 0.4469486, -0.3115852, 1.994666, 0.3622081, 0.4891065, 2.139269, 0.2302029, 0.381277, 2.261366, 0.4655112, 0.3664854, 2.043846, 0.3435088, -0.03530375, 2.129892, 0.3548925, 0.2311925, 2.139234, 0.360847, 0.4258026, 2.140985, 0.1878947, -0.1536963, 2.234, 0.4094637, -0.1457433, 1.869909, 0.1587336, -0.06675113, 2.258538, 0.4795723, -0.07332554, 1.906102
6, 1, 1, 63562199833389, 0, 1, 582493319851, -0.0854560075791188, 2.33984, 138.251.213.82, 0, 100, 0.2629865, -0.8040192, 2.159404, 0.3791838, -0.7997988, 2.057784, 0.1773984, 0.1847208, 2.284805, 0.4902167, 0.1720318, 1.991871, 0.1855494, -0.8650663, 2.093, 0.3507393, -0.865782, 1.973317, 0.1057881, -0.06390629, 2.226302, 0.4250181, -0.05702823, 1.907396, 0.08593221, -0.1284923, 2.199627, 0.4112523, -0.1289597, 1.897812, 0.3642004, 0.6879299, 2.127964, 0.2597555, -0.07461024, 2.167441, 0.3700491, -0.07536194, 2.063839, 0.2352982, -0.4741658, 2.165513, 0.3709251, -0.459974, 2.0317, 0.3552106, 0.5489081, 2.162402, 0.2271733, 0.4352939, 2.266787, 0.4673434, 0.4156784, 2.039678, 0.3430839, -0.07866768, 2.141646, 0.3542403, 0.2398372, 2.156505, 0.3567496, 0.4729168, 2.162543, 0.1069102, -0.06680813, 2.184641, 0.4079842, -0.04676975, 1.94844, 0.121288, -0.01197443, 2.240197, 0.4506768, -0.0215077, 1.922245
6, 1, 1, 63562199833435, 0, 0, 245919225310, -0.745693283253038, 2.040559, 138.251.207.136, 0, 100, 0.2589126, -0.5183034, 2.261323, 0.5183401, -0.628441, 2.026762, 0.1966715, 0.1717424, 2.298214, 0.5116606, 0.1372782, 1.969995, 0.1859359, -0.559952, 2.153692, 0.4620424, -0.737847, 2.027825, 0.1503169, -0.1441016, 2.240474, 0.446011, -0.1157727, 1.892487, 0.1363476, -0.2131905, 2.225241, 0.4086459, -0.191239, 1.886292, 0.316491, 0.6147621, 2.12882, 0.2797861, -0.03804084, 2.136037, 0.3935345, -0.02965394, 2.058805, 0.1219681, -0.09792811, 2.334567, 0.4451828, -0.3116924, 1.992346, 0.3621863, 0.4890942, 2.13925, 0.2301667, 0.382061, 2.260473, 0.4652947, 0.3665669, 2.043455, 0.3418831, -0.03475615, 2.129275, 0.3542225, 0.2313395, 2.139084, 0.3607483, 0.425801, 2.140955, 0.1881526, -0.1353609, 2.238158, 0.4111512, -0.1139795, 1.868373, 0.1592068, -0.06273647, 2.256377, 0.4752419, -0.07199808, 1.905513
6, 1, 1, 63562199833435, 0, 1, 582493650607, -0.0854560075791188, 2.33984, 138.251.213.82, 0, 100, 0.2647707, -0.8029583, 2.160543, 0.3796745, -0.7996446, 2.058378, 0.1768158, 0.1848578, 2.285058, 0.4906053, 0.1715676, 1.99258, 0.1874025, -0.8666527, 2.099029, 0.3514251, -0.8651754, 1.973321, 0.1065494, -0.06627574, 2.229492, 0.4361772, -0.05854283, 1.915441, 0.09132919, -0.1304883, 2.203805, 0.4093279, -0.1289613, 1.90346, 0.364851, 0.6879949, 2.129743, 0.2600213, -0.07443134, 2.168074, 0.3706533, -0.07502609, 2.064889, 0.2361875, -0.4693549, 2.16695, 0.3716072, -0.4596449, 2.03272, 0.3554186, 0.549, 2.162571, 0.2271511, 0.4354247, 2.267403, 0.4690248, 0.4163115, 2.040988, 0.3434116, -0.07842631, 2.142369, 0.3545008, 0.2399916, 2.156926, 0.3569686, 0.4730214, 2.162767, 0.1328741, -0.06982965, 2.204221, 0.4053138, -0.04270387, 1.938474, 0.1210586, -0.01185451, 2.240071, 0.451037, -0.02189758, 1.922747
6, 1, 1, 63562199833476, 0, 0, 245919555890, -0.745693283253038, 2.040559, 138.251.207.136, 0, 100, 0.2588565, -0.5166908, 2.262595, 0.5100151, -0.6292226, 2.035594, 0.1967111, 0.1720082, 2.299724, 0.511147, 0.1374162, 1.969999, 0.1853723, -0.558381, 2.155431, 0.4563896, -0.7403986, 2.03353, 0.1505611, -0.1463537, 2.249994, 0.4451234, -0.1128055, 1.896445, 0.1392417, -0.2127493, 2.233442, 0.4081644, -0.1885096, 1.888945, 0.3169535, 0.6157037, 2.130706, 0.2795892, -0.03724253, 2.13703, 0.3926504, -0.0295503, 2.059187, 0.1217449, -0.09634946, 2.335735, 0.445408, -0.311577, 1.99481, 0.3621039, 0.4894253, 2.139548, 0.2307359, 0.3832012, 2.263027, 0.4651887, 0.3666103, 2.043579, 0.3413344, -0.03430407, 2.12992, 0.3537455, 0.231815, 2.139683, 0.3605617, 0.426183, 2.14135, 0.1813254, -0.1307669, 2.220417, 0.4038511, -0.1372131, 1.871188, 0.1586208, -0.07581475, 2.259855, 0.4729642, -0.07107715, 1.906308
6, 1, 1, 63562199833476, 0, 1, 582493989796, -0.0854560075791188, 2.33984, 138.251.213.82, 0, 100, 0.2704712, -0.803188, 2.167164, 0.3826431, -0.797698, 2.061049, 0.1775167, 0.1847151, 2.287512, 0.4955561, 0.1715956, 2.004622, 0.1984406, -0.8708249, 2.106759, 0.3627303, -0.8705174, 1.986741, 0.1133109, -0.06668907, 2.234829, 0.4373776, -0.06173841, 1.926081, 0.1012406, -0.1312251, 2.210796, 0.4162148, -0.1293513, 1.911252, 0.3684951, 0.6913689, 2.139323, 0.2617803, -0.07347506, 2.171456, 0.3756495, -0.07342907, 2.071929, 0.2392758, -0.4704438, 2.170635, 0.3753937, -0.4626748, 2.038889, 0.3585454, 0.5505162, 2.167632, 0.2284868, 0.4356643, 2.269809, 0.4755965, 0.4184226, 2.052494, 0.3463858, -0.07714864, 2.147229, 0.3575342, 0.2413894, 2.162006, 0.3600698, 0.4745078, 2.167857, 0.1178892, -0.0688301, 2.198044, 0.4156659, -0.0429764, 1.951937, 0.1218975, -0.01187716, 2.241721, 0.4542691, -0.0214374, 1.934336
6, 1, 1, 63562199833508, 0, 0, 245919895992, -0.745693283253038, 2.040559, 138.251.207.136, 0, 100, 0.2628027, -0.513059, 2.264173, 0.5159979, -0.6250535, 2.023307, 0.1966151, 0.1718552, 2.299802, 0.5107384, 0.1374136, 1.969913, 0.1892629, -0.5547919, 2.157, 0.4611267, -0.7348251, 2.025262, 0.1496667, -0.1447405, 2.243184, 0.4414854, -0.111654, 1.894508, 0.1368882, -0.2126286, 2.22973, 0.403999, -0.1874361, 1.889864, 0.3172396, 0.6161399, 2.131072, 0.2785524, -0.03679224, 2.137826, 0.3909848, -0.02988408, 2.060223, 0.1207032, -0.09430023, 2.336902, 0.4460641, -0.3091884, 1.978939, 0.3619823, 0.4894708, 2.139743, 0.2306496, 0.3832299, 2.263042, 0.4650311, 0.3666372, 2.04364, 0.3399623, -0.03413731, 2.130879, 0.3529375, 0.2319402, 2.14033, 0.3602949, 0.4262514, 2.141664, 0.1892261, -0.1262243, 2.242207, 0.406791, -0.08447985, 1.912444, 0.1585052, -0.07480447, 2.25947, 0.4709074, -0.06879991, 1.905771
6, 1, 1, 63562199833508, 0, 1, 582494319819, -0.0854560075791188, 2.33984, 138.251.213.82, 0, 100, 0.2700742, -0.8029476, 2.166671, 0.3826691, -0.7978697, 2.060989, 0.1772519, 0.1849744, 2.287539, 0.4954167, 0.1720445, 2.004234, 0.1978484, -0.8704826, 2.106294, 0.3611754, -0.8700521, 1.985479, 0.1066294, -0.06202696, 2.225977, 0.4284029, -0.05527995, 1.913689, 0.09025632, -0.1305416, 2.195251, 0.4035276, -0.1260485, 1.896831, 0.3679862, 0.6908136, 2.13858, 0.2616207, -0.07333162, 2.171497, 0.3755998, -0.07339477, 2.071942, 0.2386744, -0.4706629, 2.170649, 0.3752769, -0.4626849, 2.038934, 0.3584132, 0.5504307, 2.167524, 0.228485, 0.4357674, 2.270113, 0.4759668, 0.4186979, 2.052267, 0.3462891, -0.07706273, 2.147261, 0.3574438, 0.2413945, 2.161987, 0.3599513, 0.4744516, 2.16778, 0.1496899, -0.06759084, 2.205668, 0.4115099, -0.05264021, 1.956826, 0.1214205, -0.01148625, 2.241323, 0.4536366, -0.02090623, 1.933944
6, 1, 1, 63562199833539, 0, 0, 245920225345, -0.745693283253038, 2.040559, 138.251.207.136, 0, 100, 0.2567437, -0.5142703, 2.269343, 0.5180141, -0.6243169, 2.024601, 0.1959077, 0.171802, 2.295568, 0.5088412, 0.1371458, 1.967865, 0.1842676, -0.5558284, 2.161172, 0.4622596, -0.7339301, 2.025906, 0.1470725, -0.1420582, 2.224077, 0.4363409, -0.1121318, 1.885705, 0.1340584, -0.2090963, 2.205319, 0.3938822, -0.1872915, 1.875247, 0.3154426, 0.6154303, 2.129008, 0.2732305, -0.03702497, 2.135496, 0.3863104, -0.03106635, 2.058645, 0.1168509, -0.09384166, 2.335577, 0.4486311, -0.3087609, 1.977867, 0.3612725, 0.4891623, 2.139325, 0.2284208, 0.3825459, 2.257915, 0.4642597, 0.3666703, 2.042743, 0.3348961, -0.03477566, 2.129027, 0.3502143, 0.2314444, 2.139359, 0.3591648, 0.4258943, 2.141151, 0.1850168, -0.140812, 2.229074, 0.4000773, -0.1018609, 1.8644, 0.1562054, -0.06672724, 2.246189, 0.4681082, -0.06765808, 1.90344
6, 1, 1, 63562199833539, 0, 1, 582494650464, -0.0854560075791188, 2.33984, 138.251.213.82, 0, 100, 0.2620534, -0.8040368, 2.157769, 0.3740287, -0.7973341, 2.054904, 0.1740752, 0.186781, 2.283793, 0.4720176, 0.167207, 1.994757, 0.1784925, -0.8522927, 2.08031, 0.3351952, -0.8536689, 1.960821, 0.09368318, -0.05727053, 2.208657, 0.4041681, -0.05917656, 1.915891, 0.07650512, -0.1244938, 2.16697, 0.3809131, -0.1157575, 1.872817, 0.3542833, 0.6860728, 2.125849, 0.2567518, -0.07514549, 2.169033, 0.3557557, -0.07511272, 2.0555, 0.2323048, -0.478359, 2.16249, 0.3677657, -0.4613149, 2.033769, 0.3425275, 0.5510178, 2.164001, 0.2264967, 0.4363334, 2.268491, 0.4329282, 0.4187745, 2.033677, 0.3353557, -0.07908688, 2.139498, 0.3443061, 0.2406645, 2.156457, 0.3448006, 0.4746983, 2.163759, 0.08292148, -0.05191714, 2.158084, 0.4020203, -0.09695295, 1.964602, 0.1129827, -0.006547682, 2.229348, 0.4236854, -0.02011462, 1.912445
