Study, KinectConfig, Scenario, Tracker_Time, Person#, Skeleton#, Skeleton_Time, Skeleton_Init_Angle, Skeleton_Init_Dist, Kinect#, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
0, 0, 1, 63562188943735, 0, 0, 137022421279, 0.107673429738521, 2.414011, 138.251.207.136, 0, 100, -0.3894378, -0.8529006, 2.450097, -0.1567483, -0.8488399, 2.465153, -0.5006984, 0.1033456, 2.384257, -0.06967822, 0.08975668, 2.458664, -0.3971644, -0.9226962, 2.368353, -0.14181, -0.9099873, 2.384464, -0.4683276, -0.2106484, 2.322977, -0.06754801, -0.2264157, 2.391001, -0.4643377, -0.2988333, 2.317346, -0.0629897, -0.306486, 2.388652, -0.2711056, 0.6255373, 2.424694, -0.3551923, -0.1416947, 2.390102, -0.1991873, -0.1412593, 2.413448, -0.3782985, -0.5210688, 2.426209, -0.1696225, -0.5347144, 2.449394, -0.2871567, 0.4720065, 2.443871, -0.4583674, 0.356298, 2.403583, -0.1086747, 0.3431624, 2.458384, -0.2815358, -0.1436938, 2.439657, -0.285183, 0.1692, 2.448326, -0.2869618, 0.3976779, 2.447335, -0.5102518, -0.2374545, 2.296714, -0.1074076, -0.2213057, 2.342173, -0.4883204, -0.1440932, 2.325067, -0.04966918, -0.1421066, 2.407992
0, 0, 1, 63562188943735, 0, 1, 473602282827, 0.0529372744110163, 2.442984, 138.251.213.82, 0, 100, -0.4132333, -0.8424046, 2.431492, -0.1764251, -0.8356069, 2.456325, -0.4895712, 0.1179421, 2.380721, -0.05770738, 0.09265935, 2.461813, -0.424176, -0.9081901, 2.334656, -0.1630119, -0.9040289, 2.357021, -0.462778, -0.175826, 2.305386, -0.06140894, -0.2166484, 2.376358, -0.4527033, -0.2543949, 2.290327, -0.0663303, -0.2862082, 2.369457, -0.2221721, 0.655042, 2.426852, -0.3401508, -0.1107546, 2.381933, -0.1817628, -0.1154389, 2.402936, -0.3917486, -0.5038322, 2.418798, -0.1818345, -0.5018024, 2.44098, -0.2629544, 0.5096126, 2.449302, -0.4316108, 0.3918863, 2.410014, -0.08993371, 0.3639376, 2.456638, -0.2566467, -0.1154962, 2.429232, -0.2589555, 0.2018378, 2.445657, -0.2616619, 0.4339721, 2.450688, -0.4261824, -0.1775993, 2.272086, -0.100232, -0.218526, 2.338547, -0.4807997, -0.1142534, 2.318711, -0.05016239, -0.1412183, 2.397634
0, 0, 1, 63562188943767, 0, 0, 137022760672, 0.107673429738521, 2.414011, 138.251.207.136, 0, 100, -0.3894779, -0.8530098, 2.449547, -0.1566048, -0.8491704, 2.464943, -0.5007684, 0.1030749, 2.384139, -0.06962606, 0.08968315, 2.458735, -0.3971488, -0.9229072, 2.3681, -0.1415906, -0.9100882, 2.383311, -0.4692631, -0.2100607, 2.321318, -0.06732425, -0.2265978, 2.387108, -0.4662213, -0.299643, 2.312071, -0.06336558, -0.3055793, 2.38306, -0.2718022, 0.6255163, 2.42444, -0.3554896, -0.1418306, 2.390127, -0.1994332, -0.1414209, 2.413384, -0.3782418, -0.5217813, 2.426047, -0.1696221, -0.5347495, 2.449375, -0.2871067, 0.4719014, 2.4437, -0.4584592, 0.3560283, 2.403605, -0.1087906, 0.3430621, 2.45845, -0.2818108, -0.1438452, 2.439635, -0.2852526, 0.1691033, 2.448256, -0.2869464, 0.3975801, 2.447202, -0.5190213, -0.2036281, 2.308236, -0.1075951, -0.2325612, 2.3408, -0.4886165, -0.1453073, 2.325345, -0.04963501, -0.142116, 2.407976
0, 0, 1, 63562188943767, 0, 1, 473602612814, 0.0529372744110163, 2.442984, 138.251.213.82, 0, 100, -0.413739, -0.8442785, 2.430207, -0.1765138, -0.8353686, 2.456127, -0.4896543, 0.1177054, 2.380712, -0.0577547, 0.09267295, 2.461912, -0.4243147, -0.9085851, 2.333822, -0.1627949, -0.9040028, 2.356619, -0.4634824, -0.1755505, 2.312251, -0.06090474, -0.2162098, 2.382921, -0.4545667, -0.2548336, 2.295333, -0.06452903, -0.2864889, 2.37484, -0.222517, 0.6549289, 2.426785, -0.3402331, -0.1109478, 2.382024, -0.1818758, -0.1156178, 2.402566, -0.3917968, -0.5043385, 2.418522, -0.1817089, -0.5010646, 2.440074, -0.2631552, 0.5095631, 2.449088, -0.4317458, 0.3914972, 2.409923, -0.08995754, 0.3639085, 2.45662, -0.2567194, -0.1156433, 2.42915, -0.2590883, 0.2017399, 2.445533, -0.261847, 0.4339089, 2.4505, -0.4179181, -0.1628495, 2.293161, -0.100907, -0.2179365, 2.343821, -0.4809449, -0.1143182, 2.318779, -0.05002865, -0.1421294, 2.397915
0, 0, 1, 63562188943802, 0, 0, 137023091386, 0.107673429738521, 2.414011, 138.251.207.136, 0, 100, -0.3894877, -0.8533252, 2.449041, -0.1562839, -0.8509281, 2.464539, -0.5005679, 0.1027037, 2.38334, -0.06939285, 0.08971635, 2.458257, -0.3970044, -0.9233196, 2.365779, -0.1406144, -0.9115928, 2.379932, -0.4688888, -0.2117203, 2.312634, -0.06658995, -0.2268434, 2.381355, -0.4639985, -0.299724, 2.306622, -0.06507099, -0.3041148, 2.374187, -0.2729284, 0.6252398, 2.422658, -0.3554603, -0.1422817, 2.388429, -0.1994583, -0.1418556, 2.411964, -0.3780219, -0.5245046, 2.424804, -0.1696744, -0.5355745, 2.448714, -0.2873909, 0.4716198, 2.442806, -0.4585235, 0.3557004, 2.403247, -0.1088796, 0.3430687, 2.458272, -0.2818166, -0.1442996, 2.438078, -0.2854207, 0.168734, 2.447082, -0.2872021, 0.397277, 2.446244, -0.5121679, -0.2229341, 2.2948, -0.1072698, -0.21799, 2.335595, -0.4889954, -0.1463651, 2.324165, -0.04959369, -0.1425184, 2.407468
0, 0, 1, 63562188943802, 0, 1, 473602943460, 0.0529372744110163, 2.442984, 138.251.213.82, 0, 100, -0.4137457, -0.8446671, 2.430532, -0.176504, -0.8354602, 2.456408, -0.4897671, 0.1173295, 2.381112, -0.05759022, 0.09244614, 2.462687, -0.4243199, -0.9086766, 2.333978, -0.1640918, -0.9043103, 2.359509, -0.4637666, -0.1833729, 2.31697, -0.05838844, -0.2136285, 2.389777, -0.4531508, -0.2604291, 2.307249, -0.06279111, -0.2888559, 2.382853, -0.2232706, 0.6548997, 2.427044, -0.3407071, -0.1114815, 2.383689, -0.1819623, -0.1157082, 2.402676, -0.3919951, -0.5056372, 2.419509, -0.1817239, -0.501114, 2.440233, -0.263462, 0.5096359, 2.449702, -0.4317437, 0.3913212, 2.409991, -0.08977698, 0.3638704, 2.457704, -0.2569654, -0.1159178, 2.429781, -0.2593834, 0.2016445, 2.446163, -0.2621557, 0.4339406, 2.451118, -0.4212012, -0.1673493, 2.30211, -0.03363422, -0.2204233, 2.356112, -0.4807293, -0.1297235, 2.320539, -0.04962049, -0.1384669, 2.401654
0, 0, 1, 63562188943840, 0, 0, 137023421270, 0.107673429738521, 2.414011, 138.251.207.136, 0, 100, -0.389535, -0.8535646, 2.450218, -0.1562376, -0.8507501, 2.464924, -0.5005478, 0.1024552, 2.384841, -0.0690167, 0.09052651, 2.460911, -0.3967642, -0.9219443, 2.370521, -0.1407009, -0.9113927, 2.380877, -0.4720706, -0.2127176, 2.329635, -0.06717086, -0.2260698, 2.397941, -0.466357, -0.2999884, 2.323992, -0.06428528, -0.3077497, 2.39416, -0.2735544, 0.6253321, 2.42398, -0.3558433, -0.141997, 2.390496, -0.1998731, -0.1414109, 2.413477, -0.3777899, -0.5227682, 2.425582, -0.1697417, -0.5353143, 2.449966, -0.2877145, 0.4720893, 2.443711, -0.4591192, 0.3555569, 2.404778, -0.1092288, 0.3436534, 2.459439, -0.2822237, -0.1439238, 2.43985, -0.2857836, 0.1691509, 2.448374, -0.2875318, 0.3977322, 2.447235, -0.517319, -0.2131414, 2.315826, -0.1078598, -0.2230201, 2.343817, -0.4906421, -0.1463001, 2.326733, -0.04936481, -0.1418331, 2.412372
0, 0, 1, 63562188943840, 0, 1, 473603282723, 0.0529372744110163, 2.442984, 138.251.213.82, 0, 100, -0.4137878, -0.8444803, 2.430754, -0.1764543, -0.8352917, 2.456378, -0.4902155, 0.1168023, 2.381523, -0.05720305, 0.09226883, 2.463823, -0.423443, -0.9077904, 2.338262, -0.1635463, -0.904303, 2.359871, -0.4647713, -0.181544, 2.317555, -0.05822583, -0.2137334, 2.389771, -0.4578764, -0.2623799, 2.307072, -0.06171343, -0.2882182, 2.384514, -0.2237371, 0.6548173, 2.427473, -0.3407803, -0.1114964, 2.384049, -0.1820329, -0.1157188, 2.403146, -0.3920141, -0.5055025, 2.419679, -0.1817099, -0.5013475, 2.440699, -0.2634928, 0.5097374, 2.45016, -0.431902, 0.391075, 2.410529, -0.08972059, 0.3638734, 2.45807, -0.2570461, -0.1159407, 2.430224, -0.2594537, 0.2016845, 2.446627, -0.2622, 0.4340272, 2.45158, -0.4207583, -0.164916, 2.303721, -0.03689194, -0.1934184, 2.377466, -0.4815299, -0.1268913, 2.321326, -0.04919262, -0.1377147, 2.403107
0, 0, 1, 63562188943875, 0, 0, 137023760591, 0.107673429738521, 2.414011, 138.251.207.136, 0, 100, -0.3895685, -0.8532571, 2.449591, -0.1562499, -0.850477, 2.464916, -0.5004635, 0.1021293, 2.384232, -0.06899005, 0.09048254, 2.460442, -0.3968387, -0.9219891, 2.369955, -0.1407395, -0.911351, 2.380876, -0.4706385, -0.2132317, 2.318086, -0.06524411, -0.2278901, 2.386671, -0.4640264, -0.3005404, 2.312287, -0.06421396, -0.3052541, 2.383206, -0.2742349, 0.6251009, 2.423399, -0.356146, -0.1421219, 2.38977, -0.2000565, -0.1415066, 2.412989, -0.3777742, -0.5229776, 2.42538, -0.1696143, -0.5354443, 2.449715, -0.2879353, 0.4720915, 2.443521, -0.4592069, 0.3552568, 2.404523, -0.109245, 0.343634, 2.459365, -0.2824691, -0.1440375, 2.43925, -0.2860154, 0.1691009, 2.448026, -0.2877526, 0.3977225, 2.447012, -0.5076993, -0.2500844, 2.2918, -0.105986, -0.2182366, 2.340829, -0.4907574, -0.1472043, 2.326148, -0.04920837, -0.14195, 2.411849
0, 0, 1, 63562188943875, 0, 1, 473603943353, 0.0529372744110163, 2.442984, 138.251.213.82, 0, 100, -0.4133791, -0.8434917, 2.433215, -0.1767458, -0.8358205, 2.45816, -0.4908021, 0.1162086, 2.383231, -0.05684426, 0.09290027, 2.465287, -0.422394, -0.9066651, 2.344861, -0.1640604, -0.9038643, 2.363966, -0.4648075, -0.1853403, 2.320637, -0.05662081, -0.212121, 2.39604, -0.4552336, -0.2616868, 2.312868, -0.06065752, -0.29005, 2.391155, -0.2243215, 0.6552176, 2.427896, -0.3410425, -0.1114462, 2.384825, -0.182316, -0.1157435, 2.403619, -0.3921351, -0.5047567, 2.42028, -0.1819719, -0.5016014, 2.442003, -0.2638415, 0.5101581, 2.451562, -0.4322681, 0.3906389, 2.411439, -0.08950381, 0.3639165, 2.459317, -0.2573366, -0.1159417, 2.430866, -0.2597995, 0.2018642, 2.447624, -0.2625558, 0.4343825, 2.452875, -0.422025, -0.1656921, 2.305323, -0.03326884, -0.2010744, 2.384592, -0.481373, -0.1300609, 2.321977, -0.04869381, -0.1366912, 2.405492
