Study_Id, Kinect_Config, Scenario_Id, Tracker_Time, Person_Id, Skeleton_Id, Skeleton_Time, Skeleton_Init_Angle, Skeleton_Init_Dist, Kinect_Id, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
12, 2, 6, 63562208700846, 0, 0, 334593332747, -1.21454909022435, 2.359807, 138.251.207.136, 0, 100, 0.3399553, -0.9885768, 2.485103, 0.4071615, -0.9424271, 2.298512, 0.2039828, 0.05723844, 2.65736, 0.3771434, 0.08721517, 2.217244, 0.3857293, -0.9704022, 2.348116, 0.3389456, -0.988484, 2.268314, 0.3143305, -0.02846971, 2.281944, 0.2946218, -0.2088984, 2.202407, 0.3779787, -0.05297728, 2.194221, 0.2603474, -0.2718007, 2.198547, 0.2883115, 0.5721387, 2.479531, 0.2647172, -0.09934416, 2.43696, 0.3061696, -0.09389809, 2.381694, 0.30062, -0.6510739, 2.536546, 0.3624873, -0.6311972, 2.307578, 0.3439596, 0.4575033, 2.419169, 0.2449338, 0.3380067, 2.631228, 0.3751054, 0.3215515, 2.281303, 0.2895702, -0.09807674, 2.444798, 0.3178543, 0.1841649, 2.438142, 0.3378094, 0.3904182, 2.426153, 0.2811245, -0.08495144, 2.256983, 0.3477034, -0.2167385, 2.22927, 0.3098394, -0.0154366, 2.379931, 0.3134948, -0.1336624, 2.188955
12, 2, 6, 63562208700846, 0, 1, 671173164187, 0.0452693600267108, 2.365614, 138.251.213.82, 0, 100, 0.3119923, -0.8966783, 2.462915, 0.3782152, -0.88449, 2.298054, 0.2786132, 0.1030797, 2.5667, 0.4283461, 0.08926578, 2.181455, 0.2435673, -0.9788355, 2.444139, 0.3040332, -0.9560605, 2.252016, 0.2081541, -0.1568248, 2.531189, 0.3273711, -0.1831198, 2.157645, 0.1915235, -0.2414925, 2.526509, 0.3057513, -0.2644533, 2.164035, 0.3778876, 0.6309872, 2.35419, 0.3002742, -0.1490457, 2.427715, 0.3487798, -0.1473307, 2.281146, 0.2928267, -0.552942, 2.451925, 0.3495535, -0.5383849, 2.283562, 0.3701373, 0.4856516, 2.386601, 0.3104504, 0.3637624, 2.535134, 0.4331734, 0.3514599, 2.213576, 0.363415, -0.1517542, 2.359814, 0.3737225, 0.172022, 2.374391, 0.3734862, 0.4086349, 2.383962, 0.2080602, -0.1579111, 2.48712, 0.2812009, -0.1933901, 2.193873, 0.2132344, -0.1120832, 2.546597, 0.3489831, -0.1282887, 2.151556
12, 2, 6, 63562208700884, 0, 0, 334593662019, -1.21454909022435, 2.359807, 138.251.207.136, 0, 100, 0.3399502, -0.9885465, 2.485024, 0.4071285, -0.9424207, 2.298534, 0.2039255, 0.05728652, 2.657093, 0.3771441, 0.08717625, 2.217196, 0.3050512, -1.017455, 2.384129, 0.3389165, -0.9884791, 2.26842, 0.3141568, -0.0280339, 2.280208, 0.2943152, -0.2086613, 2.200982, 0.3768386, -0.05342418, 2.19492, 0.2613444, -0.2712964, 2.194641, 0.2882976, 0.5722328, 2.479123, 0.2647452, -0.09919599, 2.436852, 0.3062129, -0.09373681, 2.381519, 0.3007353, -0.6523654, 2.535023, 0.3624548, -0.6312178, 2.307511, 0.3439023, 0.4575529, 2.418902, 0.2448764, 0.3380557, 2.630961, 0.3751139, 0.3215358, 2.281233, 0.2896108, -0.09791186, 2.444644, 0.3178544, 0.1842542, 2.437938, 0.3377685, 0.3904738, 2.425898, 0.2808286, -0.08452941, 2.256395, 0.3481411, -0.2154396, 2.229757, 0.309778, -0.0154088, 2.379666, 0.3137435, -0.1324335, 2.18861
12, 2, 6, 63562208700884, 0, 1, 671173494139, 0.0452693600267108, 2.365614, 138.251.213.82, 0, 100, 0.3123549, -0.8968911, 2.463271, 0.3782793, -0.8845977, 2.298053, 0.2786853, 0.103139, 2.566676, 0.4286487, 0.08932735, 2.181323, 0.2432789, -0.9787368, 2.443858, 0.3041692, -0.9563728, 2.25237, 0.2106956, -0.157249, 2.531537, 0.332435, -0.1825446, 2.158232, 0.1968242, -0.2408657, 2.527241, 0.3164122, -0.26364, 2.163547, 0.3780311, 0.631107, 2.354012, 0.3002788, -0.1490156, 2.427696, 0.3490068, -0.1472843, 2.281202, 0.2929636, -0.5529748, 2.451952, 0.3495568, -0.5384045, 2.283508, 0.3702103, 0.4856743, 2.386531, 0.3104967, 0.3639538, 2.534821, 0.4335145, 0.3515117, 2.213412, 0.3634856, -0.1517159, 2.359817, 0.3737943, 0.1720542, 2.374361, 0.3735587, 0.4086603, 2.383902, 0.2072719, -0.1601725, 2.486179, 0.286056, -0.1834988, 2.194269, 0.2133387, -0.1120355, 2.546631, 0.3491525, -0.128319, 2.151556
12, 2, 6, 63562208700921, 0, 0, 334594002751, -1.21454909022435, 2.359807, 138.251.207.136, 0, 100, 0.3398114, -0.9894729, 2.484092, 0.4071171, -0.9424434, 2.298499, 0.2041097, 0.05735549, 2.656821, 0.3771296, 0.08698978, 2.217111, 0.303999, -1.017956, 2.383366, 0.339047, -0.9886363, 2.268866, 0.3143043, -0.02817124, 2.279956, 0.2939779, -0.2086197, 2.201269, 0.3793694, -0.04979622, 2.197486, 0.2615311, -0.2714838, 2.196141, 0.2883832, 0.5722529, 2.47877, 0.2647011, -0.09899066, 2.436987, 0.3060533, -0.09331698, 2.381561, 0.3008339, -0.6528097, 2.534177, 0.3624514, -0.6309544, 2.307387, 0.3440889, 0.4576235, 2.41863, 0.245062, 0.3381256, 2.63069, 0.3751563, 0.3214965, 2.281154, 0.289521, -0.09761303, 2.444729, 0.317888, 0.1843589, 2.437876, 0.3379039, 0.3905527, 2.425694, 0.2811179, -0.08489685, 2.256822, 0.3469476, -0.218093, 2.228225, 0.3099601, -0.01536046, 2.379399, 0.3139432, -0.1321033, 2.188623
12, 2, 6, 63562208700921, 0, 1, 671173834994, 0.0452693600267108, 2.365614, 138.251.213.82, 0, 100, 0.3126543, -0.8967984, 2.463365, 0.3783063, -0.8846127, 2.298071, 0.2787381, 0.1031837, 2.566674, 0.4287153, 0.08938365, 2.181245, 0.2437065, -0.9786645, 2.443746, 0.3047221, -0.9567738, 2.252703, 0.2098922, -0.1561538, 2.532109, 0.3301638, -0.1837978, 2.157774, 0.1993206, -0.2415066, 2.52606, 0.312193, -0.264502, 2.164771, 0.378509, 0.6310816, 2.354183, 0.3003237, -0.1489646, 2.427639, 0.3490265, -0.1472801, 2.281152, 0.2930102, -0.5529107, 2.451881, 0.3496323, -0.5384067, 2.28348, 0.3704994, 0.485732, 2.386403, 0.3105612, 0.3639655, 2.534793, 0.4335415, 0.3515069, 2.213402, 0.3635193, -0.1516898, 2.359764, 0.3739278, 0.1720992, 2.374274, 0.3738053, 0.4087155, 2.383784, 0.2133772, -0.155393, 2.488723, 0.2858395, -0.1824561, 2.194455, 0.213469, -0.1119958, 2.546468, 0.3491683, -0.1283381, 2.151553
12, 2, 6, 63562208700982, 0, 0, 334594332840, -1.21454909022435, 2.359807, 138.251.207.136, 0, 100, 0.3398187, -0.9822775, 2.486822, 0.407254, -0.9425715, 2.298703, 0.2041376, 0.05731504, 2.65685, 0.377212, 0.08718218, 2.217157, 0.3083394, -1.018511, 2.389314, 0.3388159, -0.9883797, 2.268927, 0.3162518, -0.03004853, 2.284747, 0.2962503, -0.2073411, 2.201532, 0.3809701, -0.05045506, 2.199834, 0.2640165, -0.2719142, 2.195116, 0.2885248, 0.572239, 2.479139, 0.2647944, -0.0984889, 2.438642, 0.3060863, -0.09317004, 2.381667, 0.3008936, -0.6528405, 2.534199, 0.3624566, -0.6309226, 2.307399, 0.3441171, 0.4575825, 2.418659, 0.2450901, 0.3380848, 2.630718, 0.3752711, 0.3214442, 2.281286, 0.2895859, -0.09730249, 2.445339, 0.3179366, 0.1843931, 2.438051, 0.3379339, 0.390523, 2.42574, 0.4103441, -0.08744889, 2.290667, 0.3481916, -0.2143129, 2.228902, 0.3099904, -0.01541512, 2.379431, 0.314969, -0.1300346, 2.188652
12, 2, 6, 63562208700982, 0, 1, 671174164118, 0.0452693600267108, 2.365614, 138.251.213.82, 0, 100, 0.3125357, -0.8969206, 2.463258, 0.3782933, -0.8845784, 2.298012, 0.2787692, 0.1031924, 2.566692, 0.4287424, 0.08940051, 2.18123, 0.2407879, -0.9779548, 2.44521, 0.3048975, -0.9571466, 2.253328, 0.2099895, -0.1567825, 2.531354, 0.3310606, -0.1828854, 2.157929, 0.1999784, -0.2425212, 2.525217, 0.3163109, -0.2644005, 2.164086, 0.378159, 0.630979, 2.35403, 0.3003239, -0.1489632, 2.427637, 0.3490107, -0.1472626, 2.281147, 0.2930193, -0.5529057, 2.451876, 0.3496995, -0.5383459, 2.283481, 0.3705147, 0.4857306, 2.3864, 0.310659, 0.364006, 2.534715, 0.4336365, 0.351634, 2.213288, 0.3635162, -0.151683, 2.359761, 0.3739322, 0.1721023, 2.374272, 0.3738175, 0.4087158, 2.383781, 0.193454, -0.1655567, 2.488552, 0.2859481, -0.1832605, 2.19419, 0.2134629, -0.1119722, 2.546433, 0.3492015, -0.1284053, 2.151529
12, 2, 6, 63562208701001, 0, 0, 334594661992, -1.21454909022435, 2.359807, 138.251.207.136, 0, 100, 0.3398488, -0.9828051, 2.486404, 0.407344, -0.9426225, 2.298731, 0.2043353, 0.05700071, 2.656922, 0.3772091, 0.08712254, 2.216939, 0.3100413, -1.021123, 2.389831, 0.3389051, -0.988418, 2.269309, 0.3145534, -0.02925001, 2.281522, 0.2961066, -0.2080474, 2.200324, 0.381294, -0.05026551, 2.200255, 0.2628879, -0.2717218, 2.197208, 0.2887525, 0.5719277, 2.479223, 0.2648022, -0.09847392, 2.438674, 0.3060689, -0.09307767, 2.381699, 0.300896, -0.6529301, 2.534134, 0.3626183, -0.6324357, 2.307464, 0.3443168, 0.4572648, 2.418731, 0.2452891, 0.3377683, 2.630791, 0.3753212, 0.3214261, 2.28129, 0.2895851, -0.0972527, 2.445378, 0.317985, 0.1843471, 2.438088, 0.3380896, 0.3902891, 2.425802, 0.2808149, -0.08628616, 2.257847, 0.3479494, -0.2159657, 2.228195, 0.310193, -0.01576394, 2.379513, 0.3141451, -0.1314182, 2.188672
12, 2, 6, 63562208701001, 0, 1, 671174834916, 0.0452693600267108, 2.365614, 138.251.213.82, 0, 100, 0.3125348, -0.8969194, 2.463256, 0.3782784, -0.8848002, 2.297866, 0.278894, 0.1034116, 2.5666, 0.4287797, 0.08941926, 2.181195, 0.2390396, -0.9773895, 2.4463, 0.3032223, -0.956176, 2.252261, 0.2102761, -0.1563902, 2.531958, 0.3297568, -0.1830769, 2.157917, 0.1948439, -0.2411126, 2.527036, 0.3139904, -0.2640746, 2.163952, 0.3781568, 0.6307235, 2.354049, 0.3003245, -0.1489676, 2.427624, 0.3490535, -0.1472925, 2.281135, 0.2930831, -0.552721, 2.45178, 0.3496959, -0.5383192, 2.283442, 0.3705879, 0.4857143, 2.386296, 0.310651, 0.3639714, 2.534663, 0.4336825, 0.3516314, 2.213244, 0.3635325, -0.1516951, 2.359749, 0.3739758, 0.1720884, 2.374225, 0.3738835, 0.4087, 2.383693, 0.2085956, -0.1582875, 2.486857, 0.2867365, -0.1836893, 2.193861, 0.2135343, -0.1117431, 2.546391, 0.3492321, -0.1284301, 2.151495
12, 2, 6, 63562208701052, 0, 0, 334595002737, -1.21454909022435, 2.359807, 138.251.207.136, 0, 100, 0.3392553, -0.9827936, 2.481918, 0.4073371, -0.9424393, 2.298643, 0.2043759, 0.05710155, 2.656958, 0.3773329, 0.08712129, 2.216984, 0.29873, -1.037427, 2.489501, 0.3391543, -0.9885254, 2.268755, 0.3126061, -0.02742037, 2.282519, 0.2947556, -0.2071176, 2.200991, 0.3802743, -0.05167661, 2.198502, 0.2626443, -0.2714673, 2.195155, 0.2887201, 0.571992, 2.479217, 0.2647218, -0.09843184, 2.43874, 0.3058702, -0.09298952, 2.381894, 0.3502729, -0.6408402, 2.376283, 0.362555, -0.6320601, 2.307323, 0.3443577, 0.4573664, 2.418767, 0.24533, 0.3378697, 2.630826, 0.3753119, 0.3214054, 2.281219, 0.2894472, -0.09718189, 2.445514, 0.317964, 0.1844115, 2.43815, 0.3381135, 0.3903706, 2.425839, 0.2807524, -0.08609022, 2.257785, 0.3483015, -0.214425, 2.228843, 0.3102275, -0.01567926, 2.37955, 0.3145191, -0.1304615, 2.188684
12, 2, 6, 63562208701052, 0, 1, 671175164022, 0.0452693600267108, 2.365614, 138.251.213.82, 0, 100, 0.3123873, -0.8965329, 2.463655, 0.3782733, -0.8847162, 2.297757, 0.2791348, 0.1034053, 2.566561, 0.4288241, 0.08936428, 2.181154, 0.2398424, -0.977258, 2.445578, 0.3034626, -0.9563666, 2.252485, 0.2113189, -0.1569299, 2.531038, 0.3298644, -0.1815257, 2.156658, 0.1960803, -0.2412734, 2.527328, 0.310297, -0.2635549, 2.163733, 0.3781068, 0.6307958, 2.354073, 0.3003921, -0.1490045, 2.427514, 0.3491002, -0.1473202, 2.280999, 0.2931126, -0.5526799, 2.451739, 0.3496883, -0.5383818, 2.283403, 0.3706273, 0.4857036, 2.386253, 0.3108925, 0.363939, 2.534657, 0.4336549, 0.3515716, 2.213161, 0.3635944, -0.1517262, 2.359626, 0.3740313, 0.1720711, 2.374146, 0.3739279, 0.4086879, 2.383641, 0.21724, -0.1451796, 2.488153, 0.2890239, -0.1772069, 2.193536, 0.213689, -0.1117222, 2.546304, 0.3491961, -0.1284588, 2.151399
12, 2, 6, 63562208701067, 0, 0, 334595332741, -1.21454909022435, 2.359807, 138.251.207.136, 0, 100, 0.3403438, -0.9806494, 2.473439, 0.4074306, -0.942557, 2.298821, 0.2045132, 0.05719259, 2.656884, 0.3773482, 0.08713397, 2.216954, 0.2986612, -1.045453, 2.444982, 0.3388827, -0.9882464, 2.269175, 0.3159183, -0.02869175, 2.281356, 0.2944792, -0.2081923, 2.200912, 0.3765984, -0.05272897, 2.195238, 0.2613677, -0.2713013, 2.194641, 0.2887489, 0.5720229, 2.47911, 0.2647711, -0.09811038, 2.438183, 0.3058689, -0.0928678, 2.381761, 0.3512086, -0.6396464, 2.374002, 0.3625478, -0.6319503, 2.307346, 0.3444965, 0.4574586, 2.418693, 0.2454682, 0.3379615, 2.630753, 0.375312, 0.3214102, 2.281221, 0.2894673, -0.09696781, 2.445225, 0.3180566, 0.1845391, 2.437999, 0.3382421, 0.3904656, 2.425746, 0.4105232, -0.0874907, 2.291667, 0.3476541, -0.2153619, 2.229162, 0.3103609, -0.01560092, 2.379477, 0.3141812, -0.1319475, 2.188696
12, 2, 6, 63562208701067, 0, 1, 671175493960, 0.0452693600267108, 2.365614, 138.251.213.82, 0, 100, 0.3122817, -0.8965929, 2.463639, 0.3778231, -0.8850428, 2.297481, 0.2793484, 0.1034553, 2.566526, 0.4287154, 0.08973302, 2.18114, 0.2395921, -0.9771804, 2.444932, 0.3029646, -0.9565707, 2.25202, 0.2108681, -0.1560882, 2.531654, 0.3268795, -0.1815183, 2.156175, 0.1951317, -0.2414672, 2.525498, 0.3075143, -0.2638451, 2.164496, 0.378356, 0.6308197, 2.353997, 0.3003506, -0.1490246, 2.427444, 0.349025, -0.1473617, 2.280868, 0.2931376, -0.5527284, 2.451709, 0.3496618, -0.5383998, 2.283439, 0.3705942, 0.485696, 2.386249, 0.3111112, 0.3639938, 2.534642, 0.4334432, 0.3512935, 2.212901, 0.3635429, -0.1517543, 2.35953, 0.3739972, 0.1720588, 2.374112, 0.3738963, 0.4086798, 2.383631, 0.2093718, -0.1530652, 2.487837, 0.2924708, -0.1644741, 2.19297, 0.2138482, -0.1116571, 2.546278, 0.3489758, -0.1282575, 2.151124
12, 2, 6, 63562208701105, 0, 0, 334595661987, -1.21454909022435, 2.359807, 138.251.207.136, 0, 100, 0.3400335, -0.9815699, 2.476339, 0.4075362, -0.9425403, 2.298843, 0.2045245, 0.0572042, 2.656853, 0.3773938, 0.0874684, 2.217025, 0.2989019, -1.046542, 2.449502, 0.3389462, -0.9881712, 2.269589, 0.3147528, -0.02955925, 2.281141, 0.2946309, -0.207997, 2.200519, 0.3761762, -0.05348715, 2.194766, 0.2616113, -0.2715642, 2.196791, 0.2888078, 0.5720615, 2.479093, 0.2647415, -0.09788549, 2.438558, 0.305859, -0.0927692, 2.381796, 0.3014237, -0.6604981, 2.540606, 0.3625225, -0.6317431, 2.307378, 0.3445079, 0.4574704, 2.418662, 0.2454796, 0.3379732, 2.630722, 0.3753038, 0.3214691, 2.281227, 0.2894505, -0.09680437, 2.445393, 0.3180627, 0.1845789, 2.438018, 0.3382507, 0.3904783, 2.42573, 0.2812479, -0.08713387, 2.257286, 0.348029, -0.2133204, 2.229544, 0.3103717, -0.01559357, 2.379447, 0.3147459, -0.1300649, 2.18832
