Study, KinectConfig, Scenario, Tracker_Time, Person#, Skeleton#, Skeleton_Time, Skeleton_Init_Angle, Skeleton_Init_Dist, Kinect#, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
15, 0, 1, 63562211826916, 0, 0, 365853811350, 0.0496706294618149, 2.319326, 138.251.207.136, 0, 100, -0.3933032, -0.8541887, 2.364773, -0.2013737, -0.8431653, 2.393472, -0.5073749, 0.08360435, 2.323284, -0.1047873, 0.1002575, 2.361798, -0.3955546, -0.9129695, 2.307387, -0.1855478, -0.899062, 2.330179, -0.5235338, -0.1574815, 2.247638, -0.05824029, -0.1854936, 2.309608, -0.5467033, -0.2507217, 2.228433, -0.03424382, -0.2686875, 2.301125, -0.3259377, 0.5801593, 2.280096, -0.3801827, -0.142279, 2.320527, -0.2324534, -0.1362951, 2.332289, -0.4018416, -0.5138342, 2.331338, -0.1955383, -0.5152957, 2.355011, -0.3187043, 0.45433, 2.325853, -0.4838039, 0.3502089, 2.328122, -0.1613635, 0.3547156, 2.343617, -0.3110027, -0.1414492, 2.361763, -0.3158158, 0.1610195, 2.350054, -0.3183045, 0.3822873, 2.334112, -0.5496849, -0.1670767, 2.229, -0.09483056, -0.1818668, 2.303175, -0.5130162, -0.1370075, 2.248834, -0.06373787, -0.1230927, 2.314649
15, 0, 1, 63562211826916, 0, 1, 702432312258, -0.0576725955090255, 2.359777, 138.251.213.82, 0, 100, -0.4160936, -0.8518103, 2.329215, -0.2250713, -0.8620816, 2.37598, -0.5057667, 0.09262036, 2.330903, -0.1087245, 0.09274089, 2.387854, -0.4110917, -0.883999, 2.193543, -0.1973226, -0.9282349, 2.299411, -0.5261896, -0.1809895, 2.237204, -0.0640313, -0.1911949, 2.324939, -0.543443, -0.2501146, 2.215679, -0.03916085, -0.2600296, 2.318631, -0.2951987, 0.6006248, 2.306026, -0.3845024, -0.1396425, 2.330907, -0.2383696, -0.1409856, 2.341377, -0.4230259, -0.50989, 2.31125, -0.2090426, -0.5276487, 2.352673, -0.3124922, 0.4610459, 2.355947, -0.4748082, 0.3573692, 2.354274, -0.1520828, 0.3432249, 2.370745, -0.3092837, -0.1438588, 2.372461, -0.3104893, 0.1629245, 2.370844, -0.3118595, 0.3877168, 2.362001, -0.5033209, -0.1626235, 2.211224, -0.09015298, -0.1936476, 2.319085, -0.510828, -0.12515, 2.248727, -0.06927061, -0.1284364, 2.333745
15, 0, 1, 63562211826950, 0, 0, 365854141359, 0.0496706294618149, 2.319326, 138.251.207.136, 0, 100, -0.3934861, -0.8539192, 2.365447, -0.2010849, -0.843444, 2.393722, -0.5075548, 0.0843574, 2.324623, -0.1052115, 0.1011695, 2.363043, -0.3840695, -0.8806749, 2.253515, -0.1855721, -0.8994787, 2.33061, -0.5257419, -0.1527953, 2.251168, -0.05875759, -0.1816659, 2.314508, -0.546542, -0.2478265, 2.234586, -0.03221327, -0.2694081, 2.307001, -0.3262544, 0.5806363, 2.280957, -0.3802934, -0.1418417, 2.32147, -0.2325688, -0.1360063, 2.333398, -0.4020161, -0.5135598, 2.331809, -0.1955367, -0.5152913, 2.355447, -0.3187421, 0.4547289, 2.326634, -0.4840578, 0.3505167, 2.329361, -0.1616985, 0.3550102, 2.344623, -0.3111131, -0.1410699, 2.362799, -0.315882, 0.1614123, 2.350951, -0.3183487, 0.3826849, 2.334922, -0.5532035, -0.102619, 2.262111, -0.09538904, -0.1745166, 2.305964, -0.5130554, -0.1361488, 2.249786, -0.06386289, -0.122204, 2.316361
15, 0, 1, 63562211826950, 0, 1, 702432653103, -0.0576725955090255, 2.359777, 138.251.213.82, 0, 100, -0.4159984, -0.8514168, 2.329536, -0.2251384, -0.8620391, 2.375977, -0.5057077, 0.09247512, 2.331285, -0.1090359, 0.09332713, 2.388154, -0.4110109, -0.8836148, 2.193861, -0.1977632, -0.9284166, 2.299548, -0.5256302, -0.1789991, 2.236203, -0.06390549, -0.1890848, 2.323159, -0.5426657, -0.249492, 2.2179, -0.0432038, -0.2582881, 2.309677, -0.2952348, 0.6005937, 2.306062, -0.3846477, -0.1395894, 2.33103, -0.2384453, -0.1409769, 2.341407, -0.4230938, -0.5096104, 2.311225, -0.2090556, -0.5277411, 2.352686, -0.3124239, 0.4610459, 2.355982, -0.4748558, 0.3573285, 2.354335, -0.1520925, 0.3432157, 2.37077, -0.309391, -0.1438305, 2.37253, -0.3104936, 0.1629318, 2.370869, -0.3118194, 0.3877194, 2.36203, -0.499767, -0.1532722, 2.209641, -0.09570441, -0.1853018, 2.310467, -0.5107646, -0.1249185, 2.247971, -0.06936906, -0.127833, 2.334147
15, 0, 1, 63562211826985, 0, 0, 365854482090, 0.0496706294618149, 2.319326, 138.251.207.136, 0, 100, -0.3934211, -0.8536733, 2.365374, -0.2012193, -0.843452, 2.393869, -0.5072608, 0.0849319, 2.324672, -0.1053702, 0.101577, 2.36303, -0.3961091, -0.9133921, 2.310933, -0.185672, -0.8990939, 2.329909, -0.5239348, -0.151682, 2.245791, -0.05877866, -0.1767374, 2.305719, -0.5448536, -0.2477506, 2.230471, -0.03076735, -0.2686254, 2.295093, -0.326249, 0.5805957, 2.280823, -0.3802837, -0.1418502, 2.321436, -0.2325588, -0.1359905, 2.333379, -0.4018739, -0.5134158, 2.331812, -0.1955196, -0.5152236, 2.355374, -0.3188192, 0.4547787, 2.326602, -0.4841219, 0.3503795, 2.329281, -0.1618146, 0.354854, 2.344484, -0.3111039, -0.1410649, 2.362777, -0.3158989, 0.1614306, 2.350929, -0.3184063, 0.3827249, 2.334892, -0.5453658, -0.1415891, 2.230334, -0.09267068, -0.1697819, 2.29225, -0.513213, -0.1354471, 2.249449, -0.06382403, -0.1217595, 2.316331
15, 0, 1, 63562211826985, 0, 1, 702432982177, -0.0576725955090255, 2.359777, 138.251.213.82, 0, 100, -0.4164195, -0.8529131, 2.329977, -0.2251358, -0.8620751, 2.375679, -0.5058113, 0.09362756, 2.33155, -0.1093987, 0.09377836, 2.388387, -0.4113766, -0.8850912, 2.194307, -0.1928234, -0.9267908, 2.3, -0.5266051, -0.1761304, 2.231059, -0.06339276, -0.1887567, 2.323041, -0.5387705, -0.2447095, 2.217316, -0.04242197, -0.2581141, 2.30691, -0.2952812, 0.6005609, 2.30625, -0.3846437, -0.1395797, 2.331035, -0.2384525, -0.1409423, 2.341603, -0.4230779, -0.5096359, 2.311221, -0.2091355, -0.5278718, 2.352824, -0.3124842, 0.4611204, 2.356134, -0.474887, 0.357358, 2.354387, -0.1522389, 0.343215, 2.370966, -0.3093879, -0.1438074, 2.372593, -0.3105179, 0.1629788, 2.370969, -0.3118691, 0.3877866, 2.362168, -0.501814, -0.161039, 2.207058, -0.09494285, -0.1854774, 2.309665, -0.5103145, -0.1236579, 2.247859, -0.06933998, -0.1272819, 2.334231
15, 0, 1, 63562211827022, 0, 0, 365854811390, 0.0496706294618149, 2.319326, 138.251.207.136, 0, 100, -0.3934175, -0.8536098, 2.365338, -0.2011752, -0.8434627, 2.393595, -0.507134, 0.08556505, 2.324947, -0.1055884, 0.101743, 2.363174, -0.3961228, -0.9131923, 2.310465, -0.1855014, -0.8991754, 2.329844, -0.528046, -0.1542813, 2.244799, -0.05850598, -0.1752144, 2.306413, -0.5479736, -0.2495625, 2.238816, -0.03281003, -0.2672434, 2.292554, -0.3263173, 0.5804998, 2.281014, -0.3802783, -0.1418625, 2.321434, -0.2325539, -0.1359743, 2.333384, -0.4018209, -0.5133143, 2.331814, -0.1955345, -0.5150834, 2.355285, -0.3190141, 0.4547444, 2.326859, -0.4844337, 0.3501377, 2.32934, -0.1619438, 0.3548476, 2.344487, -0.3111018, -0.1410643, 2.362777, -0.31594, 0.1614253, 2.350992, -0.3185529, 0.3827001, 2.335088, -0.5433374, -0.1773912, 2.204118, -0.09183738, -0.1654634, 2.293526, -0.5137674, -0.1345989, 2.249079, -0.0636849, -0.1215023, 2.316313
15, 0, 1, 63562211827022, 0, 1, 702433312150, -0.0576725955090255, 2.359777, 138.251.213.82, 0, 100, -0.4164194, -0.8529878, 2.329988, -0.2248406, -0.8607786, 2.375778, -0.5056554, 0.09456469, 2.332078, -0.1095293, 0.09391809, 2.38852, -0.4114036, -0.8851705, 2.194317, -0.1937482, -0.9261535, 2.300274, -0.5292847, -0.1756707, 2.230839, -0.06176855, -0.1883125, 2.325633, -0.542399, -0.2468556, 2.22409, -0.04047173, -0.2578021, 2.308771, -0.2952937, 0.6006716, 2.306439, -0.3849205, -0.1395029, 2.3311, -0.2387497, -0.1408431, 2.34171, -0.4230325, -0.5095091, 2.311214, -0.2091311, -0.5272698, 2.352846, -0.3124962, 0.4610938, 2.356146, -0.4750895, 0.3573399, 2.35464, -0.1523762, 0.3433104, 2.371149, -0.3096798, -0.1437164, 2.372683, -0.3106125, 0.1629824, 2.371003, -0.3118917, 0.3877665, 2.362182, -0.5034165, -0.1635114, 2.203773, -0.05968954, -0.2200701, 2.337425, -0.5104735, -0.1222711, 2.24707, -0.06924653, -0.1271168, 2.334449
15, 0, 1, 63562211827056, 0, 0, 365855141372, 0.0496706294618149, 2.319326, 138.251.207.136, 0, 100, -0.3933546, -0.8534583, 2.365285, -0.2012095, -0.8433194, 2.393331, -0.5071356, 0.08562712, 2.32495, -0.1059822, 0.1020982, 2.363352, -0.3973131, -0.912839, 2.310254, -0.1855852, -0.8991243, 2.329758, -0.5325779, -0.1569071, 2.245503, -0.05530459, -0.1762806, 2.305859, -0.5493182, -0.2485266, 2.232753, -0.02811816, -0.2648084, 2.289859, -0.3263358, 0.5804846, 2.281017, -0.3803628, -0.1419274, 2.321432, -0.2326381, -0.1360031, 2.333397, -0.4018181, -0.5132326, 2.331816, -0.1955177, -0.5148665, 2.355319, -0.3190541, 0.4547563, 2.32689, -0.484522, 0.350093, 2.329366, -0.1620773, 0.3547727, 2.34449, -0.3111841, -0.1411084, 2.362785, -0.3159966, 0.1614146, 2.351015, -0.3185967, 0.3827066, 2.335118, -0.5458485, -0.1646827, 2.210216, -0.08410019, -0.1879656, 2.294545, -0.5144458, -0.1345601, 2.249255, -0.06247091, -0.120777, 2.316077
15, 0, 1, 63562211827056, 0, 1, 702433652967, -0.0576725955090255, 2.359777, 138.251.213.82, 0, 100, -0.4162641, -0.8528988, 2.329707, -0.2245554, -0.8584622, 2.376316, -0.5056779, 0.09501317, 2.332172, -0.1095933, 0.09397168, 2.388516, -0.4112386, -0.8850713, 2.19403, -0.1970171, -0.9245411, 2.299359, -0.5322019, -0.1785758, 2.230546, -0.05945025, -0.188892, 2.322756, -0.5422208, -0.2500794, 2.220168, -0.03583458, -0.2574354, 2.309456, -0.2953448, 0.6006215, 2.306425, -0.3848842, -0.1395182, 2.330944, -0.2387446, -0.1408356, 2.341705, -0.4228965, -0.5088009, 2.310677, -0.2091138, -0.5270699, 2.352726, -0.3125913, 0.4610908, 2.356276, -0.4750949, 0.3573312, 2.354625, -0.1523917, 0.3432857, 2.371164, -0.3096636, -0.1437118, 2.372635, -0.3106237, 0.1629846, 2.37101, -0.3119583, 0.3877665, 2.362267, -0.5455665, -0.2057983, 2.191933, -0.05740885, -0.2156626, 2.330674, -0.5109516, -0.1216303, 2.24663, -0.06890321, -0.1269869, 2.33445
