Study_Id, Kinect_Config, Scenario_Id, Tracker_Time, Person_Id, Skeleton_Id, Skeleton_Time, Skeleton_Init_Angle, Skeleton_Init_Dist, Kinect_Id, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
1, 1, 1, 63562190402350, 0, 0, 151608474967, -0.629916861166601, 2.010755, 138.251.207.136, 0, 100, 0.3446284, -0.8549475, 2.190988, 0.487206, -0.845774, 2.079543, 0.125541, 0.2450763, 2.020838, 0.468504, 0.2241667, 1.827402, 0.2785096, -0.9107999, 2.153411, 0.446532, -0.8939588, 2.026661, 0.3437856, 0.2490418, 1.890163, 0.1505503, 0.2359538, 1.967003, 0.3980308, 0.22533, 1.795482, 0.07922059, 0.254555, 1.994176, 0.3901746, 0.7132104, 2.066708, 0.2736777, -0.08301857, 2.061436, 0.3905021, -0.07833681, 1.988397, 0.2854433, -0.5092455, 2.128926, 0.461385, -0.5260138, 2.012614, 0.4113247, 0.5690618, 2.077167, 0.2292265, 0.4495257, 2.13019, 0.4996446, 0.4267461, 1.937177, 0.338598, -0.08227216, 2.064667, 0.3769464, 0.2503673, 2.077663, 0.4033433, 0.491243, 2.079622, 0.377015, 0.3053582, 1.907065, 0.1572343, 0.1789103, 1.981444, 0.2826501, 0.2536222, 1.893001, 0.2231546, 0.2377601, 1.921827
1, 1, 1, 63562190402350, 0, 1, 488187617396, 0.0180418747270357, 2.322787, 138.251.213.82, 0, 100, 0.2965031, -0.8423699, 2.166943, 0.4518392, -0.8434257, 2.084632, 0.1647045, 0.2925501, 2.03947, 0.5013031, 0.2265697, 1.832431, 0.2193421, -0.9041188, 2.107195, 0.4190181, -0.9130718, 2.009363, 0.2613143, 0.2456598, 1.921507, 0.1832066, 0.2588193, 1.952641, 0.2400304, 0.2381208, 1.90691, 0.1269725, 0.2669109, 1.976027, 0.4822329, 0.717209, 2.046264, 0.3048117, -0.08586501, 2.066608, 0.4207742, -0.1013307, 1.97584, 0.2742966, -0.5158326, 2.114987, 0.445691, -0.4884558, 2.01988, 0.4476869, 0.5746466, 2.091426, 0.2825527, 0.4620433, 2.128388, 0.5573866, 0.4083057, 1.933046, 0.3918651, -0.09623228, 2.047454, 0.4249421, 0.2449527, 2.074057, 0.4438105, 0.4937428, 2.088706, 0.1986598, 0.2226246, 1.919168, 0.1780352, 0.2154206, 1.945076, 0.3053424, 0.2389969, 1.905419, 0.2390733, 0.2453185, 1.91418
1, 1, 1, 63562190402379, 0, 0, 151608804137, -0.629916861166601, 2.010755, 138.251.207.136, 0, 100, 0.3443938, -0.8549473, 2.191094, 0.4872276, -0.8457314, 2.079509, 0.1259193, 0.2451342, 2.021069, 0.4686824, 0.2244605, 1.827355, 0.2783961, -0.91074, 2.153355, 0.4465361, -0.8939521, 2.026672, 0.3439042, 0.2476425, 1.890709, 0.1524404, 0.2363819, 1.969758, 0.3979358, 0.2246248, 1.795506, 0.07740098, 0.2539507, 2.005433, 0.390195, 0.7132885, 2.066718, 0.2737603, -0.08296437, 2.061621, 0.3905429, -0.07828886, 1.988573, 0.2856455, -0.5107557, 2.129566, 0.4613865, -0.5260097, 2.012611, 0.4112982, 0.5690951, 2.077176, 0.2291949, 0.4495454, 2.130237, 0.4996039, 0.4267417, 1.937191, 0.3386577, -0.08221954, 2.064847, 0.3769436, 0.2504043, 2.077728, 0.4033225, 0.4912747, 2.079642, 0.3724022, 0.3076463, 1.910225, 0.1925978, 0.1730375, 1.975625, 0.2827561, 0.2536294, 1.892865, 0.2234601, 0.237636, 1.922122
1, 1, 1, 63562190402379, 0, 1, 488187947351, 0.0180418747270357, 2.322787, 138.251.213.82, 0, 100, 0.2964724, -0.8421494, 2.166893, 0.4514234, -0.843859, 2.084387, 0.1647265, 0.2925611, 2.039477, 0.5013587, 0.2260868, 1.831901, 0.2194539, -0.9040558, 2.107267, 0.4191583, -0.9135141, 2.009084, 0.2563228, 0.2393605, 1.918715, 0.182013, 0.2578245, 1.947261, 0.2527496, 0.2496571, 1.892204, 0.1268525, 0.2689057, 1.98096, 0.4818968, 0.7171366, 2.045736, 0.304516, -0.08612762, 2.066505, 0.4205454, -0.1016533, 1.975716, 0.2739895, -0.5149845, 2.114738, 0.44564, -0.4884354, 2.019844, 0.4474158, 0.5746031, 2.091149, 0.280999, 0.4621118, 2.12784, 0.5573784, 0.408288, 1.93299, 0.3916112, -0.09651574, 2.047348, 0.4247031, 0.2448016, 2.073882, 0.4435522, 0.4936723, 2.088459, 0.2595786, 0.1966707, 1.930338, 0.1522963, 0.2213919, 1.964403, 0.2992801, 0.229808, 1.90659, 0.2393203, 0.2458762, 1.913975
1, 1, 1, 63562190402415, 0, 0, 151609134873, -0.629916861166601, 2.010755, 138.251.207.136, 0, 100, 0.3444117, -0.8552324, 2.191707, 0.4872499, -0.8458117, 2.079696, 0.1277875, 0.2428118, 2.025198, 0.4690143, 0.2246517, 1.827482, 0.2789658, -0.9107296, 2.153456, 0.4467732, -0.8938129, 2.026723, 0.3427855, 0.2475725, 1.894251, 0.1531692, 0.2371188, 1.972289, 0.3963852, 0.2272307, 1.800959, 0.07862514, 0.2541624, 2.010885, 0.3904062, 0.7135317, 2.067013, 0.2738183, -0.08278503, 2.062551, 0.3905277, -0.0781985, 1.989187, 0.2860279, -0.5129135, 2.131139, 0.4614199, -0.5262389, 2.012933, 0.4112847, 0.5692377, 2.077558, 0.2293126, 0.4498786, 2.130862, 0.4995831, 0.4268163, 1.937324, 0.3386699, -0.08208351, 2.065613, 0.3769333, 0.2505459, 2.078307, 0.4033078, 0.4914186, 2.080071, 0.370879, 0.3067412, 1.913696, 0.1886083, 0.174395, 1.98152, 0.2822497, 0.2542604, 1.894172, 0.2242625, 0.2383897, 1.923209
1, 1, 1, 63562190402415, 0, 1, 488188276557, 0.0180418747270357, 2.322787, 138.251.213.82, 0, 100, 0.2970869, -0.8416384, 2.166915, 0.4515841, -0.8439823, 2.08446, 0.1648171, 0.292942, 2.040141, 0.5015887, 0.2264651, 1.832095, 0.2201923, -0.9046763, 2.109683, 0.4212037, -0.9142311, 2.009962, 0.2564201, 0.2391859, 1.918676, 0.180898, 0.259214, 1.949034, 0.2563933, 0.2459257, 1.892727, 0.1257152, 0.2738529, 1.983283, 0.4820024, 0.7171127, 2.045869, 0.3045555, -0.08612806, 2.066527, 0.4206569, -0.1017518, 1.97575, 0.2740333, -0.51485, 2.114807, 0.4458359, -0.4885647, 2.020183, 0.4476768, 0.5747312, 2.091358, 0.2819906, 0.4615514, 2.127941, 0.5573844, 0.4082775, 1.932997, 0.3916802, -0.09655033, 2.047377, 0.4248431, 0.2448202, 2.073975, 0.4437787, 0.4937671, 2.088634, 0.2595659, 0.1965514, 1.93052, 0.1756874, 0.2159716, 1.943928, 0.299543, 0.2292163, 1.905319, 0.23939, 0.2455948, 1.913854
1, 1, 1, 63562190402450, 0, 0, 151609475038, -0.629916861166601, 2.010755, 138.251.207.136, 0, 100, 0.3443624, -0.8550015, 2.191443, 0.4872645, -0.8457918, 2.079716, 0.1281923, 0.2352176, 2.019263, 0.4692076, 0.2249201, 1.827508, 0.2791043, -0.9106172, 2.152925, 0.4467051, -0.8937554, 2.02666, 0.3447154, 0.255968, 1.892977, 0.150101, 0.2353587, 1.961448, 0.3996925, 0.2342407, 1.799873, 0.07533127, 0.2626232, 1.995726, 0.3903, 0.7136464, 2.066742, 0.2737381, -0.08277159, 2.062455, 0.3903896, -0.07812668, 1.989061, 0.2855391, -0.5088484, 2.129853, 0.4614113, -0.526024, 2.012826, 0.4112572, 0.5692772, 2.077239, 0.2292381, 0.4498884, 2.130808, 0.4994272, 0.4268037, 1.937227, 0.3385608, -0.08204271, 2.065504, 0.3768591, 0.2505829, 2.078128, 0.4032654, 0.4914577, 2.079796, 0.3657389, 0.3184296, 1.906221, 0.07560512, 0.2157207, 1.9578, 0.2850352, 0.255409, 1.892626, 0.2236358, 0.2369757, 1.921666
1, 1, 1, 63562190402450, 0, 1, 488188617327, 0.0180418747270357, 2.322787, 138.251.213.82, 0, 100, 0.2968084, -0.8413466, 2.166385, 0.4515414, -0.8439333, 2.084406, 0.1646977, 0.2930498, 2.039862, 0.5018175, 0.2266512, 1.831994, 0.2195015, -0.9040716, 2.109073, 0.4213258, -0.9141622, 2.009863, 0.2563682, 0.238415, 1.916179, 0.178637, 0.2584928, 1.94707, 0.2455048, 0.247772, 1.893523, 0.1249434, 0.2696982, 1.983009, 0.4819491, 0.7171879, 2.045767, 0.3044904, -0.08591834, 2.06649, 0.4206201, -0.1016981, 1.975741, 0.2738351, -0.5141362, 2.114565, 0.4457697, -0.4885362, 2.020128, 0.4476929, 0.5747782, 2.09133, 0.2823563, 0.4613157, 2.127884, 0.5573905, 0.4082775, 1.932984, 0.3916306, -0.09642738, 2.047358, 0.4248347, 0.244895, 2.073952, 0.4437892, 0.4938199, 2.088607, 0.2590635, 0.1965089, 1.929516, 0.175978, 0.2141369, 1.944177, 0.300018, 0.2284337, 1.904018, 0.239628, 0.2456643, 1.913807
1, 1, 1, 63562190402486, 0, 0, 151609804221, -0.629916861166601, 2.010755, 138.251.207.136, 0, 100, 0.3443363, -0.8546845, 2.191183, 0.4872186, -0.8457828, 2.079741, 0.1284291, 0.2328229, 2.017938, 0.4688034, 0.2247392, 1.827246, 0.2791302, -0.9103583, 2.152059, 0.4466178, -0.8937007, 2.026692, 0.3444434, 0.2576962, 1.895592, 0.1505415, 0.2351569, 1.961383, 0.4000214, 0.2375485, 1.800864, 0.07698879, 0.2510574, 1.991315, 0.3901859, 0.7136589, 2.066755, 0.2735962, -0.08264654, 2.062365, 0.3902288, -0.07801921, 1.989101, 0.2856784, -0.5097632, 2.129944, 0.4613664, -0.5259004, 2.012852, 0.4112359, 0.5692934, 2.077177, 0.22908, 0.4499943, 2.130855, 0.4993996, 0.4268348, 1.93721, 0.3384131, -0.08192952, 2.065483, 0.3767939, 0.2506304, 2.078088, 0.4032353, 0.4914799, 2.079741, 0.3643351, 0.3198084, 1.907192, 0.1512693, 0.1848346, 1.9742, 0.2856064, 0.255878, 1.892314, 0.2231289, 0.2366285, 1.921205
1, 1, 1, 63562190402486, 0, 1, 488188946437, 0.0180418747270357, 2.322787, 138.251.213.82, 0, 100, 0.2969456, -0.8413687, 2.167042, 0.4529166, -0.8439834, 2.084663, 0.1653989, 0.293603, 2.041209, 0.5041472, 0.2266093, 1.833244, 0.2205908, -0.904893, 2.110101, 0.4221948, -0.9148849, 2.011281, 0.4020435, 0.1993443, 1.871775, 0.1807363, 0.2595076, 1.964668, 0.465109, 0.1675453, 1.823272, 0.1265365, 0.2864276, 2.000589, 0.4830374, 0.7175335, 2.047338, 0.3057673, -0.08525237, 2.067384, 0.4217823, -0.1011813, 1.97673, 0.2745695, -0.5141199, 2.115439, 0.446517, -0.4890999, 2.021251, 0.44938, 0.5754663, 2.092499, 0.2830748, 0.4612468, 2.128045, 0.5579913, 0.4083949, 1.933341, 0.3928633, -0.09581213, 2.048311, 0.4262958, 0.2455504, 2.075017, 0.445421, 0.4945019, 2.089751, 0.3466186, 0.1410308, 1.896486, 0.1732478, 0.2155218, 2.00376, 0.3367106, 0.2262479, 1.89772, 0.242001, 0.24462, 1.915398
