Study_Id, Kinect_Config, Scenario_Id, Tracker_Time, Person_Id, Skeleton_Id, Skeleton_Time, Skeleton_Init_Angle, Skeleton_Init_Dist, Kinect_Id, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
25, 1, 4, 63562374192940, 0, 0, 2326092626411, 0.0288277575465056, 2.679713, 138.251.213.82, 0, 100, 0.4811473, -0.8963695, 2.740239, 0.6130049, -0.9063202, 2.710855, 0.3457251, 0.04422797, 2.728722, 0.7677447, 0.04349716, 2.751915, 0.4482268, -0.9635029, 2.654548, 0.6120562, -0.9631748, 2.617345, 0.298452, -0.2375199, 2.618182, 0.8920895, -0.2265006, 2.670682, 0.2820711, -0.3094477, 2.599313, 0.928304, -0.2750114, 2.662241, 0.5677797, 0.5598289, 2.680846, 0.4797691, -0.1700807, 2.687633, 0.6196591, -0.1713645, 2.68136, 0.4657354, -0.5646141, 2.724501, 0.6302761, -0.5656494, 2.69862, 0.5434274, 0.4202219, 2.722821, 0.3927118, 0.2960551, 2.72925, 0.711639, 0.2826577, 2.728537, 0.5568724, -0.1728823, 2.719279, 0.5514925, 0.1274414, 2.727077, 0.5458884, 0.3480567, 2.726081, 0.3182951, -0.2285813, 2.581694, 0.905662, -0.2204705, 2.626208, 0.3103346, -0.16018, 2.650588, 0.8479271, -0.1520284, 2.693655
25, 1, 4, 63562374192940, 0, 1, 90587136207, -0.679899669679212, 2.191585, 138.251.207.136, 0, 100, 0.5010775, -0.9001692, 2.766925, 0.6220677, -0.8924587, 2.728273, 0.3472729, 0.04642235, 2.722978, 0.7699593, 0.0664802, 2.730044, 0.4672391, -0.9559904, 2.69336, 0.6225213, -0.9560733, 2.651277, 0.289085, -0.2445862, 2.629556, 0.8946097, -0.2313427, 2.635703, 0.2766373, -0.3094914, 2.607366, 0.9317907, -0.291814, 2.629289, 0.5382031, 0.5765953, 2.653087, 0.4728003, -0.1996328, 2.674994, 0.5998294, -0.1910197, 2.689205, 0.4833301, -0.5861803, 2.747955, 0.6187057, -0.5564177, 2.714323, 0.5568737, 0.4316617, 2.692212, 0.3831063, 0.3140184, 2.704887, 0.6947144, 0.2956229, 2.706475, 0.5210862, -0.1972112, 2.717261, 0.5367091, 0.1227147, 2.710806, 0.5509477, 0.3559694, 2.698993, 0.2677713, -0.2913032, 2.580813, 0.8943437, -0.252643, 2.673294, 0.3086203, -0.164378, 2.650778, 0.8594197, -0.1503673, 2.658765
25, 1, 4, 63562374192940, 1, 0, 2326092626411, 0.327873938571934, 2.523635, 138.251.213.82, 0, 100, -0.3478645, -0.8899788, 2.549391, -0.1686101, -0.8930975, 2.637385, -0.4759789, 0.0527827, 2.481349, -0.1144751, 0.01635472, 2.597972, -0.3466365, -0.9481794, 2.489764, -0.1187838, -0.9537458, 2.592489, -0.4155441, -0.2629448, 2.412658, -0.1226662, -0.2559129, 2.510163, -0.4074873, -0.3347816, 2.403657, -0.1150215, -0.3213, 2.495827, -0.2615447, 0.5753731, 2.531111, -0.3259112, -0.1725988, 2.52239, -0.1925148, -0.1767236, 2.561809, -0.3649713, -0.5347297, 2.509954, -0.1721611, -0.5471078, 2.579525, -0.3026903, 0.4333177, 2.550663, -0.4318261, 0.2932602, 2.493052, -0.1375842, 0.2914895, 2.592854, -0.2627257, -0.1770355, 2.576898, -0.2835872, 0.1323572, 2.570036, -0.2982415, 0.3592498, 2.5577, -0.4598685, -0.2610962, 2.41316, -0.1550977, -0.2400981, 2.502819, -0.434468, -0.1923544, 2.423564, -0.1037029, -0.1923317, 2.527666
25, 1, 4, 63562374192940, 1, 1, 90587136207, -0.46871007375977, 2.638431, 138.251.207.136, 0, 100, -0.3502062, -0.884445, 2.586711, -0.1534043, -0.8955582, 2.663414, -0.4736046, 0.02553846, 2.47483, -0.1034927, 0.04575352, 2.593191, -0.3369635, -0.960462, 2.517144, -0.09050454, -0.9558055, 2.620082, -0.4051517, -0.2717313, 2.417731, -0.1053075, -0.2435514, 2.514244, -0.4121951, -0.3372468, 2.410969, -0.1128342, -0.3153528, 2.497084, -0.2912132, 0.5628691, 2.500689, -0.375624, -0.1810429, 2.50551, -0.2315276, -0.1749311, 2.554479, -0.3529089, -0.5255023, 2.526908, -0.1564048, -0.5353451, 2.594666, -0.2917321, 0.4152687, 2.531371, -0.4699402, 0.2836174, 2.473623, -0.1470511, 0.2962336, 2.568803, -0.3300342, -0.1791364, 2.55566, -0.3153736, 0.122319, 2.548169, -0.2992862, 0.3432174, 2.537183, -0.3520506, -0.2621921, 2.41746, -0.1004405, -0.2496284, 2.469223, -0.4263461, -0.2131346, 2.424333, -0.09216613, -0.1634076, 2.534552
25, 1, 4, 63562374193010, 0, 0, 2326092957107, 0.0288277575465056, 2.679713, 138.251.213.82, 0, 100, 0.4812421, -0.8966987, 2.740184, 0.6132187, -0.9062843, 2.710794, 0.3466167, 0.04545094, 2.728901, 0.767678, 0.04355402, 2.751927, 0.4471363, -0.9645182, 2.652828, 0.6120504, -0.9632035, 2.617341, 0.2973444, -0.230296, 2.6195, 0.887597, -0.2321445, 2.671225, 0.2735406, -0.3006608, 2.587617, 0.9246496, -0.2842854, 2.656656, 0.5677981, 0.5597731, 2.680965, 0.4797842, -0.1701134, 2.687621, 0.6197439, -0.1714836, 2.681598, 0.4657562, -0.5647073, 2.724596, 0.6302847, -0.5655227, 2.698722, 0.5433937, 0.420224, 2.723015, 0.3927196, 0.2959731, 2.729332, 0.7116277, 0.2826189, 2.728583, 0.5569089, -0.1729464, 2.719341, 0.5514899, 0.1274097, 2.72719, 0.5458626, 0.34805, 2.726253, 0.3188057, -0.2229351, 2.584966, 0.8858151, -0.2087381, 2.625134, 0.3100268, -0.1591856, 2.652071, 0.8475212, -0.1523375, 2.694594
25, 1, 4, 63562374193010, 0, 1, 90587466305, -0.679899669679212, 2.191585, 138.251.207.136, 0, 100, 0.5011069, -0.8994076, 2.766715, 0.6215841, -0.8925093, 2.72847, 0.3473372, 0.0463091, 2.722949, 0.7707869, 0.06396736, 2.730432, 0.4672009, -0.9558015, 2.694706, 0.6225618, -0.9559506, 2.651363, 0.2875872, -0.2420227, 2.628925, 0.8891221, -0.2294326, 2.631334, 0.2661276, -0.3070757, 2.614649, 0.9281572, -0.2964183, 2.617705, 0.5382367, 0.5765623, 2.653124, 0.4727961, -0.199641, 2.675055, 0.5999156, -0.1909942, 2.68917, 0.4833291, -0.5860285, 2.748002, 0.6186095, -0.5563663, 2.714395, 0.5568806, 0.4316389, 2.692405, 0.3830765, 0.3138191, 2.705104, 0.6946595, 0.295458, 2.706328, 0.5211011, -0.1972072, 2.717269, 0.5367187, 0.1227109, 2.710882, 0.5509562, 0.3559509, 2.699158, 0.274655, -0.238711, 2.612828, 0.8990873, -0.2906657, 2.645013, 0.3083655, -0.1644043, 2.65112, 0.8589158, -0.1522661, 2.658293
25, 1, 4, 63562374193010, 1, 0, 2326092957107, 0.327873938571934, 2.523635, 138.251.213.82, 0, 100, -0.3478206, -0.8900032, 2.549307, -0.1685616, -0.8937386, 2.637187, -0.4773206, 0.05297808, 2.480537, -0.1141684, 0.0168847, 2.598025, -0.3465866, -0.9482871, 2.489685, -0.1182888, -0.9540517, 2.592627, -0.4165793, -0.2605301, 2.407505, -0.1212547, -0.2542666, 2.508289, -0.411852, -0.3333549, 2.403464, -0.1136607, -0.3146647, 2.489383, -0.2615257, 0.5753467, 2.531134, -0.3262403, -0.1726641, 2.522382, -0.1927459, -0.1768497, 2.561742, -0.3649482, -0.5348599, 2.509993, -0.1720544, -0.5476199, 2.579306, -0.3027006, 0.4333161, 2.550679, -0.4318321, 0.2932526, 2.493056, -0.1375185, 0.2914734, 2.592806, -0.2630058, -0.177134, 2.576848, -0.2836823, 0.1323236, 2.570032, -0.2982618, 0.3592438, 2.557713, -0.455794, -0.2825347, 2.398643, -0.1555743, -0.2431001, 2.504603, -0.4362023, -0.1918528, 2.419929, -0.1033455, -0.1914942, 2.526646
25, 1, 4, 63562374193010, 1, 1, 90587466305, -0.46871007375977, 2.638431, 138.251.207.136, 0, 100, -0.3502024, -0.8845188, 2.5867, -0.1533364, -0.8954933, 2.663405, -0.4793023, 0.03292303, 2.471937, -0.1018927, 0.04728599, 2.592759, -0.3369337, -0.9604959, 2.517349, -0.09030893, -0.9557927, 2.619971, -0.4129912, -0.2701054, 2.411584, -0.09836124, -0.2416562, 2.50511, -0.4184834, -0.3365756, 2.415242, -0.1103312, -0.312375, 2.495387, -0.2912419, 0.5623116, 2.500769, -0.3745115, -0.1814573, 2.504831, -0.2310492, -0.1751727, 2.554452, -0.3528481, -0.5247393, 2.526537, -0.1566771, -0.5369133, 2.594585, -0.2919711, 0.4151146, 2.531221, -0.4695367, 0.2836564, 2.473557, -0.1471581, 0.2960614, 2.568924, -0.329282, -0.1794603, 2.555358, -0.3152807, 0.1221654, 2.548006, -0.2994146, 0.3430832, 2.537048, -0.36273, -0.2693398, 2.417504, -0.1248362, -0.2098455, 2.489478, -0.4382637, -0.2050902, 2.414747, -0.08902563, -0.1613162, 2.531952
25, 1, 4, 63562374193030, 0, 0, 2326093296377, 0.0288277575465056, 2.679713, 138.251.213.82, 0, 100, 0.4816002, -0.8969508, 2.740312, 0.6133352, -0.9065513, 2.710878, 0.3470189, 0.04574098, 2.729203, 0.7676729, 0.04348059, 2.752284, 0.4472576, -0.9632392, 2.654267, 0.6117477, -0.9627548, 2.61813, 0.2964197, -0.2275213, 2.622596, 0.881173, -0.2341781, 2.672843, 0.2703301, -0.3005752, 2.604537, 0.9154801, -0.2920521, 2.649578, 0.5677524, 0.5598214, 2.681497, 0.4798271, -0.1702015, 2.687901, 0.6197636, -0.1716608, 2.681866, 0.4657625, -0.5646064, 2.724586, 0.630294, -0.5657101, 2.698833, 0.5433939, 0.4201403, 2.723055, 0.3927484, 0.295963, 2.729591, 0.7117133, 0.2825215, 2.728819, 0.5569407, -0.173088, 2.71963, 0.5514905, 0.127303, 2.727329, 0.5458618, 0.3479639, 2.726313, 0.3174438, -0.225576, 2.582876, 0.8700577, -0.2056322, 2.627134, 0.310176, -0.1588405, 2.652334, 0.8464499, -0.152848, 2.694905
25, 1, 4, 63562374193030, 0, 1, 90587795461, -0.679899669679212, 2.191585, 138.251.207.136, 0, 100, 0.5011216, -0.899617, 2.766613, 0.6215805, -0.8925278, 2.728471, 0.3470486, 0.04527043, 2.722853, 0.7709631, 0.06974186, 2.730216, 0.4675599, -0.9555457, 2.69826, 0.623132, -0.9561641, 2.651049, 0.2860488, -0.2423048, 2.627726, 0.8853145, -0.2344608, 2.630632, 0.2562829, -0.3130737, 2.61148, 0.9152178, -0.30022, 2.622738, 0.5382416, 0.5765633, 2.65313, 0.4728202, -0.1996588, 2.675062, 0.599921, -0.1909917, 2.689182, 0.4833289, -0.586036, 2.748016, 0.6184903, -0.5565352, 2.714484, 0.5568497, 0.4316465, 2.692512, 0.383078, 0.3137462, 2.705289, 0.6945218, 0.2953843, 2.706277, 0.5211097, -0.1972109, 2.717276, 0.5367103, 0.1227088, 2.710933, 0.5509313, 0.3559545, 2.699253, 0.2760445, -0.230992, 2.613144, 0.9233497, -0.2552432, 2.622319, 0.308767, -0.1637323, 2.651511, 0.8578158, -0.1542225, 2.657866
