Study_Id, Kinect_Config, Scenario_Id, Tracker_Time, Person_Id, Skeleton_Id, Skeleton_Time, Skeleton_Init_Angle, Skeleton_Init_Dist, Kinect_Id, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
25, 1, 4, 63562374272732, 0, 0, 91385130280, -0.211711650612449, 2.65487, 138.251.207.136, 0, 100, -0.04732354, -0.794584, 2.771002, 0.1239744, -0.7972197, 2.723484, -0.2176988, 0.1567085, 2.698754, 0.1973801, 0.1609614, 2.618034, -0.06680689, -0.8627615, 2.704272, 0.1376597, -0.8605752, 2.654476, -0.311929, -0.1125351, 2.553632, 0.2266744, -0.1286979, 2.428885, -0.3454108, -0.1719186, 2.537956, 0.2422209, -0.1963965, 2.409967, 0.002578904, 0.6656387, 2.68436, -0.05769035, -0.08770683, 2.712394, 0.09394736, -0.0805316, 2.682968, -0.06112301, -0.434195, 2.707549, 0.1176589, -0.4423553, 2.675083, 0.00715176, 0.5149363, 2.703733, -0.1559637, 0.3826419, 2.721916, 0.1528351, 0.3902251, 2.655026, 0.01831385, -0.08521351, 2.7344, 0.01180486, 0.2196297, 2.724836, 0.008664135, 0.4424615, 2.711316, -0.2990283, -0.1327817, 2.508067, 0.1890479, -0.1239535, 2.398134, -0.2756239, -0.03438956, 2.608402, 0.2168899, -0.04806193, 2.475249
25, 1, 4, 63562374272732, 0, 1, 2326889884234, 0.607932616453681, 2.521758, 138.251.213.82, 0, 100, -0.06844132, -0.7998641, 2.752952, 0.09913509, -0.7898439, 2.715961, -0.1831923, 0.1659122, 2.71206, 0.1984551, 0.138748, 2.616874, -0.09509622, -0.8584168, 2.700456, 0.09400386, -0.8527093, 2.663553, -0.2949378, -0.1090276, 2.559903, 0.208672, -0.09904254, 2.448416, -0.3534306, -0.1689214, 2.532273, 0.2417085, -0.1519081, 2.397488, 0.0476321, 0.6751664, 2.689721, -0.02547668, -0.0864551, 2.705084, 0.1119746, -0.0833749, 2.656249, -0.07742474, -0.4581004, 2.708701, 0.09490111, -0.4504353, 2.67083, 0.01641105, 0.5358737, 2.72089, -0.1203813, 0.390071, 2.727586, 0.1703535, 0.3983679, 2.659239, 0.06684214, -0.08714936, 2.707543, 0.04460709, 0.2288358, 2.719612, 0.02494623, 0.4604642, 2.722531, -0.3590826, -0.1547977, 2.552258, 0.2127678, -0.0919862, 2.429393, -0.2303111, -0.02741405, 2.627972, 0.1977092, -0.03458837, 2.508758
25, 1, 4, 63562374272732, 1, 0, 91385130280, -0.801406192528258, 2.196332, 138.251.207.136, 0, 100, 0.7028339, -0.8157993, 2.286833, 0.7701205, -0.8082379, 2.178034, 0.5802237, 0.1426139, 2.356261, 0.8527829, 0.1177451, 2.087183, 0.6344234, -0.8711373, 2.253431, 0.7193012, -0.8692851, 2.122246, 0.5127649, -0.1519955, 2.300042, 0.80563, -0.171493, 2.030645, 0.5119425, -0.2234344, 2.289978, 0.8079662, -0.2559585, 2.011193, 0.6584482, 0.6615916, 2.176429, 0.6296075, -0.1183614, 2.245466, 0.7253098, -0.112023, 2.172132, 0.6793485, -0.5040359, 2.287324, 0.7566946, -0.4762313, 2.17281, 0.6997082, 0.5193782, 2.193785, 0.5867933, 0.4015047, 2.323124, 0.7990662, 0.3821115, 2.102598, 0.6888406, -0.117113, 2.245605, 0.6965977, 0.2066564, 2.226274, 0.6995862, 0.4427828, 2.204182, 0.4882633, -0.1434096, 2.291714, 0.8288796, -0.1737579, 2.0015, 0.5299976, -0.06738093, 2.322083, 0.8257337, -0.09659486, 2.034988
25, 1, 4, 63562374272732, 1, 1, 2326889884234, -0.101136993275138, 2.692464, 138.251.213.82, 0, 100, 0.6655549, -0.8004966, 2.27915, 0.7472479, -0.8210052, 2.167169, 0.5806697, 0.132191, 2.363244, 0.860817, 0.09942341, 2.097588, 0.591692, -0.8676595, 2.236744, 0.6857625, -0.8719593, 2.09772, 0.517529, -0.1472353, 2.290115, 0.8200955, -0.1722404, 2.039191, 0.4920341, -0.2220425, 2.286534, 0.8410029, -0.2460642, 2.014563, 0.6981167, 0.6510496, 2.178613, 0.6379053, -0.0944595, 2.248201, 0.7405575, -0.0960805, 2.142056, 0.6468707, -0.4764867, 2.278603, 0.7522271, -0.4804903, 2.150995, 0.7115651, 0.5078109, 2.221096, 0.6054322, 0.3879964, 2.340306, 0.830035, 0.3693593, 2.110007, 0.7174615, -0.09769946, 2.217509, 0.7192386, 0.2086399, 2.22345, 0.7153193, 0.4339767, 2.223035, 0.4810572, -0.1440214, 2.305005, 0.7786744, -0.1811475, 2.036228, 0.5231396, -0.07643308, 2.321096, 0.8296531, -0.1116135, 2.045831
25, 1, 4, 63562374272762, 0, 0, 91385130280, -0.211711650612449, 2.65487, 138.251.207.136, 0, 100, -0.04732354, -0.794584, 2.771002, 0.1239744, -0.7972197, 2.723484, -0.2176988, 0.1567085, 2.698754, 0.1973801, 0.1609614, 2.618034, -0.06680689, -0.8627615, 2.704272, 0.1376597, -0.8605752, 2.654476, -0.311929, -0.1125351, 2.553632, 0.2266744, -0.1286979, 2.428885, -0.3454108, -0.1719186, 2.537956, 0.2422209, -0.1963965, 2.409967, 0.002578904, 0.6656387, 2.68436, -0.05769035, -0.08770683, 2.712394, 0.09394736, -0.0805316, 2.682968, -0.06112301, -0.434195, 2.707549, 0.1176589, -0.4423553, 2.675083, 0.00715176, 0.5149363, 2.703733, -0.1559637, 0.3826419, 2.721916, 0.1528351, 0.3902251, 2.655026, 0.01831385, -0.08521351, 2.7344, 0.01180486, 0.2196297, 2.724836, 0.008664135, 0.4424615, 2.711316, -0.2990283, -0.1327817, 2.508067, 0.1890479, -0.1239535, 2.398134, -0.2756239, -0.03438956, 2.608402, 0.2168899, -0.04806193, 2.475249
25, 1, 4, 63562374272762, 0, 1, 2326890553375, 0.607932616453681, 2.521758, 138.251.213.82, 0, 100, -0.06857996, -0.8001928, 2.752905, 0.09910495, -0.7894689, 2.715569, -0.1941141, 0.1709004, 2.708783, 0.205424, 0.1435623, 2.61437, -0.09511495, -0.8586279, 2.700086, 0.09468314, -0.852657, 2.66369, -0.3156586, -0.1194207, 2.566019, 0.2209523, -0.1014269, 2.4344, -0.3658229, -0.1823831, 2.533086, 0.2419546, -0.1727745, 2.400139, 0.04598455, 0.6754004, 2.68951, -0.02613215, -0.08673174, 2.705668, 0.109695, -0.0852335, 2.656679, -0.07739104, -0.4579027, 2.708387, 0.09483395, -0.4503235, 2.670674, 0.01585652, 0.5353038, 2.720639, -0.1211627, 0.3896427, 2.727255, 0.1687881, 0.3978634, 2.657946, 0.06555776, -0.08813826, 2.708119, 0.04403053, 0.2281493, 2.719616, 0.02436547, 0.4598256, 2.722305, -0.3297972, -0.1299848, 2.611838, 0.2338667, -0.1640653, 2.414176, -0.2712463, -0.04129171, 2.610486, 0.2131208, -0.02992015, 2.503906
25, 1, 4, 63562374272762, 1, 0, 91385130280, -0.801406192528258, 2.196332, 138.251.207.136, 0, 100, 0.7028339, -0.8157993, 2.286833, 0.7701205, -0.8082379, 2.178034, 0.5802237, 0.1426139, 2.356261, 0.8527829, 0.1177451, 2.087183, 0.6344234, -0.8711373, 2.253431, 0.7193012, -0.8692851, 2.122246, 0.5127649, -0.1519955, 2.300042, 0.80563, -0.171493, 2.030645, 0.5119425, -0.2234344, 2.289978, 0.8079662, -0.2559585, 2.011193, 0.6584482, 0.6615916, 2.176429, 0.6296075, -0.1183614, 2.245466, 0.7253098, -0.112023, 2.172132, 0.6793485, -0.5040359, 2.287324, 0.7566946, -0.4762313, 2.17281, 0.6997082, 0.5193782, 2.193785, 0.5867933, 0.4015047, 2.323124, 0.7990662, 0.3821115, 2.102598, 0.6888406, -0.117113, 2.245605, 0.6965977, 0.2066564, 2.226274, 0.6995862, 0.4427828, 2.204182, 0.4882633, -0.1434096, 2.291714, 0.8288796, -0.1737579, 2.0015, 0.5299976, -0.06738093, 2.322083, 0.8257337, -0.09659486, 2.034988
25, 1, 4, 63562374272762, 1, 1, 2326890553375, -0.101136993275138, 2.692464, 138.251.213.82, 0, 100, 0.6655813, -0.800817, 2.279244, 0.7472917, -0.8208568, 2.167164, 0.5813044, 0.1317675, 2.360553, 0.8596269, 0.09903029, 2.098241, 0.5916531, -0.8679831, 2.236467, 0.6860281, -0.8718216, 2.097718, 0.520869, -0.1456645, 2.28683, 0.805883, -0.1836868, 2.043305, 0.5047169, -0.2285852, 2.275631, 0.8190873, -0.2529243, 2.018864, 0.6986565, 0.6510864, 2.178096, 0.6387478, -0.0949859, 2.247524, 0.7413312, -0.09630814, 2.141391, 0.6472239, -0.4761835, 2.27831, 0.752355, -0.4806463, 2.15097, 0.7111353, 0.5084894, 2.22138, 0.605081, 0.3878129, 2.340032, 0.8300014, 0.369321, 2.110014, 0.718276, -0.09807372, 2.21681, 0.7193182, 0.2087424, 2.223366, 0.7150871, 0.4344564, 2.223181, 0.4882064, -0.1459845, 2.312465, 0.7530671, -0.1801841, 2.043083, 0.5243759, -0.07783942, 2.313126, 0.8230703, -0.1120991, 2.049972
25, 1, 4, 63562374272819, 0, 0, 91386130230, -0.211711650612449, 2.65487, 138.251.207.136, 0, 100, -0.04736653, -0.7951291, 2.770796, 0.1235869, -0.7969367, 2.723647, -0.227036, 0.1577337, 2.697677, 0.2034121, 0.1579866, 2.611988, -0.06736916, -0.8633384, 2.703834, 0.1373958, -0.8596184, 2.655757, -0.32955, -0.1072969, 2.552136, 0.2157612, -0.1230323, 2.424694, -0.3759508, -0.1630456, 2.535984, 0.1985056, -0.1967142, 2.425942, 0.001398262, 0.6655238, 2.683654, -0.0542471, -0.08871852, 2.712617, 0.09714981, -0.08040624, 2.683526, -0.06091406, -0.4348035, 2.707444, 0.1183617, -0.4410501, 2.674793, 0.006512769, 0.5147969, 2.7033, -0.1563971, 0.3828724, 2.719719, 0.1519978, 0.3903921, 2.654624, 0.02165248, -0.08567399, 2.734787, 0.01258719, 0.2193044, 2.724839, 0.008395416, 0.4423003, 2.711071, -0.3175925, -0.115298, 2.5073, 0.2040382, -0.1176668, 2.381818, -0.290887, -0.03540843, 2.599908, 0.2205703, -0.0479214, 2.465734
25, 1, 4, 63562374272819, 0, 1, 2326890553375, 0.607932616453681, 2.521758, 138.251.213.82, 0, 100, -0.06857996, -0.8001928, 2.752905, 0.09910495, -0.7894689, 2.715569, -0.1941141, 0.1709004, 2.708783, 0.205424, 0.1435623, 2.61437, -0.09511495, -0.8586279, 2.700086, 0.09468314, -0.852657, 2.66369, -0.3156586, -0.1194207, 2.566019, 0.2209523, -0.1014269, 2.4344, -0.3658229, -0.1823831, 2.533086, 0.2419546, -0.1727745, 2.400139, 0.04598455, 0.6754004, 2.68951, -0.02613215, -0.08673174, 2.705668, 0.109695, -0.0852335, 2.656679, -0.07739104, -0.4579027, 2.708387, 0.09483395, -0.4503235, 2.670674, 0.01585652, 0.5353038, 2.720639, -0.1211627, 0.3896427, 2.727255, 0.1687881, 0.3978634, 2.657946, 0.06555776, -0.08813826, 2.708119, 0.04403053, 0.2281493, 2.719616, 0.02436547, 0.4598256, 2.722305, -0.3297972, -0.1299848, 2.611838, 0.2338667, -0.1640653, 2.414176, -0.2712463, -0.04129171, 2.610486, 0.2131208, -0.02992015, 2.503906
