Study, KinectConfig, Scenario, Tracker_Time, Person#, Skeleton#, Skeleton_Time, Skeleton_Init_Angle, Skeleton_Init_Dist, Kinect#, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
26, 1, 4, 63562375011562, 0, 0, 98773045219, -0.724150951342195, 2.180732, 138.251.207.136, 0, 100, 0.5915031, -0.8295698, 2.289624, 0.718701, -0.8289257, 2.132149, 0.4298817, 0.1516721, 2.362177, 0.8179876, 0.1682169, 2.067774, 0.4946161, -0.8749686, 2.29019, 0.6802703, -0.8865277, 2.053823, 0.4209174, -0.1205901, 2.27091, 0.7286104, -0.1124012, 2.001456, 0.4443098, -0.2039124, 2.243666, 0.702903, -0.1871439, 1.995923, 0.5867886, 0.7022028, 2.201298, 0.5168897, -0.08089054, 2.230163, 0.6328596, -0.0754222, 2.150987, 0.5699018, -0.5021819, 2.261542, 0.6682668, -0.4892218, 2.129028, 0.6113282, 0.5488282, 2.199669, 0.457629, 0.4264135, 2.320024, 0.7345625, 0.4048919, 2.097993, 0.5848194, -0.07951301, 2.228136, 0.6005326, 0.2404181, 2.220218, 0.6093923, 0.4733137, 2.20701, 0.3860405, -0.1464682, 2.262165, 0.7600404, -0.1146923, 1.967637, 0.4143836, -0.07446059, 2.294359, 0.7575247, -0.05262553, 2.004979
26, 1, 4, 63562375011562, 0, 1, 2334278217830, -0.0394890122082371, 2.605602, 138.251.213.82, 0, 100, 0.5408432, -0.8133458, 2.279149, 0.6807989, -0.8201606, 2.12799, 0.420451, 0.1495718, 2.364301, 0.818586, 0.1359763, 2.100964, 0.4720819, -0.8642286, 2.25537, 0.6609317, -0.8742933, 2.060366, 0.4070558, -0.1196865, 2.266669, 0.7276046, -0.1154622, 2.022657, 0.4100877, -0.1958891, 2.240022, 0.7104731, -0.1890734, 2.008838, 0.6346273, 0.6872804, 2.206984, 0.5328987, -0.08120301, 2.232114, 0.6555656, -0.08018927, 2.129386, 0.5479245, -0.4830121, 2.249503, 0.6541666, -0.480076, 2.120339, 0.6136016, 0.5363632, 2.239827, 0.4763293, 0.4120713, 2.334416, 0.7507764, 0.3916014, 2.114621, 0.6228514, -0.08299113, 2.204758, 0.6230633, 0.2311369, 2.226376, 0.6177213, 0.4612778, 2.23799, 0.4245395, -0.1119253, 2.225367, 0.6778712, -0.09626604, 2.031666, 0.3975371, -0.0579276, 2.292112, 0.7608003, -0.06553479, 2.028403
26, 1, 4, 63562375011562, 1, 0, 98773045219, -0.779641295187725, 2.680621, 138.251.207.136, 0, 100, 0.04954222, -0.803346, 2.758377, 0.1378396, -0.7891241, 2.682895, -0.130958, 0.293406, 2.891229, 0.2401991, 0.2574428, 2.511441, -0.0190977, -0.8686147, 2.69773, 0.08658858, -0.862668, 2.605458, -0.1370497, -0.062801, 2.779855, 0.1410655, -0.09304198, 2.48472, -0.1096811, -0.149514, 2.771007, 0.1397744, -0.1838865, 2.510419, 0.03077456, 0.807646, 2.67407, -0.06408116, 0.01360149, 2.744813, 0.06617994, 0.01128679, 2.638439, 0.01240772, -0.4620707, 2.774376, 0.1211842, -0.4186872, 2.655977, 0.07514036, 0.6634543, 2.676737, -0.08755447, 0.5560965, 2.829911, 0.1893232, 0.5171808, 2.564888, 0.0009669252, 0.0125816, 2.731449, 0.03878241, 0.3433271, 2.711072, 0.06625284, 0.584949, 2.68772, -0.1740576, -0.08592686, 2.767857, 0.0738921, -0.05623246, 2.500549, -0.1333818, 0.01627051, 2.812428, 0.1792347, -0.02827153, 2.464399
26, 1, 4, 63562375011562, 1, 1, 2334278217830, 0.0324880348251904, 2.560243, 138.251.213.82, 0, 100, 0.0008359738, -0.8020474, 2.75386, 0.1019513, -0.8026325, 2.658735, -0.108962, 0.2575409, 2.877307, 0.2258629, 0.2502006, 2.536393, -0.06975773, -0.869076, 2.69046, 0.03957979, -0.8722853, 2.584264, -0.1456575, -0.06609073, 2.779165, 0.1601547, -0.0513168, 2.464187, -0.1444212, -0.1371902, 2.763306, 0.1423588, -0.1164943, 2.444073, 0.07624111, 0.8054082, 2.691771, -0.03064657, 0.004706478, 2.739706, 0.09440611, 0.0006800648, 2.629461, -0.01533083, -0.4414428, 2.763441, 0.110969, -0.4517354, 2.638367, 0.07904509, 0.6525194, 2.719751, -0.06303529, 0.5316985, 2.824564, 0.1954899, 0.5110093, 2.578333, 0.05773483, 0.001263825, 2.714432, 0.07296537, 0.3322288, 2.722157, 0.07911704, 0.5739177, 2.722152, -0.134493, -0.05598001, 2.728109, 0.1337852, -0.05063985, 2.48078, -0.1437737, 0.007658755, 2.814179, 0.1906692, 0.02414052, 2.476119
26, 1, 4, 63562375011597, 0, 0, 98773385299, -0.724150951342195, 2.180732, 138.251.207.136, 0, 100, 0.5915291, -0.8295668, 2.289649, 0.7187414, -0.8290774, 2.132221, 0.429924, 0.1516311, 2.362029, 0.8178655, 0.1682776, 2.067946, 0.4950556, -0.8749716, 2.290268, 0.6803753, -0.8864422, 2.053484, 0.4188384, -0.119916, 2.271211, 0.7282752, -0.1131776, 2.000028, 0.4350566, -0.1988303, 2.249085, 0.7057734, -0.1861371, 1.992615, 0.58674, 0.7022743, 2.201506, 0.5166835, -0.08088582, 2.230191, 0.632656, -0.07543629, 2.151047, 0.5697428, -0.5021627, 2.261619, 0.6677346, -0.4888076, 2.129052, 0.6112719, 0.5488092, 2.199768, 0.4576436, 0.4264196, 2.319985, 0.7344533, 0.4048353, 2.097985, 0.5845992, -0.0795171, 2.228189, 0.6003693, 0.2404048, 2.220313, 0.6093082, 0.4732957, 2.207114, 0.3789416, -0.1058898, 2.286077, 0.7600024, -0.1145449, 1.966465, 0.4146666, -0.07445887, 2.293998, 0.7574598, -0.05259525, 2.005232
26, 1, 4, 63562375011597, 0, 1, 2334278546872, -0.0394890122082371, 2.605602, 138.251.213.82, 0, 100, 0.5408049, -0.8134021, 2.279023, 0.6807525, -0.8202072, 2.128051, 0.4210029, 0.1496212, 2.364149, 0.818479, 0.1362136, 2.101306, 0.4717358, -0.8648678, 2.255354, 0.6612044, -0.8744513, 2.060646, 0.4060969, -0.1188658, 2.266513, 0.7296283, -0.1143366, 2.02339, 0.4099151, -0.1944194, 2.239873, 0.705324, -0.1871081, 2.006989, 0.6346712, 0.6873635, 2.207251, 0.5328202, -0.08114164, 2.232189, 0.6554382, -0.0801195, 2.129474, 0.547818, -0.4829777, 2.24957, 0.6539942, -0.4803293, 2.120358, 0.6136124, 0.5363225, 2.240106, 0.4763747, 0.4119881, 2.334816, 0.7508972, 0.3917246, 2.11482, 0.6227476, -0.08292561, 2.204846, 0.6230095, 0.2311541, 2.226561, 0.6177133, 0.4612523, 2.238247, 0.423353, -0.112748, 2.223785, 0.6765421, -0.1087932, 2.029737, 0.3976957, -0.05786794, 2.29202, 0.7607944, -0.06525161, 2.028527
26, 1, 4, 63562375011597, 1, 0, 98773385299, -0.779641295187725, 2.680621, 138.251.207.136, 0, 100, 0.0496458, -0.8032084, 2.758211, 0.1378931, -0.7886565, 2.682969, -0.130926, 0.2933806, 2.891388, 0.240187, 0.2573747, 2.511427, -0.02057531, -0.8698106, 2.699991, 0.08657887, -0.8626626, 2.605458, -0.1395814, -0.06415126, 2.783169, 0.1431307, -0.09137715, 2.48099, -0.1077247, -0.151331, 2.769507, 0.1402316, -0.1843456, 2.50866, 0.03078589, 0.8076746, 2.674328, -0.06452321, 0.01388289, 2.744542, 0.06620755, 0.01153795, 2.637194, 0.0125013, -0.4624114, 2.774477, 0.1191699, -0.4218698, 2.658443, 0.07513107, 0.663365, 2.676784, -0.08751063, 0.5561317, 2.829931, 0.1893206, 0.517168, 2.56495, 0.0007346794, 0.01283992, 2.73083, 0.03871814, 0.3433322, 2.710942, 0.06623787, 0.5849025, 2.687725, -0.1736766, -0.0732336, 2.777176, 0.08067633, -0.060441, 2.494849, -0.1331321, 0.01621698, 2.812609, 0.1798946, -0.02703968, 2.464185
26, 1, 4, 63562375011597, 1, 1, 2334278546872, 0.0324880348251904, 2.560243, 138.251.213.82, 0, 100, 0.0008527227, -0.8018002, 2.753888, 0.102072, -0.8026511, 2.658793, -0.1089764, 0.2574436, 2.877373, 0.2259539, 0.250089, 2.536556, -0.06981114, -0.8690762, 2.690446, 0.03981412, -0.8721347, 2.584516, -0.1461866, -0.05574615, 2.782748, 0.1608133, -0.05461, 2.466376, -0.1495805, -0.1251091, 2.759751, 0.1429858, -0.1161739, 2.450424, 0.07628271, 0.8054188, 2.691819, -0.03065813, 0.004790341, 2.739652, 0.09468, 0.0008076485, 2.629676, -0.01537379, -0.4414756, 2.763474, 0.1109154, -0.4514132, 2.638224, 0.07903097, 0.6524992, 2.719741, -0.06305841, 0.5316507, 2.82452, 0.1955028, 0.5109925, 2.578347, 0.05780477, 0.001348918, 2.714467, 0.07297011, 0.3322338, 2.722159, 0.07911251, 0.5739096, 2.722149, -0.1333238, -0.03651321, 2.732237, 0.1378635, -0.05611706, 2.491709, -0.1424696, 0.01962931, 2.821035, 0.1907295, 0.02403351, 2.476227
26, 1, 4, 63562375011631, 0, 0, 98774045222, -0.724150951342195, 2.180732, 138.251.207.136, 0, 100, 0.5916293, -0.829704, 2.289891, 0.7186795, -0.8291036, 2.132102, 0.4300443, 0.1515399, 2.361923, 0.8176849, 0.1675352, 2.068135, 0.4945451, -0.874885, 2.290844, 0.6803993, -0.8865724, 2.05348, 0.4171037, -0.1197667, 2.271679, 0.7285755, -0.1134051, 2.001017, 0.4310414, -0.1958244, 2.250878, 0.7027044, -0.1869144, 1.99365, 0.5867187, 0.70224, 2.201552, 0.51636, -0.08095603, 2.230279, 0.6320942, -0.07552669, 2.151146, 0.5694242, -0.5020872, 2.261658, 0.6671489, -0.4887449, 2.129194, 0.6112441, 0.5487792, 2.199851, 0.4575602, 0.4264211, 2.320419, 0.7342925, 0.4048166, 2.098064, 0.5841383, -0.07959906, 2.228303, 0.6001365, 0.2403444, 2.220434, 0.6092427, 0.4732601, 2.20721, 0.3756893, -0.1012223, 2.28055, 0.7598076, -0.1145658, 1.967028, 0.4143185, -0.07449711, 2.293818, 0.7573022, -0.05336529, 2.005556
26, 1, 4, 63562375011631, 0, 1, 2334278546872, -0.0394890122082371, 2.605602, 138.251.213.82, 0, 100, 0.5408049, -0.8134021, 2.279023, 0.6807525, -0.8202072, 2.128051, 0.4210029, 0.1496212, 2.364149, 0.818479, 0.1362136, 2.101306, 0.4717358, -0.8648678, 2.255354, 0.6612044, -0.8744513, 2.060646, 0.4060969, -0.1188658, 2.266513, 0.7296283, -0.1143366, 2.02339, 0.4099151, -0.1944194, 2.239873, 0.705324, -0.1871081, 2.006989, 0.6346712, 0.6873635, 2.207251, 0.5328202, -0.08114164, 2.232189, 0.6554382, -0.0801195, 2.129474, 0.547818, -0.4829777, 2.24957, 0.6539942, -0.4803293, 2.120358, 0.6136124, 0.5363225, 2.240106, 0.4763747, 0.4119881, 2.334816, 0.7508972, 0.3917246, 2.11482, 0.6227476, -0.08292561, 2.204846, 0.6230095, 0.2311541, 2.226561, 0.6177133, 0.4612523, 2.238247, 0.423353, -0.112748, 2.223785, 0.6765421, -0.1087932, 2.029737, 0.3976957, -0.05786794, 2.29202, 0.7607944, -0.06525161, 2.028527
