Study, KinectConfig, Scenario, Tracker_Time, Person#, Skeleton#, Skeleton_Time, Skeleton_Init_Angle, Skeleton_Init_Dist, Kinect#, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
0, 0, -9999, 63562128561460, 0, 0, 2693188554811, -0.0286655668996512, 2.561235, 0, 0, 0, 0.3344711, -0.8414772, 2.653167, 0.516253, -0.8583996, 2.620184, 0.2432116, 0.04589109, 2.60388, 0.6154174, 0.04050338, 2.60453, 0.2998235, -0.920396, 2.58132, 0.5334535, -0.9262285, 2.547893, 0.3120221, -0.2646525, 2.482609, 0.5678341, -0.2897654, 2.502729, 0.3220714, -0.3452312, 2.479251, 0.5537071, -0.3645157, 2.504053, 0.443064, 0.5781081, 2.591512, 0.3664296, -0.1787069, 2.571008, 0.5144272, -0.1790302, 2.563491, 0.3419781, -0.5329335, 2.611433, 0.5133566, -0.545109, 2.596722, 0.4292055, 0.431523, 2.616152, 0.2682741, 0.3072438, 2.603018, 0.5964953, 0.3022798, 2.593279, 0.4467388, -0.1814277, 2.603892, 0.4388774, 0.1294339, 2.616407, 0.4319645, 0.3572055, 2.618533, 0.3530906, -0.2524492, 2.452844, 0.5229949, -0.2680531, 2.47791, 0.2968086, -0.2224156, 2.48189, 0.6010131, -0.243069, 2.51192
0, 0, -9999, 63562128561460, 0, 1, 106080168633, -0.628996341479388, 2.326378, 1, 0, 0, 0.3885876, -0.8860609, 2.679604, 0.5633119, -0.8442425, 2.635403, 0.213997, 0.02040938, 2.574736, 0.601476, 0.03788286, 2.600673, 0.3879859, -0.9326822, 2.617961, 0.5650301, -0.9082168, 2.574478, 0.2906839, -0.2473185, 2.480385, 0.6092486, -0.2249383, 2.517416, 0.3087075, -0.3146955, 2.467813, 0.6214613, -0.2951407, 2.503812, 0.3534782, 0.5667909, 2.568092, 0.3222907, -0.1859037, 2.552128, 0.4639218, -0.1734807, 2.559053, 0.3668734, -0.5299908, 2.601502, 0.5448461, -0.5279071, 2.589054, 0.3981533, 0.4232491, 2.5936, 0.2136194, 0.2897261, 2.58597, 0.5524466, 0.2958231, 2.578276, 0.3728076, -0.18346, 2.585864, 0.3819728, 0.1243795, 2.595424, 0.3928675, 0.3497553, 2.596038, 0.3334254, -0.2253039, 2.460668, 0.5830238, -0.2173393, 2.472827, 0.2659287, -0.1965816, 2.508594, 0.5871096, -0.178701, 2.518627
0, 0, -9999, 63562128561460, 0, 0, 2693188554811, -0.0286655668996512, 2.561235, 0, 0, 0, 0.3346026, -0.8415682, 2.653075, 0.5161114, -0.8579478, 2.620597, 0.2432182, 0.04596508, 2.603909, 0.6155583, 0.0399956, 2.604455, 0.2999254, -0.9203739, 2.581353, 0.5333307, -0.9261491, 2.547945, 0.2839471, -0.2352933, 2.495246, 0.5750963, -0.3033527, 2.50571, 0.3061235, -0.308437, 2.476564, 0.5704573, -0.3783845, 2.506676, 0.4431229, 0.5781537, 2.591918, 0.3664424, -0.1787273, 2.571001, 0.5144005, -0.179062, 2.563665, 0.3419702, -0.533108, 2.611575, 0.5133665, -0.5451793, 2.596748, 0.4291603, 0.4314922, 2.616133, 0.2682286, 0.3072484, 2.603011, 0.596504, 0.3024116, 2.593447, 0.446741, -0.1814515, 2.603937, 0.4388639, 0.1294148, 2.616419, 0.4319316, 0.3571794, 2.618525, 0.3108398, -0.1989414, 2.459892, 0.5293284, -0.2847697, 2.480739, 0.2497731, -0.1644097, 2.534235, 0.6021383, -0.2434491, 2.511186
0, 0, -9999, 63562128561460, 0, 1, 106080168633, -0.628996341479388, 2.326378, 1, 0, 0, 0.3885876, -0.8860609, 2.679604, 0.5633119, -0.8442425, 2.635403, 0.213997, 0.02040938, 2.574736, 0.601476, 0.03788286, 2.600673, 0.3879859, -0.9326822, 2.617961, 0.5650301, -0.9082168, 2.574478, 0.2906839, -0.2473185, 2.480385, 0.6092486, -0.2249383, 2.517416, 0.3087075, -0.3146955, 2.467813, 0.6214613, -0.2951407, 2.503812, 0.3534782, 0.5667909, 2.568092, 0.3222907, -0.1859037, 2.552128, 0.4639218, -0.1734807, 2.559053, 0.3668734, -0.5299908, 2.601502, 0.5448461, -0.5279071, 2.589054, 0.3981533, 0.4232491, 2.5936, 0.2136194, 0.2897261, 2.58597, 0.5524466, 0.2958231, 2.578276, 0.3728076, -0.18346, 2.585864, 0.3819728, 0.1243795, 2.595424, 0.3928675, 0.3497553, 2.596038, 0.3334254, -0.2253039, 2.460668, 0.5830238, -0.2173393, 2.472827, 0.2659287, -0.1965816, 2.508594, 0.5871096, -0.178701, 2.518627
0, 0, -9999, 63562128561460, 0, 0, 2693188554811, -0.0286655668996512, 2.561235, 0, 0, 0, 0.3346026, -0.8415682, 2.653075, 0.5161114, -0.8579478, 2.620597, 0.2432182, 0.04596508, 2.603909, 0.6155583, 0.0399956, 2.604455, 0.2999254, -0.9203739, 2.581353, 0.5333307, -0.9261491, 2.547945, 0.2839471, -0.2352933, 2.495246, 0.5750963, -0.3033527, 2.50571, 0.3061235, -0.308437, 2.476564, 0.5704573, -0.3783845, 2.506676, 0.4431229, 0.5781537, 2.591918, 0.3664424, -0.1787273, 2.571001, 0.5144005, -0.179062, 2.563665, 0.3419702, -0.533108, 2.611575, 0.5133665, -0.5451793, 2.596748, 0.4291603, 0.4314922, 2.616133, 0.2682286, 0.3072484, 2.603011, 0.596504, 0.3024116, 2.593447, 0.446741, -0.1814515, 2.603937, 0.4388639, 0.1294148, 2.616419, 0.4319316, 0.3571794, 2.618525, 0.3108398, -0.1989414, 2.459892, 0.5293284, -0.2847697, 2.480739, 0.2497731, -0.1644097, 2.534235, 0.6021383, -0.2434491, 2.511186
0, 0, -9999, 63562128561460, 0, 1, 106080509399, -0.628996341479388, 2.326378, 1, 0, 0, 0.387971, -0.8876405, 2.681365, 0.5638533, -0.8442107, 2.635602, 0.2140749, 0.0248431, 2.574941, 0.6015661, 0.03785282, 2.600449, 0.3886924, -0.9337193, 2.619014, 0.5629019, -0.9093911, 2.574954, 0.2883426, -0.2328643, 2.484174, 0.6167544, -0.2265031, 2.523719, 0.3000804, -0.3017879, 2.470504, 0.6230685, -0.2958781, 2.50418, 0.3535232, 0.5668452, 2.567657, 0.3223039, -0.1858787, 2.552072, 0.4642777, -0.1734747, 2.558335, 0.3668852, -0.530003, 2.601545, 0.5447481, -0.5214899, 2.58649, 0.3982972, 0.423299, 2.593411, 0.2140214, 0.2905071, 2.585721, 0.5530424, 0.2958377, 2.577564, 0.372944, -0.1834313, 2.585549, 0.3821144, 0.124421, 2.595171, 0.3930106, 0.349804, 2.595833, 0.3334073, -0.2148979, 2.464655, 0.5996293, -0.2090366, 2.477628, 0.2660382, -0.1922647, 2.509373, 0.6194874, -0.1840819, 2.535106
0, 0, -9999, 63562128561460, 0, 0, 2693188554811, -0.0286655668996512, 2.561235, 0, 0, 0, 0.3346026, -0.8415682, 2.653075, 0.5161114, -0.8579478, 2.620597, 0.2432182, 0.04596508, 2.603909, 0.6155583, 0.0399956, 2.604455, 0.2999254, -0.9203739, 2.581353, 0.5333307, -0.9261491, 2.547945, 0.2839471, -0.2352933, 2.495246, 0.5750963, -0.3033527, 2.50571, 0.3061235, -0.308437, 2.476564, 0.5704573, -0.3783845, 2.506676, 0.4431229, 0.5781537, 2.591918, 0.3664424, -0.1787273, 2.571001, 0.5144005, -0.179062, 2.563665, 0.3419702, -0.533108, 2.611575, 0.5133665, -0.5451793, 2.596748, 0.4291603, 0.4314922, 2.616133, 0.2682286, 0.3072484, 2.603011, 0.596504, 0.3024116, 2.593447, 0.446741, -0.1814515, 2.603937, 0.4388639, 0.1294148, 2.616419, 0.4319316, 0.3571794, 2.618525, 0.3108398, -0.1989414, 2.459892, 0.5293284, -0.2847697, 2.480739, 0.2497731, -0.1644097, 2.534235, 0.6021383, -0.2434491, 2.511186
0, 0, -9999, 63562128561460, 0, 1, 106080838598, -0.628996341479388, 2.326378, 1, 0, 0, 0.3877, -0.8877943, 2.681686, 0.5639914, -0.8439716, 2.635591, 0.2143787, 0.01826192, 2.574851, 0.6013921, 0.03763691, 2.600588, 0.3889524, -0.9339451, 2.6192, 0.5842001, -0.908559, 2.572239, 0.2883118, -0.2472103, 2.487185, 0.615992, -0.2388956, 2.526119, 0.2989758, -0.3155352, 2.478719, 0.6252834, -0.3082967, 2.511959, 0.3530771, 0.566937, 2.567708, 0.3219877, -0.1858974, 2.552442, 0.4642154, -0.1734887, 2.558493, 0.3668701, -0.530102, 2.601785, 0.5436012, -0.5270861, 2.589163, 0.397898, 0.4232879, 2.593693, 0.2132732, 0.2903329, 2.586431, 0.5515333, 0.2959621, 2.578914, 0.3727966, -0.1834498, 2.585768, 0.3818582, 0.1244049, 2.595412, 0.3926496, 0.3497916, 2.596103, 0.3330874, -0.2260546, 2.465842, 0.5986736, -0.2442802, 2.478607, 0.2669889, -0.1983088, 2.507978, 0.6207822, -0.1847296, 2.537477
0, 0, -9999, 63562128561460, 0, 0, 2693188883868, -0.0286655668996512, 2.561235, 0, 0, 0, 0.333732, -0.8425252, 2.649413, 0.5160729, -0.8618565, 2.61726, 0.2433365, 0.0459691, 2.603679, 0.614872, 0.03807551, 2.599956, 0.297002, -0.922307, 2.57601, 0.5344673, -0.9282416, 2.544098, 0.2831624, -0.2355803, 2.489136, 0.5740637, -0.3126811, 2.493886, 0.3095602, -0.3056295, 2.465977, 0.5736477, -0.3906652, 2.498042, 0.4431098, 0.5772541, 2.588653, 0.365909, -0.179079, 2.570239, 0.5136182, -0.1796689, 2.56142, 0.3420806, -0.5326078, 2.610278, 0.5134061, -0.5450773, 2.595719, 0.4286589, 0.4310948, 2.613074, 0.2681892, 0.3071555, 2.602659, 0.5956429, 0.3019279, 2.588752, 0.4460849, -0.1819241, 2.602584, 0.4382808, 0.1289705, 2.614372, 0.4314083, 0.3567668, 2.615748, 0.3066907, -0.1976526, 2.448058, 0.5323075, -0.3037493, 2.475083, 0.2499831, -0.1639419, 2.532295, 0.6006833, -0.2451636, 2.505997
0, 0, -9999, 63562128561460, 0, 1, 106080838598, -0.628996341479388, 2.326378, 1, 0, 0, 0.3877, -0.8877943, 2.681686, 0.5639914, -0.8439716, 2.635591, 0.2143787, 0.01826192, 2.574851, 0.6013921, 0.03763691, 2.600588, 0.3889524, -0.9339451, 2.6192, 0.5842001, -0.908559, 2.572239, 0.2883118, -0.2472103, 2.487185, 0.615992, -0.2388956, 2.526119, 0.2989758, -0.3155352, 2.478719, 0.6252834, -0.3082967, 2.511959, 0.3530771, 0.566937, 2.567708, 0.3219877, -0.1858974, 2.552442, 0.4642154, -0.1734887, 2.558493, 0.3668701, -0.530102, 2.601785, 0.5436012, -0.5270861, 2.589163, 0.397898, 0.4232879, 2.593693, 0.2132732, 0.2903329, 2.586431, 0.5515333, 0.2959621, 2.578914, 0.3727966, -0.1834498, 2.585768, 0.3818582, 0.1244049, 2.595412, 0.3926496, 0.3497916, 2.596103, 0.3330874, -0.2260546, 2.465842, 0.5986736, -0.2442802, 2.478607, 0.2669889, -0.1983088, 2.507978, 0.6207822, -0.1847296, 2.537477
