Study, KinectConfig, Scenario, Tracker_Time, Person#, Skeleton#, Skeleton_Time, Skeleton_Init_Angle, Skeleton_Init_Dist, Kinect#, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
11, 2, 1, 63562206665038, 0, 0, 314233901827, -0.512187665862083, 2.336668, 138.251.207.136, 0, 100, 0.3154322, -0.8755077, 2.501408, 0.3828988, -0.8656424, 2.332373, 0.3155721, 0.4888483, 2.05591, 0.3320377, 0.2153783, 2.191989, 0.2466078, -0.9282691, 2.527662, 0.3039262, -0.9177295, 2.289791, 0.2222017, 0.1785796, 2.292179, 0.2497537, -0.1204101, 2.180995, 0.1688199, 0.1215421, 2.362486, 0.2232018, -0.1873901, 2.198607, 0.2092705, 0.7605464, 2.474307, 0.2029062, 0.02243601, 2.461594, 0.2835308, 0.01300571, 2.353652, 0.2391243, -0.4637892, 2.550396, 0.342135, -0.4898959, 2.333426, 0.2733807, 0.6528729, 2.419814, 0.2186788, 0.6456263, 2.350148, 0.3297017, 0.4929895, 2.274564, 0.2470818, 0.01763464, 2.448495, 0.2610229, 0.3410223, 2.440928, 0.2705974, 0.576603, 2.427533, 0.2472218, 0.1134679, 2.241117, 0.3026029, -0.1172599, 2.217651, 0.2470664, 0.2396104, 2.253969, 0.2585171, -0.04311563, 2.163838
11, 2, 1, 63562206665038, 0, 1, 650814682489, 0.0205663138792273, 2.351899, 138.251.213.82, 0, 100, 0.1828483, -0.7736689, 2.419261, 0.3582229, -0.7883787, 2.339032, 0.09080623, 0.2888548, 2.476776, 0.485313, 0.2658172, 2.246806, 0.1221577, -0.8566462, 2.353946, 0.3311549, -0.8570436, 2.238519, 0.03655802, -0.01092075, 2.392976, 0.4428085, -0.03231411, 2.177448, 0.03207673, -0.08473049, 2.373452, 0.4243347, -0.1037811, 2.161867, 0.3069497, 0.8403459, 2.380326, 0.1957981, 0.0398246, 2.381097, 0.3392719, 0.03661585, 2.294513, 0.1739279, -0.4211284, 2.403923, 0.3583661, -0.4332584, 2.315435, 0.2968204, 0.6900119, 2.397686, 0.1459349, 0.5645035, 2.484033, 0.4541871, 0.544718, 2.292383, 0.2931801, 0.03591743, 2.367939, 0.2994203, 0.3686059, 2.38795, 0.2990431, 0.6111955, 2.39708, -0.008267015, -0.007130011, 2.422444, 0.4579582, -0.04183367, 2.135775, 0.03259078, 0.03925201, 2.406636, 0.4601692, 0.03600602, 2.186031
11, 2, 1, 63562206665074, 0, 0, 314234241934, -0.512187665862083, 2.336668, 138.251.207.136, 0, 100, 0.3154356, -0.8755885, 2.501361, 0.3828894, -0.8656445, 2.332366, 0.3157069, 0.4887487, 2.055729, 0.332439, 0.2152628, 2.192363, 0.2473179, -0.9277626, 2.527044, 0.3039197, -0.9177088, 2.289764, 0.2237356, 0.1797273, 2.290656, 0.2522187, -0.1199887, 2.18172, 0.1686819, 0.121189, 2.363115, 0.2234879, -0.1874986, 2.197709, 0.2095421, 0.7606148, 2.473616, 0.202987, 0.02214557, 2.461692, 0.2835022, 0.01297588, 2.353857, 0.2392546, -0.4641519, 2.55021, 0.3421471, -0.4899355, 2.333351, 0.2735166, 0.652773, 2.419633, 0.2188143, 0.6455266, 2.349967, 0.3297669, 0.4929258, 2.274529, 0.2471093, 0.01754119, 2.448607, 0.2610757, 0.3409722, 2.440918, 0.270708, 0.5765171, 2.427411, 0.2494836, 0.1136847, 2.238531, 0.3037387, -0.1186857, 2.218236, 0.2471299, 0.2394371, 2.253681, 0.2596603, -0.04276886, 2.164006
11, 2, 1, 63562206665074, 0, 1, 650815023327, 0.0205663138792273, 2.351899, 138.251.213.82, 0, 100, 0.1826928, -0.7737023, 2.41923, 0.3583541, -0.7878659, 2.339098, 0.09073362, 0.2884139, 2.477067, 0.485551, 0.2657683, 2.247135, 0.1228019, -0.8569478, 2.353795, 0.331219, -0.8565369, 2.238586, 0.03707267, -0.01269127, 2.394623, 0.4424677, -0.03121747, 2.180384, 0.03319047, -0.08682393, 2.377089, 0.4271837, -0.1041922, 2.166978, 0.3071367, 0.8404655, 2.380241, 0.1959548, 0.03979552, 2.381084, 0.3395786, 0.03661431, 2.294534, 0.1739843, -0.4212418, 2.404067, 0.3584368, -0.4333268, 2.315502, 0.2968731, 0.6899846, 2.397692, 0.1460712, 0.564423, 2.484088, 0.4546767, 0.5445976, 2.292803, 0.2934215, 0.03589731, 2.367947, 0.2995511, 0.3685775, 2.387974, 0.2991115, 0.6111669, 2.397092, -0.007059604, -0.008263782, 2.428249, 0.4629801, -0.01147601, 2.139438, 0.03257617, 0.03929733, 2.406876, 0.4601426, 0.03549264, 2.186655
11, 2, 1, 63562206665090, 0, 0, 314234571193, -0.512187665862083, 2.336668, 138.251.207.136, 0, 100, 0.3160955, -0.8712154, 2.504189, 0.38293, -0.865634, 2.332353, 0.3157493, 0.4887048, 2.0556, 0.3328414, 0.2151233, 2.19269, 0.2461729, -0.9271824, 2.531136, 0.3039184, -0.9176302, 2.289725, 0.225338, 0.1852924, 2.290802, 0.2529425, -0.1201389, 2.184222, 0.1724608, 0.139615, 2.361907, 0.2222212, -0.1874517, 2.198343, 0.211257, 0.7627072, 2.471555, 0.2032056, 0.02176231, 2.461796, 0.2835261, 0.01295373, 2.353903, 0.2393998, -0.4645809, 2.550147, 0.3422293, -0.4899493, 2.333399, 0.2735593, 0.6527291, 2.419504, 0.2188569, 0.6454828, 2.349839, 0.3298314, 0.4928516, 2.274495, 0.2472093, 0.01742171, 2.448672, 0.2611338, 0.3409229, 2.440892, 0.2707558, 0.5764714, 2.427314, 0.2484212, 0.1179184, 2.239125, 0.3054454, -0.1190676, 2.219137, 0.2470791, 0.2393586, 2.253485, 0.2606138, -0.04310486, 2.164771
11, 2, 1, 63562206665090, 0, 1, 650815352419, 0.0205663138792273, 2.351899, 138.251.213.82, 0, 100, 0.1830445, -0.7734817, 2.419249, 0.358372, -0.7878497, 2.339056, 0.09070408, 0.2880296, 2.477288, 0.4856843, 0.2658865, 2.247465, 0.1224313, -0.8565915, 2.354193, 0.33153, -0.8570036, 2.239079, 0.03716949, -0.01143473, 2.393995, 0.4403666, -0.03310642, 2.182273, 0.03272873, -0.08475758, 2.375992, 0.4235004, -0.1088915, 2.165883, 0.3075028, 0.8404048, 2.379951, 0.1962947, 0.03974745, 2.380994, 0.340129, 0.03649491, 2.294476, 0.1740348, -0.4212292, 2.404164, 0.3585525, -0.4336493, 2.315612, 0.2969246, 0.6900941, 2.397712, 0.146153, 0.5644202, 2.484037, 0.4551129, 0.5446302, 2.293112, 0.2938815, 0.03581287, 2.367876, 0.2997258, 0.3686193, 2.387982, 0.2991837, 0.6112552, 2.397112, -0.006667852, -0.02589491, 2.42083, 0.4559178, -0.0244031, 2.14038, 0.03254855, 0.03933822, 2.4071, 0.4599783, 0.03524612, 2.187226
11, 2, 1, 63562206665106, 0, 0, 314234901849, -0.512187665862083, 2.336668, 138.251.207.136, 0, 100, 0.316388, -0.8705144, 2.504198, 0.38294, -0.8655959, 2.33234, 0.3157725, 0.4885924, 2.055225, 0.3338381, 0.2156478, 2.193917, 0.2458298, -0.9266927, 2.533171, 0.304139, -0.9179354, 2.291512, 0.2261675, 0.1846856, 2.290245, 0.2555439, -0.1205886, 2.187407, 0.172448, 0.1320531, 2.361659, 0.2257519, -0.1866184, 2.202341, 0.2110161, 0.762206, 2.471349, 0.2031168, 0.02170884, 2.461834, 0.2835496, 0.01294371, 2.353892, 0.2394713, -0.4647313, 2.549803, 0.3423342, -0.4899459, 2.333436, 0.2735827, 0.6526167, 2.419129, 0.21888, 0.6453705, 2.349464, 0.3298648, 0.4927579, 2.274462, 0.2472065, 0.01741485, 2.448673, 0.2611443, 0.340889, 2.440798, 0.2707776, 0.5763806, 2.427021, 0.2481249, 0.1138249, 2.241808, 0.2115445, -0.09486678, 2.241333, 0.24699, 0.2392085, 2.253034, 0.2617437, -0.04354699, 2.165851
11, 2, 1, 63562206665106, 0, 1, 650815682421, 0.0205663138792273, 2.351899, 138.251.213.82, 0, 100, 0.183011, -0.7734519, 2.419173, 0.3584773, -0.7880982, 2.339292, 0.09062102, 0.2877904, 2.477495, 0.4858076, 0.2656867, 2.24777, 0.1223259, -0.8565741, 2.354227, 0.3315371, -0.8570394, 2.239079, 0.03619207, -0.01135811, 2.394467, 0.4387246, -0.03385937, 2.184325, 0.03019528, -0.08439104, 2.3761, 0.4238447, -0.1093792, 2.166597, 0.3081324, 0.8404247, 2.379628, 0.1965515, 0.0397459, 2.380843, 0.3407133, 0.03650154, 2.29448, 0.1740239, -0.4212637, 2.404179, 0.3587844, -0.4341632, 2.315957, 0.2970248, 0.6901979, 2.397863, 0.1462145, 0.5644379, 2.484092, 0.4558812, 0.5447021, 2.29364, 0.2942903, 0.03581347, 2.367795, 0.2999366, 0.3686731, 2.388048, 0.2993075, 0.6113448, 2.397244, -0.007377297, -0.01525056, 2.423333, 0.4579875, -0.02975161, 2.142838, 0.03252473, 0.03936581, 2.407295, 0.4592129, 0.03434418, 2.188348
11, 2, 1, 63562206665195, 0, 0, 314235241934, -0.512187665862083, 2.336668, 138.251.207.136, 0, 100, 0.3161077, -0.8723959, 2.50499, 0.3828552, -0.8655288, 2.33242, 0.3159291, 0.4884427, 2.054876, 0.3342015, 0.2154795, 2.194288, 0.2409946, -0.9317204, 2.539018, 0.3041472, -0.9179518, 2.291485, 0.2262517, 0.1856403, 2.292682, 0.2558659, -0.1205507, 2.187941, 0.17206, 0.1382173, 2.356407, 0.2275144, -0.1886516, 2.201906, 0.2109465, 0.7619664, 2.470157, 0.2031531, 0.02148837, 2.461954, 0.283448, 0.01279757, 2.354538, 0.2395554, -0.4649413, 2.549927, 0.3425417, -0.4900914, 2.333309, 0.2737406, 0.6524668, 2.41878, 0.2190374, 0.6452208, 2.349115, 0.3299374, 0.4926594, 2.274428, 0.2472078, 0.01724963, 2.448964, 0.2611882, 0.3408215, 2.440788, 0.2708991, 0.5762531, 2.426793, 0.2490188, 0.1140854, 2.247, 0.2139528, -0.09099139, 2.24072, 0.2470942, 0.239048, 2.252656, 0.2625369, -0.04369353, 2.166574
11, 2, 1, 63562206665195, 0, 1, 650816352326, 0.0205663138792273, 2.351899, 138.251.213.82, 0, 100, 0.182817, -0.7734404, 2.419152, 0.3585011, -0.7882182, 2.339206, 0.09031026, 0.2875739, 2.477442, 0.4858629, 0.2663629, 2.248241, 0.1224707, -0.8566858, 2.354179, 0.3314192, -0.8571962, 2.239043, 0.03548208, -0.01158279, 2.394578, 0.4357146, -0.03366168, 2.187833, 0.0330691, -0.08571242, 2.377512, 0.4240303, -0.1100712, 2.173415, 0.3090735, 0.8406593, 2.37928, 0.1969141, 0.03975323, 2.380616, 0.34141, 0.03650434, 2.294379, 0.1740906, -0.4208135, 2.40417, 0.3588333, -0.434258, 2.315997, 0.2971309, 0.6902471, 2.397837, 0.1463043, 0.5643809, 2.483871, 0.4563512, 0.5448224, 2.293752, 0.2948201, 0.0358177, 2.367628, 0.3002258, 0.3687123, 2.387985, 0.2994499, 0.6113937, 2.397215, -0.01053175, -0.008868635, 2.419095, 0.4554316, -0.01435009, 2.145092, 0.03248747, 0.03958876, 2.407535, 0.4574426, 0.03187972, 2.190887
