Scenario, Tracker_Time, Person#, Skeleton#, Skeleton_Init_Angle, Skeleton_Init_Dist, Skeleton_Time, Kinect#, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
N/A, 63560257408125, 0, 0, 0.512123731342074, 1.990349, 1289741033470, 0, 0, 0, -0.2084684, -0.9468918, 2.231101, -0.1128948, -0.9122682, 2.285044, -0.3766529, 0.1511419, 1.891022, -0.07137862, 0.3045982, 1.920725, -0.2237056, -1.025517, 2.157593, -0.1037684, -0.9757974, 2.217831, -0.4909896, 0.08490476, 1.969977, 0.047637, 0.3435364, 2.036074, -0.5157058, 0.04805917, 2.012107, 0.08571495, 0.3467883, 2.093457, -0.2308973, 0.4642559, 1.75001, -0.2170512, -0.2363947, 1.959142, -0.1634277, -0.2234389, 1.948173, -0.2196952, -0.5540869, 2.074676, -0.1467387, -0.5289309, 2.093223, -0.2278662, 0.3252604, 1.826317, -0.2827966, 0.2100927, 1.854467, -0.1488481, 0.2807138, 1.860179, -0.1846792, -0.2338652, 1.996375, -0.2054028, 0.05005945, 1.919462, -0.221941, 0.2577779, 1.852436, -0.5017335, 0.1445648, 1.906073, 0.0448509, 0.2993981, 2.050618, -0.455465, 0.09894276, 1.935689, 0.01701103, 0.3245404, 2.004023
N/A, 63560257408125, 0, 1, -0.255232008489798, 1.74608, 45544258858, 1, 0, 0, -0.2714249, -0.8891446, 2.389784, -0.1753001, -0.9385529, 2.413284, -0.3565562, 0.2237991, 1.864459, -0.04592992, 0.2100446, 1.856011, -0.2871565, -0.9683179, 2.333462, -0.1652608, -1.01529, 2.333025, -0.4805723, 0.2371758, 1.959924, 0.08509408, 0.1823117, 1.98165, -0.5158977, 0.2289272, 2.004919, 0.118851, 0.1699666, 2.025098, -0.1974858, 0.4421304, 1.66929, -0.2387509, -0.2356783, 1.965961, -0.1788983, -0.238754, 1.984753, -0.2454118, -0.506356, 2.116721, -0.1761877, -0.5412524, 2.164648, -0.1916863, 0.3055837, 1.765568, -0.2668615, 0.2365068, 1.80832, -0.1331223, 0.2226578, 1.812123, -0.2114539, -0.2417199, 2.01949, -0.2020362, 0.03645064, 1.901108, -0.1944294, 0.2397126, 1.802352, -0.4805079, 0.3021863, 1.883634, 0.08836327, 0.2360429, 1.905725, -0.4439421, 0.2333201, 1.921175, 0.05107199, 0.1864907, 1.945983
N/A, 63560257408392, 0, 0, 0.512123731342074, 1.990349, 1289743362394, 0, 0, 0, -0.2082269, -0.9425681, 2.229359, -0.1134137, -0.9114351, 2.284656, -0.3769612, 0.1505412, 1.892119, -0.07176776, 0.3047815, 1.920779, -0.2226393, -1.022407, 2.160094, -0.1032538, -0.9740232, 2.220675, -0.4940092, 0.08089775, 1.971447, 0.04771434, 0.3429468, 2.036326, -0.5188221, 0.03582479, 2.010817, 0.08030032, 0.3432004, 2.081564, -0.2309946, 0.4642791, 1.750531, -0.2170713, -0.2364497, 1.960082, -0.1634684, -0.2241727, 1.949017, -0.219481, -0.5502001, 2.072422, -0.1468904, -0.5301465, 2.093781, -0.2279406, 0.3255491, 1.827339, -0.2828665, 0.2100349, 1.85537, -0.148881, 0.2807859, 1.860833, -0.1847022, -0.2341658, 1.997238, -0.2054505, 0.05008975, 1.920377, -0.2220077, 0.2579957, 1.853426, -0.50556, 0.1460088, 1.900908, 0.04653288, 0.3921941, 1.978251, -0.4587585, 0.0948227, 1.938685, 0.01699562, 0.3244668, 2.003608
N/A, 63560257408392, 0, 1, -0.255232008489798, 1.74608, 45546928122, 1, 0, 0, -0.27161, -0.8892043, 2.389964, -0.1753324, -0.9394677, 2.414232, -0.3566055, 0.2234532, 1.864823, -0.04593526, 0.2101029, 1.856261, -0.2896025, -0.9737294, 2.329866, -0.165492, -1.015258, 2.331864, -0.4795632, 0.2356918, 1.95713, 0.07941522, 0.183447, 1.978732, -0.5138863, 0.2321946, 1.990106, 0.11047, 0.1634545, 2.025025, -0.1975196, 0.4421844, 1.669642, -0.2387434, -0.2356373, 1.966571, -0.1788791, -0.2386068, 1.985338, -0.2453857, -0.5060064, 2.116846, -0.1759715, -0.539373, 2.163223, -0.1916894, 0.3057634, 1.766171, -0.2668661, 0.2365909, 1.808953, -0.1331367, 0.2228642, 1.812551, -0.2114391, -0.2416112, 2.020068, -0.202027, 0.0365871, 1.901681, -0.1944297, 0.2398783, 1.802941, -0.4783036, 0.300651, 1.878176, 0.08652286, 0.2343774, 1.904997, -0.4429328, 0.2344306, 1.919831, 0.05123298, 0.1865858, 1.945656
N/A, 63560257408660, 0, 0, 0.512123731342074, 1.990349, 1289746033039, 0, 0, 0, -0.2079159, -0.9406684, 2.231275, -0.1129894, -0.9116686, 2.284863, -0.3770154, 0.1504425, 1.892567, -0.07221903, 0.3055812, 1.920626, -0.2225927, -1.020654, 2.171418, -0.1049335, -0.9716308, 2.226572, -0.4932656, 0.0841946, 1.969463, 0.04649858, 0.3433899, 2.040012, -0.5197958, 0.06285772, 1.995953, 0.07861392, 0.3393947, 2.079016, -0.231133, 0.4645369, 1.751926, -0.2171279, -0.2364252, 1.960622, -0.1636868, -0.2236898, 1.949113, -0.219745, -0.5503691, 2.073708, -0.1464167, -0.5333966, 2.097075, -0.2279785, 0.3257128, 1.827808, -0.2830127, 0.2101819, 1.855907, -0.1489505, 0.2807848, 1.86167, -0.1848378, -0.2340498, 1.997634, -0.2055126, 0.0502122, 1.920845, -0.2220496, 0.2581469, 1.853888, -0.5026325, 0.1445521, 1.900096, 0.04378501, 0.3887743, 1.979767, -0.4580536, 0.09515925, 1.938256, 0.01528306, 0.3247632, 2.002881
N/A, 63560257408660, 0, 1, -0.255232008489798, 1.74608, 45549598916, 1, 0, 0, -0.2714678, -0.8889685, 2.389715, -0.1750996, -0.9387533, 2.414809, -0.3566715, 0.2234839, 1.865353, -0.04607832, 0.2104104, 1.857113, -0.2864365, -0.9680173, 2.337263, -0.1662964, -1.012921, 2.331371, -0.4802846, 0.2366934, 1.960245, 0.07841666, 0.1847374, 1.981466, -0.5156139, 0.2373818, 1.993618, 0.1090624, 0.1607657, 2.025167, -0.1976063, 0.442535, 1.671023, -0.2387524, -0.2353899, 1.967288, -0.1788917, -0.2383217, 1.985855, -0.245378, -0.5059438, 2.117477, -0.1760942, -0.5397627, 2.164479, -0.1917799, 0.3060564, 1.76716, -0.2669539, 0.2367079, 1.809965, -0.1331733, 0.2232589, 1.813474, -0.2114487, -0.2413507, 2.020703, -0.2020777, 0.03686532, 1.90251, -0.1945103, 0.240168, 1.803889, -0.4783521, 0.3012637, 1.87739, 0.0852832, 0.235043, 1.908242, -0.4430218, 0.2334659, 1.920504, 0.05015318, 0.186762, 1.94717
N/A, 63560257408937, 0, 0, 0.512123731342074, 1.990349, 1289748692662, 0, 0, 0, -0.2082135, -0.9364014, 2.230181, -0.114163, -0.9081634, 2.281898, -0.3769592, 0.1503782, 1.892962, -0.07211921, 0.3062015, 1.921467, -0.2228217, -1.017837, 2.166092, -0.1038226, -0.9706216, 2.216135, -0.4904184, 0.08709282, 1.963802, 0.04690312, 0.3422298, 2.040021, -0.516828, 0.06995843, 1.989098, 0.08044393, 0.3435281, 2.088957, -0.2312539, 0.4647899, 1.75252, -0.217306, -0.236331, 1.960878, -0.1639118, -0.2237042, 1.949737, -0.2199652, -0.554533, 2.076799, -0.1461422, -0.5338902, 2.100036, -0.2280072, 0.3258122, 1.828531, -0.2830684, 0.2103338, 1.856419, -0.1489992, 0.2810293, 1.862589, -0.1850361, -0.2339477, 1.998035, -0.2056141, 0.05032118, 1.921401, -0.2220969, 0.2582527, 1.854561, -0.5014377, 0.1427871, 1.902456, 0.04374792, 0.3887847, 1.979738, -0.4558305, 0.09746812, 1.935431, 0.01664458, 0.3250709, 2.006251
N/A, 63560257408937, 0, 1, -0.255232008489798, 1.74608, 45552258800, 1, 0, 0, -0.2715209, -0.8898149, 2.389438, -0.1753525, -0.936054, 2.415654, -0.3566916, 0.223406, 1.865903, -0.04595268, 0.2105829, 1.858107, -0.2876326, -0.9685821, 2.335056, -0.1670076, -1.009083, 2.337661, -0.4792779, 0.2359478, 1.957526, 0.08462034, 0.1845279, 1.984938, -0.5164406, 0.2322466, 2.00294, 0.1171597, 0.1758854, 2.013858, -0.1976584, 0.4427936, 1.671737, -0.238733, -0.2351707, 1.967899, -0.1788947, -0.2379743, 1.986602, -0.2455189, -0.5046924, 2.118737, -0.1758408, -0.5360708, 2.16291, -0.1918263, 0.3063661, 1.767896, -0.2669286, 0.2369792, 1.81061, -0.1332298, 0.2236219, 1.814385, -0.2114422, -0.2410674, 2.02141, -0.2020972, 0.03715384, 1.903248, -0.194549, 0.2404717, 1.804625, -0.4784786, 0.3011047, 1.877743, 0.08907701, 0.2394821, 1.910502, -0.4413267, 0.2323344, 1.920496, 0.05054598, 0.1871209, 1.94784
N/A, 63560257409195, 0, 0, 0.512123731342074, 1.990349, 1289751361668, 0, 0, 0, -0.2088144, -0.9472244, 2.229223, -0.1141119, -0.912154, 2.283459, -0.3769502, 0.1502337, 1.8934, -0.07237925, 0.3065363, 1.921119, -0.2257789, -1.031302, 2.152537, -0.1024225, -0.9730741, 2.214829, -0.4910561, 0.0861273, 1.965608, 0.04758544, 0.3445818, 2.037796, -0.518464, 0.06715998, 1.99542, 0.07854299, 0.3423864, 2.075161, -0.2313413, 0.4648138, 1.752587, -0.2173084, -0.2364042, 1.961438, -0.1639098, -0.2233203, 1.950033, -0.2197174, -0.5591409, 2.079715, -0.1457912, -0.5462192, 2.107246, -0.228001, 0.3258878, 1.828971, -0.2830974, 0.2105109, 1.856974, -0.1490384, 0.2811798, 1.863001, -0.1850485, -0.233775, 1.998451, -0.2056194, 0.05043258, 1.921834, -0.2220913, 0.2583361, 1.855004, -0.5008836, 0.140406, 1.903515, 0.04456747, 0.3917053, 1.976654, -0.4568378, 0.09653604, 1.936537, 0.01685692, 0.3252828, 2.006322
N/A, 63560257409195, 0, 1, -0.255232008489798, 1.74608, 45554928125, 1, 0, 0, -0.2717796, -0.8894411, 2.392104, -0.1753347, -0.9350126, 2.41609, -0.3568895, 0.2230467, 1.866075, -0.04607727, 0.210777, 1.857919, -0.2885602, -0.9739249, 2.32299, -0.1667049, -1.00972, 2.333854, -0.4784143, 0.2344078, 1.955617, 0.08439894, 0.1846496, 1.980206, -0.5132459, 0.2262587, 1.990572, 0.1169587, 0.1725219, 2.016237, -0.1977033, 0.4428057, 1.671899, -0.238716, -0.2351097, 1.968126, -0.1789013, -0.2378863, 1.986817, -0.2455568, -0.5051461, 2.119017, -0.176008, -0.5386096, 2.163946, -0.1918721, 0.3065014, 1.768294, -0.2669931, 0.2370782, 1.811043, -0.1332713, 0.2238089, 1.814586, -0.2114386, -0.2410012, 2.021617, -0.2021101, 0.03724915, 1.903526, -0.194584, 0.2405968, 1.804988, -0.4777453, 0.2984533, 1.875715, 0.08834125, 0.2390118, 1.90324, -0.4402285, 0.2308132, 1.9198, 0.04994659, 0.1869789, 1.946882
