Scenario, Tracker_Time, Person#, Skeleton#, Skeleton_Init_Angle, Skeleton_Init_Dist, Skeleton_Time, Kinect#, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
0, 63560282034194, 0, 0, -0.347086194789634, 1.804056, 784244728, 0, 0, 0, -0.4973825, -0.8385926, 2.318707, -0.3264419, -0.8832568, 2.388919, -0.520351, 0.282378, 1.819025, 0.2214117, 0.2233213, 2.147921, -0.5340056, -0.910508, 2.267898, -0.2911263, -0.9628145, 2.345448, -0.80848, 0.3300767, 1.687799, 0.5247302, 0.2065246, 2.329408, -0.8950235, 0.3264858, 1.659566, 0.5848331, 0.1969867, 2.37549, -0.09363598, 0.485222, 1.921288, -0.2912448, -0.1909782, 2.044904, -0.1402707, -0.1961886, 2.120362, -0.367758, -0.4741196, 2.1673, -0.2158336, -0.4772921, 2.228736, -0.1000148, 0.3540832, 1.982524, -0.3113763, 0.2764598, 1.922383, 0.02471828, 0.2549378, 2.068934, -0.236215, -0.1973514, 2.108691, -0.1717664, 0.08299818, 2.050753, -0.1191952, 0.2877441, 2.001323, -0.7645317, 0.3871292, 1.644524, 0.5513343, 0.2620643, 2.288498, -0.7471848, 0.3166889, 1.720179, 0.4424965, 0.2105307, 2.274625
0, 63560282034194, 0, 1, 0.404850641358962, 2.08009, 1535989592899, 1, 0, 0, -0.3032421, -0.8945683, 2.293024, -0.1321535, -0.8888996, 2.378505, -0.5770745, 0.206798, 1.802269, 0.163614, 0.3161925, 2.170183, -0.3241005, -0.9791457, 2.236542, -0.08565313, -0.9605632, 2.328398, -0.8668064, 0.171032, 1.66562, 0.4480067, 0.3825527, 2.350688, -0.93781, 0.1518147, 1.630107, 0.5151046, 0.3892111, 2.39571, -0.2003083, 0.4996474, 1.935422, -0.241926, -0.1754141, 2.064253, -0.114529, -0.163421, 2.11445, -0.2841954, -0.5159552, 2.163673, -0.1357345, -0.5250013, 2.249483, -0.2062681, 0.3608708, 1.984208, -0.3703593, 0.2435299, 1.934092, -0.03128442, 0.3098955, 2.081897, -0.1810156, -0.1720221, 2.122047, -0.1945733, 0.09838303, 2.059088, -0.2036372, 0.2964183, 2.005013, -0.8514725, 0.2452624, 1.61511, 0.4498131, 0.4399069, 2.301542, -0.7844764, 0.1828773, 1.703848, 0.3643173, 0.3591442, 2.298143
0, 63560282034458, 0, 0, -0.347086194789634, 1.804056, 786575359, 0, 0, 0, -0.4976856, -0.8386473, 2.319158, -0.3262986, -0.877029, 2.389705, -0.5217754, 0.2826485, 1.819566, 0.2219353, 0.2235392, 2.148823, -0.5321406, -0.9091555, 2.269104, -0.2995395, -0.9503519, 2.353468, -0.812618, 0.3314044, 1.690924, 0.5238566, 0.2076402, 2.331835, -0.902309, 0.327897, 1.656891, 0.5833088, 0.1980268, 2.378874, -0.09412669, 0.4851201, 1.921308, -0.2924826, -0.1906513, 2.046212, -0.1406564, -0.1961582, 2.120396, -0.3679736, -0.474262, 2.167234, -0.2156541, -0.4769704, 2.228467, -0.1009119, 0.3537194, 1.982988, -0.3142241, 0.2770121, 1.925003, 0.02423351, 0.2554174, 2.069654, -0.2370582, -0.1971541, 2.109352, -0.1726018, 0.08291456, 2.051303, -0.1200722, 0.2874508, 2.001807, -0.766784, 0.3888836, 1.646053, 0.5509023, 0.2627002, 2.290384, -0.7487528, 0.3162297, 1.72082, 0.4437677, 0.2107313, 2.274335
0, 63560282034458, 0, 1, 0.404850641358962, 2.08009, 1535992263564, 1, 0, 0, -0.3045656, -0.9004124, 2.289512, -0.1321702, -0.8888321, 2.378366, -0.5761995, 0.205366, 1.801685, 0.1629112, 0.3155132, 2.165549, -0.325871, -0.9845275, 2.225056, -0.09378867, -0.9504845, 2.334734, -0.8696827, 0.1717167, 1.673235, 0.4482759, 0.3837762, 2.352926, -0.9457709, 0.152692, 1.643824, 0.5179773, 0.3845089, 2.405854, -0.1996673, 0.4983181, 1.931956, -0.2428084, -0.1760448, 2.062457, -0.1153294, -0.1642206, 2.110391, -0.2844553, -0.5164303, 2.163447, -0.1352312, -0.5253602, 2.248794, -0.2066762, 0.3605682, 1.982324, -0.3701246, 0.2430212, 1.932235, -0.03217375, 0.3097709, 2.076062, -0.1818868, -0.1727613, 2.119093, -0.1951391, 0.09786664, 2.056606, -0.2040642, 0.2960624, 2.002966, -0.8531614, 0.2454445, 1.616166, 0.4503832, 0.4403391, 2.298678, -0.7848303, 0.1807682, 1.701895, 0.3646833, 0.3590342, 2.294521
0, 63560282034730, 0, 0, -0.347086194789634, 1.804056, 789575283, 0, 0, 0, -0.4975261, -0.8379712, 2.319823, -0.3265042, -0.8790183, 2.389851, -0.5258118, 0.2826025, 1.821129, 0.2210631, 0.2244102, 2.150796, -0.5325764, -0.9072495, 2.272142, -0.2983867, -0.9523238, 2.353191, -0.8179862, 0.3303277, 1.69539, 0.520822, 0.2096637, 2.339421, -0.9019617, 0.3249804, 1.663092, 0.5800811, 0.197877, 2.392595, -0.09553906, 0.4853951, 1.922044, -0.2939248, -0.1898497, 2.047701, -0.1416811, -0.1957286, 2.120886, -0.3683771, -0.473788, 2.167455, -0.2160572, -0.4770693, 2.228992, -0.1023455, 0.3536675, 1.984065, -0.3170271, 0.2779257, 1.927455, 0.02298295, 0.2561815, 2.071153, -0.2383967, -0.196473, 2.110452, -0.1739481, 0.0832139, 2.052401, -0.1214756, 0.2874791, 2.002888, -0.774716, 0.3877433, 1.650031, 0.5492831, 0.2639647, 2.297154, -0.7529329, 0.3162753, 1.722836, 0.4424378, 0.2112886, 2.276997
0, 63560282034730, 0, 1, 0.404850641358962, 2.08009, 1535994592516, 1, 0, 0, -0.3043145, -0.8981162, 2.291557, -0.1320653, -0.8895645, 2.377825, -0.5762283, 0.2051794, 1.802357, 0.1622238, 0.3157815, 2.166482, -0.3238319, -0.9789203, 2.23123, -0.09231837, -0.9550667, 2.32909, -0.8675405, 0.1703212, 1.669185, 0.4471759, 0.3831441, 2.353695, -0.9402887, 0.1518191, 1.630989, 0.5179627, 0.3932067, 2.407173, -0.2007098, 0.4987536, 1.933059, -0.2434237, -0.1762307, 2.062422, -0.1159612, -0.1644325, 2.111131, -0.2852757, -0.5152768, 2.162932, -0.1359924, -0.5259545, 2.248746, -0.2070983, 0.3606097, 1.982495, -0.3704155, 0.2431329, 1.932545, -0.03254238, 0.3098055, 2.077622, -0.1824818, -0.1729869, 2.119395, -0.1955002, 0.09784544, 2.056851, -0.2044547, 0.2960927, 2.003153, -0.8504722, 0.2414446, 1.609843, 0.4502196, 0.4410845, 2.301115, -0.7829337, 0.1808517, 1.705005, 0.3650361, 0.3591928, 2.296226
0, 63560282034997, 0, 0, -0.347086194789634, 1.804056, 792244597, 0, 0, 0, -0.4977907, -0.8379586, 2.319346, -0.3254831, -0.8826914, 2.388569, -0.5213256, 0.2823181, 1.819945, 0.2184892, 0.2247983, 2.150404, -0.5321064, -0.9070063, 2.269021, -0.2956369, -0.9562033, 2.350415, -0.8128795, 0.3286386, 1.689956, 0.5205451, 0.2096374, 2.336233, -0.895613, 0.3276693, 1.660707, 0.5782115, 0.1990007, 2.384567, -0.09643025, 0.4856679, 1.922223, -0.2931204, -0.1905216, 2.045527, -0.1422189, -0.1955801, 2.121109, -0.36891, -0.473484, 2.16716, -0.2168369, -0.4779518, 2.229877, -0.1030845, 0.3540492, 1.984321, -0.3126458, 0.2766952, 1.921624, 0.02228667, 0.2564836, 2.071158, -0.2385916, -0.1965478, 2.109963, -0.1744498, 0.08341443, 2.052367, -0.1221622, 0.2878152, 2.003083, -0.7701807, 0.3877134, 1.646302, 0.5503259, 0.2633779, 2.292164, -0.7493426, 0.3152427, 1.723654, 0.4394722, 0.2118205, 2.277306
0, 63560282034997, 0, 1, 0.404850641358962, 2.08009, 1535997592215, 1, 0, 0, -0.3041561, -0.8993111, 2.293006, -0.1315211, -0.8943901, 2.378179, -0.5763756, 0.2049969, 1.802252, 0.1610844, 0.3169442, 2.172399, -0.3247937, -0.9818318, 2.233325, -0.08698482, -0.9594688, 2.32935, -0.8707443, 0.171361, 1.674765, 0.444625, 0.3843552, 2.357512, -0.9458824, 0.150686, 1.643506, 0.5089138, 0.3911333, 2.400554, -0.2020317, 0.498785, 1.933806, -0.2435084, -0.1758658, 2.062568, -0.1164989, -0.1640813, 2.111576, -0.2858054, -0.5171891, 2.163824, -0.136225, -0.5259823, 2.248482, -0.2077884, 0.3603557, 1.982944, -0.3712181, 0.2431165, 1.932912, -0.03330694, 0.3108464, 2.082045, -0.1827936, -0.1726647, 2.1197, -0.1960068, 0.09783215, 2.057168, -0.2050861, 0.2959035, 2.003563, -0.8546526, 0.2428054, 1.618981, 0.4496435, 0.4421445, 2.304843, -0.7838081, 0.1797421, 1.703342, 0.3635249, 0.3599059, 2.300408
0, 63560282035249, 0, 0, -0.347086194789634, 1.804056, 794575205, 0, 0, 0, -0.4983749, -0.8379755, 2.319489, -0.3263643, -0.880753, 2.389995, -0.5239962, 0.282571, 1.82121, 0.217337, 0.2250465, 2.150414, -0.5312921, -0.9075103, 2.270607, -0.2959125, -0.956549, 2.351589, -0.8137521, 0.3283803, 1.689663, 0.520178, 0.2102424, 2.335417, -0.9000663, 0.3280817, 1.655118, 0.5780784, 0.2001314, 2.383014, -0.09726459, 0.4857907, 1.922464, -0.2943487, -0.1899062, 2.046789, -0.1429362, -0.1954093, 2.121486, -0.3691565, -0.4738686, 2.167645, -0.2170244, -0.4782801, 2.230065, -0.1040189, 0.3542658, 1.985294, -0.3172207, 0.2780066, 1.92637, 0.02129118, 0.256949, 2.072305, -0.2393989, -0.1962423, 2.11056, -0.1752951, 0.08364853, 2.053102, -0.123071, 0.2880313, 2.003988, -0.769738, 0.3869422, 1.644216, 0.5489411, 0.2636038, 2.292494, -0.7513691, 0.3145793, 1.722739, 0.4381568, 0.211991, 2.277647
0, 63560282035249, 0, 1, 0.404850641358962, 2.08009, 1535999922792, 1, 0, 0, -0.3037712, -0.8994153, 2.294262, -0.1326601, -0.8880261, 2.378777, -0.5771927, 0.2050017, 1.802957, 0.1612403, 0.3179142, 2.175339, -0.3236231, -0.9802909, 2.229919, -0.08895778, -0.9565082, 2.327624, -0.870777, 0.1695371, 1.671556, 0.445276, 0.3852882, 2.359882, -0.9428706, 0.15135, 1.631244, 0.5141155, 0.3935455, 2.408805, -0.2026703, 0.4988528, 1.933945, -0.2444905, -0.1759372, 2.062616, -0.1175234, -0.1642988, 2.112407, -0.2856958, -0.5165562, 2.164805, -0.1366691, -0.5265322, 2.248702, -0.2082739, 0.3602815, 1.983999, -0.371803, 0.2433364, 1.933429, -0.03484952, 0.3112693, 2.082304, -0.1837984, -0.1727577, 2.120103, -0.1967078, 0.09776859, 2.057868, -0.2056171, 0.2958394, 2.004524, -0.8525357, 0.2420037, 1.615633, 0.4472142, 0.4418722, 2.3028, -0.7809967, 0.1806439, 1.705202, 0.3638405, 0.3604784, 2.303406
