Scenario, Tracker_Time, Person#, Skeleton#, Skeleton_Init_Angle, Skeleton_Init_Dist, Skeleton_Time, Kinect#, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
0, 63560299012507, 0, 0, -0.227514962684038, 3.105797, 170566935474, 1, 0, 0, 0.03571991, -1.163003, 3.108965, 0.271678, -1.16384, 3.082517, -0.1466613, -0.2236214, 3.115688, 0.4281056, -0.2173186, 3.135239, 0.03022487, -1.229278, 3.032823, 0.2863999, -1.220725, 3.005362, -0.3027096, -0.4937854, 3.04715, 0.6198045, -0.4610777, 3.072206, -0.3252262, -0.5689911, 3.035916, 0.6574212, -0.525498, 3.075233, 0.1212865, 0.2434595, 3.155728, 0.06668591, -0.4847237, 3.070509, 0.2114102, -0.4828382, 3.082503, 0.054161, -0.8268747, 3.095073, 0.2465025, -0.8316236, 3.078054, 0.1353211, 0.1080324, 3.156271, -0.02901834, -0.01260665, 3.141122, 0.2930061, -0.00879702, 3.139376, 0.1348359, -0.4888841, 3.112245, 0.1345278, -0.1875958, 3.141148, 0.1349136, 0.03485903, 3.154896, -0.303457, -0.5400014, 3.037181, 0.6006309, -0.4710073, 3.023577, -0.2631922, -0.4237472, 3.065638, 0.5714204, -0.3886025, 3.087823
0, 63560299012507, 0, 1, -0.0121743054430224, 3.094631, 1705764669116, 0, 0, 0, 0.03176472, -1.155671, 3.086928, 0.2625529, -1.157332, 3.077271, -0.1536302, -0.2346345, 3.114565, 0.4358776, -0.2264329, 3.141465, 0.0253018, -1.208717, 3.020722, 0.272346, -1.217145, 2.999496, -0.3020068, -0.4960273, 3.042865, 0.6145116, -0.4628412, 3.070555, -0.3286423, -0.5668698, 3.035492, 0.6492628, -0.5213956, 3.073865, 0.1304356, 0.2447269, 3.163114, 0.06546558, -0.4826027, 3.073722, 0.2151193, -0.4818448, 3.074492, 0.04930036, -0.8386793, 3.087213, 0.2406216, -0.8327782, 3.071572, 0.1355806, 0.1067529, 3.163017, -0.02606602, -0.01187938, 3.147923, 0.3007758, -0.004513144, 3.143065, 0.1418141, -0.4875819, 3.108157, 0.138925, -0.1877813, 3.14207, 0.1365377, 0.03379813, 3.160057, -0.2770687, -0.4915998, 3.003, 0.6365463, -0.4772422, 3.065083, -0.2661439, -0.4363264, 3.061581, 0.5692624, -0.3960125, 3.090048
0, 63560299012769, 0, 0, -0.227514962684038, 3.105797, 170569605283, 1, 0, 0, 0.03630282, -1.164725, 3.106573, 0.2714156, -1.162964, 3.081284, -0.1462354, -0.2238539, 3.114899, 0.4285394, -0.2183368, 3.135189, 0.02932545, -1.22994, 3.02782, 0.2850239, -1.216234, 3.009183, -0.3027346, -0.5022409, 3.040928, 0.6200652, -0.4611679, 3.068855, -0.3260636, -0.5658818, 3.025413, 0.6574361, -0.52451, 3.067991, 0.1215603, 0.2433058, 3.155707, 0.06673957, -0.4845274, 3.070324, 0.2112743, -0.4827173, 3.082835, 0.05326625, -0.8296175, 3.094247, 0.2466621, -0.8312297, 3.078824, 0.1354303, 0.1078938, 3.156124, -0.02863491, -0.01176342, 3.141218, 0.2936634, -0.008235186, 3.139265, 0.1348271, -0.4887216, 3.112342, 0.1345541, -0.1875021, 3.141056, 0.1349713, 0.03479394, 3.154753, -0.3094526, -0.5544869, 3.037661, 0.6049314, -0.4783621, 3.026904, -0.2693231, -0.4337011, 3.063151, 0.5724946, -0.3889711, 3.08725
0, 63560299012769, 0, 1, -0.0121743054430224, 3.094631, 1705767339063, 0, 0, 0, 0.03162304, -1.152359, 3.088805, 0.2644972, -1.15497, 3.078378, -0.1533979, -0.2320365, 3.114257, 0.4366812, -0.2259181, 3.140971, 0.02434506, -1.211707, 3.019263, 0.2703559, -1.212211, 3.003241, -0.3024374, -0.4940976, 3.04311, 0.6181405, -0.4662524, 3.073487, -0.3278048, -0.5649959, 3.023448, 0.6533459, -0.5218887, 3.07148, 0.1300942, 0.2452441, 3.162174, 0.06534528, -0.4825888, 3.07324, 0.2150495, -0.481759, 3.074146, 0.04937787, -0.8439155, 3.089116, 0.2407207, -0.8446418, 3.071701, 0.1358007, 0.1066631, 3.161239, -0.02552894, -0.01213956, 3.147413, 0.3014971, -0.004239619, 3.14333, 0.1417221, -0.4875391, 3.107786, 0.1388907, -0.1877939, 3.14106, 0.1366603, 0.03372934, 3.15848, -0.2869316, -0.4982824, 2.999644, 0.6366714, -0.4714106, 3.071143, -0.2580376, -0.422302, 3.067487, 0.5704028, -0.3953794, 3.090477
0, 63560299013043, 0, 0, -0.227514962684038, 3.105797, 170572276056, 1, 0, 0, 0.03544517, -1.163952, 3.108046, 0.2711856, -1.162625, 3.082306, -0.1465208, -0.2213264, 3.116443, 0.427227, -0.2176807, 3.135786, 0.03129446, -1.221927, 3.032337, 0.2877231, -1.222805, 3.00361, -0.3022032, -0.4958297, 3.046052, 0.6194095, -0.4600873, 3.070602, -0.3294245, -0.5705422, 3.033633, 0.6584477, -0.5221285, 3.062341, 0.1219605, 0.2430442, 3.155979, 0.06698605, -0.4852842, 3.070716, 0.2113591, -0.4832866, 3.082764, 0.05420294, -0.8354499, 3.096885, 0.24686, -0.8312335, 3.079069, 0.1364276, 0.1081599, 3.157134, -0.02877687, -0.0129669, 3.14145, 0.2929311, -0.009848803, 3.138876, 0.1349511, -0.4892718, 3.112328, 0.1349307, -0.18768, 3.141276, 0.1357758, 0.03491727, 3.155508, -0.2808573, -0.5014738, 3.002281, 0.6027455, -0.4758071, 3.025558, -0.2683082, -0.4314846, 3.065364, 0.5717046, -0.3877494, 3.087227
0, 63560299013043, 0, 1, -0.0121743054430224, 3.094631, 1705770007973, 0, 0, 0, 0.03245945, -1.15452, 3.089036, 0.2629444, -1.158786, 3.077366, -0.1561512, -0.2355034, 3.114081, 0.4369727, -0.2248498, 3.140429, 0.02258419, -1.214277, 3.016973, 0.2703747, -1.21379, 3.001396, -0.3022008, -0.496069, 3.042778, 0.6148832, -0.4637148, 3.071428, -0.3285574, -0.5707975, 3.016133, 0.6502869, -0.5222252, 3.078468, 0.1302105, 0.2451841, 3.162617, 0.06557174, -0.4825377, 3.072809, 0.2152242, -0.4818303, 3.074162, 0.04933698, -0.8419968, 3.087742, 0.23955, -0.8428422, 3.072394, 0.1356051, 0.1069228, 3.162548, -0.02558111, -0.01219884, 3.147548, 0.3013276, -0.003943622, 3.143546, 0.1419181, -0.4875282, 3.107608, 0.138952, -0.1876844, 3.141274, 0.1365444, 0.03395036, 3.159425, -0.2852712, -0.4821833, 3.004494, 0.6373273, -0.4770985, 3.066185, -0.2604606, -0.4263604, 3.069948, 0.5699084, -0.3951968, 3.091305
0, 63560299013306, 0, 0, -0.227514962684038, 3.105797, 170574935254, 1, 0, 0, 0.03590834, -1.161659, 3.107944, 0.2742988, -1.168743, 3.078576, -0.1468709, -0.2229868, 3.116003, 0.4257404, -0.2165947, 3.136031, 0.03100823, -1.223, 3.030659, 0.2893184, -1.224815, 3.001849, -0.3035452, -0.4971809, 3.043468, 0.6183019, -0.4601941, 3.073599, -0.3273835, -0.571619, 3.016847, 0.6574191, -0.5257334, 3.074895, 0.1224761, 0.2426803, 3.156546, 0.06717386, -0.4846859, 3.070563, 0.2114218, -0.4830962, 3.082663, 0.05252369, -0.8195289, 3.091628, 0.2478161, -0.8362638, 3.081143, 0.1364986, 0.108007, 3.157123, -0.02875298, -0.01246616, 3.14149, 0.2939032, -0.009574473, 3.138964, 0.1350741, -0.488985, 3.112313, 0.1349647, -0.1876767, 3.141221, 0.1358364, 0.03484979, 3.155488, -0.2820073, -0.504938, 3.019052, 0.5980486, -0.4669037, 3.030387, -0.267397, -0.4295568, 3.065108, 0.5699674, -0.3868231, 3.087192
0, 63560299013306, 0, 1, -0.0121743054430224, 3.094631, 1705772668453, 0, 0, 0, 0.03235681, -1.155832, 3.088557, 0.2630084, -1.160755, 3.074544, -0.1533828, -0.2328462, 3.115091, 0.4373641, -0.2263201, 3.140309, 0.01964559, -1.217313, 3.016234, 0.2698951, -1.213154, 3.001643, -0.2994413, -0.4856632, 3.040343, 0.6160756, -0.4648904, 3.072236, -0.3264106, -0.5725121, 3.02155, 0.6479935, -0.5243357, 3.0729, 0.1307396, 0.2457484, 3.162481, 0.06555198, -0.4824974, 3.072814, 0.215325, -0.4817457, 3.073657, 0.0493528, -0.840008, 3.087867, 0.2408187, -0.8286161, 3.072258, 0.136189, 0.1068279, 3.162155, -0.02581684, -0.0115405, 3.147537, 0.3013161, -0.003878891, 3.143002, 0.1419601, -0.4874471, 3.107347, 0.1391867, -0.1876618, 3.140994, 0.1370215, 0.0338929, 3.159098, -0.276401, -0.4757772, 3.009, 0.6376357, -0.473238, 3.063154, -0.2591259, -0.4217662, 3.064956, 0.5711071, -0.3961442, 3.091879
0, 63560299013570, 0, 0, -0.227514962684038, 3.105797, 170577605237, 1, 0, 0, 0.0354986, -1.161289, 3.108141, 0.273335, -1.163278, 3.081793, -0.1487511, -0.2254751, 3.116426, 0.4263144, -0.2173826, 3.136737, 0.03315789, -1.218741, 3.032829, 0.2886408, -1.222598, 3.0035, -0.300711, -0.4917707, 3.04403, 0.6168892, -0.459782, 3.069406, -0.3318582, -0.5659069, 3.033106, 0.6547607, -0.5275979, 3.077278, 0.1227789, 0.2427227, 3.15703, 0.06674585, -0.484665, 3.0714, 0.21115, -0.4831732, 3.083276, 0.05274366, -0.8222051, 3.092163, 0.2455766, -0.8274153, 3.078929, 0.1366078, 0.1082624, 3.157817, -0.02908266, -0.01233676, 3.142158, 0.2938323, -0.009551555, 3.139906, 0.1347351, -0.4890262, 3.113026, 0.1349026, -0.1875348, 3.141828, 0.1359006, 0.03505692, 3.156168, -0.282261, -0.5123911, 2.990123, 0.5999041, -0.4708061, 3.021496, -0.2661313, -0.4259888, 3.069113, 0.5704279, -0.3876087, 3.087473
0, 63560299013570, 0, 1, -0.0121743054430224, 3.094631, 1705775338347, 0, 0, 0, 0.0326162, -1.156054, 3.087702, 0.2624681, -1.15947, 3.076251, -0.1522478, -0.2305784, 3.115503, 0.436404, -0.2260316, 3.140029, 0.02064732, -1.215617, 3.018313, 0.2718385, -1.214821, 2.999858, -0.3027107, -0.4870203, 3.039705, 0.6168507, -0.4684641, 3.071372, -0.3321732, -0.5586706, 3.023975, 0.652136, -0.5263143, 3.070256, 0.1315939, 0.2454224, 3.162896, 0.06567694, -0.4824004, 3.072867, 0.215338, -0.4816436, 3.073745, 0.04933108, -0.8398877, 3.086912, 0.2384823, -0.8324868, 3.072415, 0.1365267, 0.1066187, 3.161877, -0.02555941, -0.01140282, 3.147074, 0.3015743, -0.003856808, 3.142903, 0.1420325, -0.4873636, 3.107363, 0.139384, -0.1876907, 3.140897, 0.1373202, 0.03374276, 3.158891, -0.2790797, -0.4865993, 3.00123, 0.5972043, -0.4806345, 3.03261, -0.2604581, -0.4184509, 3.067374, 0.5696775, -0.3960701, 3.091161
