Scenario, Tracker_Time, Person#, Skeleton#, Skeleton_Init_Angle, Skeleton_Init_Dist, Skeleton_Time, Kinect#, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
0, 63560297859405, 0, 0, 0.00440435408341962, 3.114269, 1694234356861, 0, 0, 0, 0.03309198, -1.134916, 3.115269, 0.2609579, -1.140165, 3.123216, -0.1737223, -0.2292823, 3.136054, 0.4496235, -0.2129475, 3.159623, 0.02865292, -1.212711, 3.043473, 0.2703027, -1.216556, 3.050019, -0.3335145, -0.4762165, 3.074206, 0.6454824, -0.4458909, 3.115236, -0.3557607, -0.5533644, 3.062543, 0.686847, -0.5157273, 3.126236, 0.1260023, 0.2417381, 3.164199, 0.06120344, -0.4800438, 3.085754, 0.2131858, -0.4801016, 3.084647, 0.04653303, -0.8134772, 3.096489, 0.2343599, -0.8072661, 3.092685, 0.1335373, 0.1042254, 3.170773, -0.02839991, -0.01505917, 3.15766, 0.2953044, -0.001759052, 3.158912, 0.1386397, -0.485239, 3.118257, 0.1361291, -0.1880251, 3.150583, 0.1342823, 0.03182554, 3.167923, -0.3475903, -0.5357108, 3.087667, 0.6295368, -0.4470274, 3.075637, -0.2937068, -0.4104981, 3.096833, 0.5913633, -0.3783991, 3.131337
0, 63560297859405, 0, 1, 0.01937559576583, 3.114166, 159035685878, 1, 0, 0, 0.04059333, -1.159302, 3.130832, 0.2706759, -1.166757, 3.126462, -0.1728481, -0.2219042, 3.138719, 0.4447131, -0.2054189, 3.147866, 0.03249042, -1.224226, 3.052035, 0.2883951, -1.220647, 3.048386, -0.3369209, -0.4843454, 3.082819, 0.6437531, -0.4354975, 3.101708, -0.3547979, -0.5545132, 3.077347, 0.6840595, -0.4997053, 3.105454, 0.1080939, 0.2483071, 3.154082, 0.06477264, -0.4808587, 3.084396, 0.2115295, -0.4760571, 3.092431, 0.04810294, -0.8171514, 3.108321, 0.2411006, -0.8399795, 3.111623, 0.1295935, 0.1115882, 3.164579, -0.03484093, -0.01095495, 3.149534, 0.2859477, 0.001800627, 3.150762, 0.1345416, -0.4834384, 3.124202, 0.1312656, -0.183142, 3.150762, 0.1297593, 0.03866929, 3.163466, -0.325913, -0.516452, 3.075019, 0.6459851, -0.4666765, 3.090682, -0.3091444, -0.4355079, 3.093972, 0.5895792, -0.366156, 3.112451
0, 63560297859671, 0, 0, 0.00440435408341962, 3.114269, 1694237027562, 0, 0, 0, 0.03469203, -1.130431, 3.1137, 0.2608745, -1.142216, 3.122516, -0.1737178, -0.2284992, 3.135993, 0.4467984, -0.2065364, 3.159153, 0.0282175, -1.209182, 3.044235, 0.2710489, -1.218242, 3.048882, -0.3332389, -0.482179, 3.0724, 0.6444495, -0.4437444, 3.114293, -0.3527715, -0.5543162, 3.067688, 0.6852026, -0.514664, 3.128119, 0.1259373, 0.2425086, 3.164122, 0.06134543, -0.480135, 3.085779, 0.2133874, -0.4801026, 3.084368, 0.04524338, -0.8015137, 3.092785, 0.2352663, -0.8167187, 3.096752, 0.1333705, 0.1036311, 3.170883, -0.02825947, -0.01516724, 3.157701, 0.2946345, -0.001807392, 3.15831, 0.1388152, -0.4852769, 3.118114, 0.1362421, -0.1881671, 3.150497, 0.1342091, 0.03137231, 3.167968, -0.3426147, -0.5328262, 3.076222, 0.6415893, -0.4705224, 3.1324, -0.2919862, -0.4104684, 3.094465, 0.5867047, -0.37363, 3.131383
0, 63560297859671, 0, 1, 0.01937559576583, 3.114166, 159038015866, 1, 0, 0, 0.04078183, -1.159688, 3.129901, 0.2704545, -1.167345, 3.126438, -0.1723187, -0.2237921, 3.137578, 0.4443333, -0.2053188, 3.147966, 0.03218587, -1.224377, 3.052112, 0.2888744, -1.22131, 3.047844, -0.3338238, -0.483114, 3.083427, 0.6442406, -0.4353092, 3.099216, -0.3524935, -0.5553466, 3.068948, 0.6838343, -0.4993005, 3.1026, 0.1079057, 0.2480949, 3.153898, 0.06465886, -0.4806704, 3.084039, 0.2113884, -0.4762626, 3.09202, 0.04951797, -0.8181681, 3.108028, 0.242678, -0.8388247, 3.11001, 0.1293652, 0.1113043, 3.164803, -0.03455634, -0.01079899, 3.149638, 0.2858025, 0.00135687, 3.150317, 0.1344714, -0.483581, 3.123917, 0.1312308, -0.183333, 3.150609, 0.1296032, 0.03841722, 3.163574, -0.3279177, -0.5312222, 3.073285, 0.6629341, -0.4676481, 3.10433, -0.2945687, -0.4135067, 3.102756, 0.5888021, -0.3664375, 3.112842
0, 63560297859929, 0, 0, 0.00440435408341962, 3.114269, 1694239356444, 0, 0, 0, 0.03413321, -1.135338, 3.1143, 0.2601131, -1.144689, 3.122252, -0.1740547, -0.2311039, 3.134732, 0.4496858, -0.2113757, 3.159874, 0.02842188, -1.212668, 3.041739, 0.2730618, -1.219723, 3.047638, -0.3307299, -0.474724, 3.070842, 0.6462258, -0.4458674, 3.111426, -0.3513031, -0.5426161, 3.06387, 0.6867709, -0.5139111, 3.117056, 0.1260856, 0.2424392, 3.164278, 0.06153458, -0.480142, 3.085821, 0.2135836, -0.480184, 3.084231, 0.04784773, -0.8126991, 3.096507, 0.2369121, -0.8060139, 3.093464, 0.1330698, 0.1039672, 3.170841, -0.02831231, -0.01542312, 3.157507, 0.2951978, -0.002685696, 3.157887, 0.1389996, -0.4853153, 3.118089, 0.1362905, -0.1881344, 3.150427, 0.1340085, 0.03159499, 3.167923, -0.3444229, -0.5252341, 3.075331, 0.6292436, -0.4585281, 3.0802, -0.2925795, -0.4130739, 3.094296, 0.5905157, -0.377503, 3.130607
0, 63560297859929, 0, 1, 0.01937559576583, 3.114166, 159041015906, 1, 0, 0, 0.03968031, -1.157211, 3.129756, 0.2712485, -1.167575, 3.124634, -0.1726291, -0.2276145, 3.136514, 0.4446582, -0.2062306, 3.14792, 0.03179242, -1.225043, 3.052456, 0.2896453, -1.221147, 3.047231, -0.3328256, -0.4820908, 3.080984, 0.6445152, -0.4344667, 3.099962, -0.3551081, -0.5497215, 3.072149, 0.6846671, -0.4986909, 3.109386, 0.1082774, 0.2478628, 3.154145, 0.065368, -0.4805853, 3.084122, 0.2118319, -0.4760706, 3.092516, 0.05120556, -0.8253627, 3.111065, 0.2423945, -0.8373422, 3.109501, 0.1292231, 0.111335, 3.164647, -0.03442602, -0.01112357, 3.149707, 0.2866274, 0.0007320046, 3.150546, 0.1349978, -0.4834246, 3.124144, 0.1313163, -0.183229, 3.150709, 0.1295203, 0.03846502, 3.163513, -0.3150974, -0.4750821, 3.042928, 0.6523249, -0.4681114, 3.111739, -0.2979581, -0.4204231, 3.098129, 0.5882293, -0.3686596, 3.1165
0, 63560297860208, 0, 0, 0.00440435408341962, 3.114269, 1694242356185, 0, 0, 0, 0.03484032, -1.132403, 3.115542, 0.2616978, -1.143347, 3.123593, -0.1723406, -0.2304088, 3.133752, 0.4513057, -0.2156997, 3.161024, 0.02889825, -1.210557, 3.044778, 0.2709743, -1.21859, 3.048272, -0.3282482, -0.4706363, 3.070557, 0.6470219, -0.4514646, 3.111012, -0.3578212, -0.5349167, 3.051581, 0.6893927, -0.5252967, 3.130634, 0.1255025, 0.2426046, 3.163545, 0.06139085, -0.4802392, 3.085704, 0.2135178, -0.4802357, 3.084286, 0.04775172, -0.8123897, 3.0956, 0.2359434, -0.8079308, 3.093382, 0.1329526, 0.1038706, 3.170354, -0.02849647, -0.01517352, 3.157578, 0.2949204, -0.00194326, 3.158591, 0.1389127, -0.4853932, 3.118061, 0.1361908, -0.1882163, 3.150279, 0.1338653, 0.03150439, 3.167541, -0.3503147, -0.4891001, 3.058308, 0.6110226, -0.4325722, 3.12, -0.2856489, -0.4144297, 3.085408, 0.5930335, -0.380992, 3.130795
0, 63560297860208, 0, 1, 0.01937559576583, 3.114166, 159043346586, 1, 0, 0, 0.0413104, -1.15545, 3.134111, 0.2710335, -1.166574, 3.127223, -0.1726669, -0.2277609, 3.136184, 0.4443149, -0.2052855, 3.14778, 0.03256309, -1.223707, 3.052177, 0.2895516, -1.220443, 3.048115, -0.3353411, -0.486286, 3.08072, 0.6449395, -0.4385045, 3.10042, -0.354631, -0.5545394, 3.068656, 0.6804658, -0.5010615, 3.102776, 0.1081356, 0.2481965, 3.152839, 0.0655045, -0.4809583, 3.084288, 0.2118486, -0.4761385, 3.092703, 0.04932825, -0.816426, 3.109804, 0.2424217, -0.8342168, 3.10885, 0.1295221, 0.1114345, 3.164749, -0.0347937, -0.01102629, 3.150203, 0.2858139, 0.001309067, 3.150658, 0.135055, -0.4835054, 3.124341, 0.1314813, -0.1832276, 3.150968, 0.129767, 0.03852654, 3.163675, -0.3134964, -0.4883265, 3.038788, 0.6692721, -0.4871385, 3.101949, -0.2887483, -0.4091087, 3.104327, 0.5888882, -0.3662693, 3.111886
0, 63560297860472, 0, 0, 0.00440435408341962, 3.114269, 1694245026872, 0, 0, 0, 0.03455409, -1.133196, 3.115486, 0.2610545, -1.143127, 3.123514, -0.170775, -0.2305061, 3.133815, 0.4483376, -0.2122521, 3.159957, 0.02903623, -1.211846, 3.045834, 0.2698031, -1.219105, 3.049522, -0.3280786, -0.4790649, 3.071292, 0.642516, -0.4473642, 3.115972, -0.3467187, -0.5522032, 3.055975, 0.6832618, -0.5141209, 3.119698, 0.1255186, 0.2433268, 3.163556, 0.06134506, -0.4801206, 3.085803, 0.2134799, -0.480171, 3.084533, 0.04726985, -0.8151438, 3.096318, 0.2355052, -0.814302, 3.094857, 0.1334542, 0.103822, 3.17084, -0.02835923, -0.01526654, 3.15712, 0.2946373, -0.00198254, 3.158815, 0.1388821, -0.4853128, 3.118277, 0.1363312, -0.1881922, 3.150511, 0.134247, 0.03147477, 3.167946, -0.347642, -0.4661579, 3.045615, 0.644839, -0.4893852, 3.1255, -0.2902016, -0.4117457, 3.091923, 0.5891742, -0.378661, 3.132502
0, 63560297860472, 0, 1, 0.01937559576583, 3.114166, 159046346430, 1, 0, 0, 0.04132077, -1.158112, 3.131407, 0.2701252, -1.167358, 3.124222, -0.173305, -0.2283925, 3.136281, 0.4422406, -0.2047358, 3.148451, 0.0319391, -1.224197, 3.051609, 0.2893699, -1.22105, 3.047976, -0.3314277, -0.483268, 3.078539, 0.6394303, -0.4367198, 3.100935, -0.3523194, -0.552326, 3.06953, 0.6783917, -0.5053363, 3.107649, 0.1084, 0.2479892, 3.152939, 0.06591256, -0.4810781, 3.084257, 0.212551, -0.4760991, 3.09234, 0.0496536, -0.8187173, 3.108831, 0.2425979, -0.836341, 3.10982, 0.1292506, 0.1111083, 3.164772, -0.03469379, -0.01115251, 3.149759, 0.2855053, 0.001684994, 3.150781, 0.1356118, -0.4835778, 3.124142, 0.1315707, -0.1833928, 3.150891, 0.1296019, 0.03825372, 3.163669, -0.3215463, -0.5216411, 3.064188, 0.6309892, -0.4501815, 3.058028, -0.2953488, -0.4189723, 3.098515, 0.5854328, -0.3669039, 3.111919
